Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance
ACETIC_ACID,ACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/176,FEATURED,"64-19-7, 68475-71-8, 546-67-8, 77671-22-8","77671-22-8, 1053656-97-5, 1173022-32-6, 1053656-97-5, 1173022-32-6, 77671-22-8, 612524-90-0, 1053656-97-5, 463-83-2",COMPOUND
ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989,FEATURED,968-81-0,8054-32-8,COMPOUND
ACETOHYDROXAMIC_ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990,FEATURED,546-88-3,,COMPOUND
ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180,FEATURED,67-64-1,,COMPOUND
ACETONE_(KETONE)_TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776,RELEVANT,N/A,,N/A
ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/7045767,FEATURED,3040-38-8,"461-77-8, 541-68-4, 3624-25-7, 74832-89-6",COMPOUND
ACETYLCHOLINE,ACETYLCHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/187,FEATURED,"51-84-3, 14047-05-3",,COMPOUND
ACETYLCYSTEINE,ACETYLCYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/12035,FEATURED,"616-91-1, 7218-04-4","7696-05-1, 1261105-20-7, 1261105-20-7, 7696-05-1",COMPOUND
ACETYLSALICYLIC_ACID,ACETYLSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2244,FEATURED,50-78-2,"11126-35-5, 11126-37-7, 2349-94-2, 26914-13-6, 98201-60-6, 2087491-38-9, 11126-35-5, 11126-37-7, 2087491-38-9, 2349-94-2, 26914-13-6, 98201-60-6, 11126-37-7, 26914-13-6, 11126-35-5, 2349-94-2",COMPOUND
ACETYLSULFAFURAZOLE,ACETYLSULFAFURAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6662,FEATURED,80-74-0,,COMPOUND
ACHILLEA_MILLEFOLIUM,ACHILLEA MILLEFOLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Achillea%20millefolium,FEATURED,"977000-16-0, 8022-07-9",,COMPOUND
ACICLOVIR,ACICLOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/135398513,FEATURED,59277-89-3,,COMPOUND
ACITRETIN,ACITRETIN,https://pubchem.ncbi.nlm.nih.gov/compound/5284513,FEATURED,"55079-83-9, 54757-46-9",,COMPOUND
ACLIDINIUM_BROMIDE,ACLIDINIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/11519741,FEATURED,320345-99-1,,COMPOUND
ACONITUM_NAPELLUS,ACONITUM NAPELLUS,https://pubchem.ncbi.nlm.nih.gov/compound/Aconitum%20Napellus,FEATURED,N/A,,COMPOUND
ACRIVASTINE,ACRIVASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/5284514,FEATURED,87848-99-5,,COMPOUND
ADALIMUMAB,ADALIMUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Adalimumab,FEATURED,331731-18-1,,COMPOUND
ADAPALENE,ADAPALENE,https://pubchem.ncbi.nlm.nih.gov/compound/60164,FEATURED,106685-40-9,,COMPOUND
ADEFOVIR_DIPIVOXIL,ADEFOVIR DIPIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/60871,FEATURED,142340-99-6,,COMPOUND
ADEMETIONINE,ADEMETIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/34755,FEATURED,"29908-03-0, 78548-84-2, 91279-78-6","23095-97-8, 28378-99-6, 5134-37-2, 86522-35-2, 86866-89-9, 2613-02-7, 23095-97-8, 28378-99-6, 2613-02-7, 86522-35-2, 86866-89-9, 78548-84-2",COMPOUND
ADENOSINE,ADENOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/60961,FEATURED,58-61-7,"46946-45-6, 46969-16-8, 1348387-95-0, 46946-45-6, 46969-16-8, 46969-16-8",COMPOUND
ADENOSINE_TRIPHOSPHATE,ADENOSINE TRIPHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/5957,FEATURED,"56-65-5, 11016-17-4, 51963-61-2","10168-83-9, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 1259312-93-0, 917074-14-7, 10168-83-9, 1259312-93-0, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7, 71800-44-7, 51569-41-6, 84412-18-0, 1259312-93-0, 896506-78-8, 10168-83-9, 917074-14-7",COMPOUND
ADIPIODONE,ADIPIODONE,https://pubchem.ncbi.nlm.nih.gov/compound/3739,FEATURED,606-17-7,,COMPOUND
ADRENAL_CORTEX,ADRENAL CORTEX,https://pubchem.ncbi.nlm.nih.gov/substance/482039705,RELEVANT,N/A,,SUBSTANCE
AESCULUS_HIPPOCASTANUM,AESCULUS HIPPOCASTANUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924302,RELEVANT,N/A,,SUBSTANCE
AFATINIB,AFATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/10184653,FEATURED,"850140-72-6, 439081-18-2",,COMPOUND
AFLIBERCEPT,AFLIBERCEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Aflibercept,FEATURED,862111-32-8,924289-53-2,COMPOUND
AGALSIDASE_BETA,AGALSIDASE BETA,https://pubchem.ncbi.nlm.nih.gov/compound/Agalsidase%20Beta,FEATURED,104138-64-9,9025-35-8,COMPOUND
AGARICUS_CAMPESTRIS,AGARICUS CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/substance/482032839,RELEVANT,N/A,,SUBSTANCE
ALANINE,ALANINE,https://pubchem.ncbi.nlm.nih.gov/compound/5950,FEATURED,"56-41-7, 18875-37-1, 25191-17-7, 77160-91-9","115967-49-2, 170805-71-7, 6898-94-8, 759445-89-1, 787635-21-6, 1150316-17-8, 1150316-17-8, 115967-49-2, 170805-71-7, 6898-94-8, 759445-89-1, 787635-21-6, 1150316-17-8, 6898-94-8, 787635-21-6, 115967-49-2, 170805-71-7, 759445-89-1",COMPOUND
ALATROFLOXACIN,ALATROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/3086677,FEATURED,146961-76-4,157182-32-6,COMPOUND
ALBENDAZOLE,ALBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2082,FEATURED,54965-21-8,,COMPOUND
ALBIGLUTIDE,ALBIGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Albiglutide,FEATURED,782500-75-8,,COMPOUND
ALBUMIN,ALBUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/36314,RELEVANT,"33069-62-4, 92950-39-5","157069-30-2, 1203669-79-7",COMPOUND
ALBUTREPENONACOG_ALFA,ALBUTREPENONACOG ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Albutrepenonacog%20Alfa,FEATURED,1357448-54-4,,COMPOUND
ALCAFTADINE,ALCAFTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19371515,FEATURED,147084-10-4,,COMPOUND
ALCLOMETASONE,ALCLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311000,FEATURED,"67452-97-5, 66734-13-2",,COMPOUND
ALDESLEUKIN,ALDESLEUKIN,https://pubchem.ncbi.nlm.nih.gov/compound/Aldesleukin,FEATURED,110942-02-4,119913-24-5,COMPOUND
ALDIOXA,ALDIOXA,https://pubchem.ncbi.nlm.nih.gov/compound/16683101,FEATURED,5579-81-7,"12125-29-0, 2015-24-9, 52931-97-2, 12125-29-0, 52931-97-2, 2015-24-9",COMPOUND
ALECTINIB,ALECTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/49806720,FEATURED,1256580-46-7,1416163-60-4,COMPOUND
ALEFACEPT,ALEFACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Alefacept,FEATURED,222535-22-0,,COMPOUND
ALEMTUZUMAB,ALEMTUZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alemtuzumab,FEATURED,216503-57-0,"126775-97-1, 478159-77-2, 727728-72-5",COMPOUND
ALENDRONIC_ACID,ALENDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2088,FEATURED,66376-36-1,,COMPOUND
ALFENTANIL,ALFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/51263,FEATURED,71195-58-9,,COMPOUND
ALFUZOSIN,ALFUZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/2092,FEATURED,81403-80-7,"128707-53-9, 86163-78-2",COMPOUND
ALGINIC_ACID,ALGINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Alginic%20Acid,FEATURED,9005-32-7,"210888-24-7, 545434-56-8, 865838-47-7, 865838-48-8, 1444006-48-7, 2010157-07-8, 1444006-48-7, 2010157-07-8, 210888-24-7, 545434-56-8, 865838-47-7, 865838-48-8",COMPOUND
ALGLUCERASE,ALGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/substance/472422781,RELEVANT,143003-46-7,,SUBSTANCE
ALGLUCOSIDASE_ALFA,ALGLUCOSIDASE ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Alglucosidase%20Alfa,FEATURED,420784-05-0,,COMPOUND
ALIROCUMAB,ALIROCUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alirocumab,FEATURED,1245916-14-6,,COMPOUND
ALISKIREN,ALISKIREN,https://pubchem.ncbi.nlm.nih.gov/compound/5493444,FEATURED,173334-57-1,"401809-63-0, 957114-21-5",COMPOUND
ALITRETINOIN,ALITRETINOIN,https://pubchem.ncbi.nlm.nih.gov/compound/449171,FEATURED,5300-03-8,,COMPOUND
ALKYL_SULFONATES,ALKYL SULFONATES,https://pubchem.ncbi.nlm.nih.gov/compound/2478,RELEVANT,55-98-1,,COMPOUND
ALLANTOIN,ALLANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/204,FEATURED,97-59-6,"37305-69-4, 5377-33-3, 58308-55-7, 5377-33-3, 58308-55-7, 37305-69-4",COMPOUND
ALLIUM_CEPA,ALLIUM CEPA,https://pubchem.ncbi.nlm.nih.gov/substance/482025683,RELEVANT,N/A,,SUBSTANCE
ALLIUM_SATIVUM,ALLIUM SATIVUM,https://pubchem.ncbi.nlm.nih.gov/substance/103049314,RELEVANT,N/A,,SUBSTANCE
ALLOPURINOL,ALLOPURINOL,https://pubchem.ncbi.nlm.nih.gov/compound/135401907,FEATURED,"315-30-0, 184789-03-5, 691008-24-9, 9002-17-9","184856-42-6, 22767-92-6, 39464-14-7, 22767-92-6, 184856-42-6, 39464-14-7",COMPOUND
ALLYL_ISOTHIOCYANATE,ALLYL ISOTHIOCYANATE,https://pubchem.ncbi.nlm.nih.gov/compound/5971,FEATURED,"57-06-7, 8007-40-7","107231-30-1, 50888-64-7, 50978-48-8, 58391-87-0, 1001911-93-8, 1001911-93-8, 107231-30-1, 50888-64-7, 50978-48-8, 58391-87-0, 107231-30-1, 50888-64-7, 58391-87-0",COMPOUND
ALMOTRIPTAN,ALMOTRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/123606,FEATURED,"154323-57-6, 181183-52-8",,COMPOUND
ALOE_AFRICANA,ALOE AFRICANA,https://pubchem.ncbi.nlm.nih.gov/compound/Aloe%20africana%20whole,FEATURED,N/A,,COMPOUND
ALOE_BARBADENSIS,ALOE BARBADENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/12305761,RELEVANT,"1415-73-2, 8015-61-0","10361-17-8, 11019-96-8, 25429-08-7, 31017-11-5, 31048-97-2, 5133-19-7, 20226-90-8, 73649-92-0, 31048-97-2, 31017-11-5, 11019-96-8, 25429-08-7",COMPOUND
ALOGLIPTIN,ALOGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11450633,FEATURED,850649-61-5,,COMPOUND
ALOSETRON,ALOSETRON,https://pubchem.ncbi.nlm.nih.gov/compound/2099,FEATURED,122852-42-0,,COMPOUND
ALPHA-GALACTOSIDASE,ALPHA-GALACTOSIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/82000,RELEVANT,7493-95-0,,COMPOUND
ALPHA_AMYLASE,ALPHA AMYLASE,https://pubchem.ncbi.nlm.nih.gov/compound/192826,RELEVANT,"9005-82-7, 6401-81-6, 1109-28-0","7482-74-8, 37243-82-6, 9051-21-2, 9060-22-4",COMPOUND
ALPHA_CAROTENE,ALPHA CAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/6419725,FEATURED,7488-99-5,"24319-81-1, 432-70-2",COMPOUND
ALPINA_GALANGA,ALPINA GALANGA,https://pubmed.ncbi.nlm.nih.gov/13493119,RELEVANT,N/A,,N/A
ALPINIA_OFFICINARUM,ALPINIA OFFICINARUM,https://pubchem.ncbi.nlm.nih.gov/substance/482043081,RELEVANT,N/A,,SUBSTANCE
ALPRAZOLAM,ALPRAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/2118,FEATURED,28981-97-7,,COMPOUND
ALPROSTADIL,ALPROSTADIL,https://pubchem.ncbi.nlm.nih.gov/compound/5280723,FEATURED,745-65-3,"50-83-9, 22299-37-2, 50865-30-0",COMPOUND
ALTEPLASE,ALTEPLASE,https://pubchem.ncbi.nlm.nih.gov/compound/Alteplase,FEATURED,105857-23-6,93928-26-8,COMPOUND
ALTHAEA_OFFICINALIS,ALTHAEA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924420,RELEVANT,N/A,,SUBSTANCE
ALTRETAMINE,ALTRETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2123,FEATURED,645-05-6,,COMPOUND
ALUMINIUM,ALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5359268,FEATURED,"7429-90-5, 91728-14-2","113962-66-6, 12766-45-9, 182260-45-3, 37202-64-5, 39302-71-1, 39332-62-2, 80341-19-1, 91728-14-2, 185464-37-3, 257888-99-6, 298688-47-8, 1107614-02-7, 121630-48-6, 349608-51-1, 934749-46-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 1826890-06-5, 1946759-18-7, 477951-22-7, 1107613-92-2, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 2701539-61-7, 1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 2758176-71-3, 2826961-24-2, 2832056-54-7, 2923573-53-7, 2923573-54-8, 2923573-55-9, 2924823-56-1, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 934749-46-9, 12766-45-9, 121630-48-6, 1107614-02-7, 182260-45-3, 185464-37-3, 37202-64-5, 80341-19-1, 113962-66-6, 39332-62-2, 39302-71-1, 298688-47-8, 257888-99-6, 91728-14-2",COMPOUND
ALUMINIUM_AND_MAGNESIUM,ALUMINIUM AND MAGNESIUM,https://pubchem.ncbi.nlm.nih.gov/compound/71586775,RELEVANT,"110070-78-5, 1318-93-0, 1302-78-9","12199-64-3, 12414-99-2, 12656-86-9, 64418-14-0, 51811-27-9, 61029-13-8, 61711-53-3, 111744-70-8, 67479-91-8, 110070-78-5",COMPOUND
ALVIMOPAN,ALVIMOPAN,https://pubchem.ncbi.nlm.nih.gov/compound/5488548,FEATURED,"156053-89-3, 170098-38-1",,COMPOUND
AMANTADINE,AMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2130,FEATURED,768-94-5,744952-70-3,COMPOUND
AMBENONIUM,AMBENONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2131,FEATURED,7648-98-8,,COMPOUND
AMBRISENTAN,AMBRISENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/6918493,FEATURED,177036-94-1,,COMPOUND
AMBROSIA_ARTEMISIFOLIA,AMBROSIA ARTEMISIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483929581,RELEVANT,N/A,,SUBSTANCE
AMBROSIA_PSILOSTACHYA,AMBROSIA PSILOSTACHYA,https://pubchem.ncbi.nlm.nih.gov/compound/Ambrosia%20psilostachya%20Pollen,FEATURED,N/A,,COMPOUND
AMCINONIDE,AMCINONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/443958,FEATURED,51022-69-6,,COMPOUND
AMFEPRAMONE,AMFEPRAMONE,https://pubchem.ncbi.nlm.nih.gov/compound/7029,FEATURED,"90-84-6, 134-80-5",,COMPOUND
AMFETAMINE,AMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,FEATURED,"300-62-9, 51-64-9, 60-15-1","17108-96-2, 60-15-1, 96332-84-2, 96332-84-2, 60-15-1",COMPOUND
AMIFOSTINE,AMIFOSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2141,FEATURED,20537-88-6,53028-04-9,COMPOUND
AMIKACIN,AMIKACIN,https://pubchem.ncbi.nlm.nih.gov/compound/37768,FEATURED,37517-28-5,"108914-65-4, 38859-32-4, 110660-81-6, 111319-93-8, 110660-83-8, 1079316-47-4, 1079316-47-4, 38859-32-4, 111319-93-8, 110660-83-8, 108914-65-4",COMPOUND
AMILORIDE,AMILORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16231,FEATURED,"2609-46-3, 2016-88-8",,COMPOUND
AMINOACIDS,AMINOACIDS,https://pubchem.ncbi.nlm.nih.gov/substance/472419517,RELEVANT,2097132-02-8,,SUBSTANCE
AMINOACRIDINE,AMINOACRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/7019,FEATURED,90-45-9,148651-03-0,COMPOUND
AMINOCAPROIC_ACID,AMINOCAPROIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/564,FEATURED,"60-32-2, 1319-82-0","87867-96-7, 93208-38-9, 1153953-92-4, 1153953-92-4, 87867-96-7, 93208-38-9, 87867-96-7, 93208-38-9",COMPOUND
AMINOGLUTETHIMIDE,AMINOGLUTETHIMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2145,FEATURED,125-84-8,,COMPOUND
AMINOLEVULINIC_ACID,AMINOLEVULINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/137,FEATURED,106-60-5,1354778-41-8,COMPOUND
AMINOPHYLLINE,AMINOPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/9433,FEATURED,"317-34-0, 95646-60-9","12767-26-9, 8013-40-9, 80186-94-3, 442519-87-1, 12767-26-9, 442519-87-1, 8013-40-9, 80186-94-3",COMPOUND
AMINOPYRIDINE,AMINOPYRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/10439,FEATURED,"504-29-0, 26445-05-6, 24843-39-8","102769-74-4, 29212-31-5, 45505-67-7, 2222571-76-6, 102769-74-4, 2222571-76-6, 29212-31-5, 45505-67-7, 29212-31-5, 102769-74-4, 45505-67-7",COMPOUND
AMINOSALICYLIC_ACID,AMINOSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4649,FEATURED,65-49-6,2220148-96-7,COMPOUND
AMIODARONE,AMIODARONE,https://pubchem.ncbi.nlm.nih.gov/compound/2157,FEATURED,1951-25-3,,COMPOUND
AMITRIPTYLINE,AMITRIPTYLINE,https://pubchem.ncbi.nlm.nih.gov/compound/2160,FEATURED,50-48-6,,COMPOUND
AMLEXANOX,AMLEXANOX,https://pubchem.ncbi.nlm.nih.gov/compound/2161,FEATURED,68302-57-8,,COMPOUND
AMLODIPINE,AMLODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2162,FEATURED,88150-42-9,,COMPOUND
AMMONIA,AMMONIA,https://pubchem.ncbi.nlm.nih.gov/compound/222,FEATURED,7664-41-7,"208990-07-2, 214478-05-4, 8007-57-6, 558443-52-0, 1026405-88-8, 1026405-88-8, 208990-07-2, 214478-05-4, 558443-52-0, 8007-57-6, 558443-52-0, 208990-07-2, 214478-05-4, 8007-57-6, 8007-57-6",COMPOUND
AMMONIUM,AMMONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/223,FEATURED,"14798-03-9, 15194-15-7","12141-26-3, 194419-49-3",COMPOUND
AMOBARBITAL,AMOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2164,FEATURED,57-43-2,,COMPOUND
AMOXAPINE,AMOXAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2170,FEATURED,14028-44-5,,COMPOUND
AMOXICILLIN,AMOXICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33613,FEATURED,"26787-78-0, 61336-70-7","81030-75-3, 33911-69-2, 71447-36-4, 1236363-38-4, 81030-75-3, 71447-36-4, 1236363-38-4",COMPOUND
AMPHETAMINE,AMPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,FEATURED,"300-62-9, 51-64-9, 60-15-1","17108-96-2, 60-15-1, 96332-84-2, 96332-84-2, 60-15-1",COMPOUND
AMPHOTERICIN_B,AMPHOTERICIN B,https://pubchem.ncbi.nlm.nih.gov/compound/5280965,FEATURED,"1397-89-3; 30652-87-0, 1397-89-3","30782-62-8, 54482-28-9, 8055-20-7, 1407-52-9",COMPOUND
AMPICILLIN,AMPICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/6249,FEATURED,69-53-4,"33604-21-6, 37234-64-3, 47355-94-2, 50584-05-9, 800-79-3, 8056-87-9, 96707-69-6, 98520-55-9, 37234-64-3, 50584-05-9, 800-79-3, 33604-21-6, 96707-69-6, 98520-55-9, 47355-94-2",COMPOUND
AMPRENAVIR,AMPRENAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/65016,FEATURED,161814-49-9,,COMPOUND
AMRINONE,AMRINONE,https://pubchem.ncbi.nlm.nih.gov/compound/3698,FEATURED,60719-84-8,,COMPOUND
AMYL_NITRITE,AMYL NITRITE,https://pubchem.ncbi.nlm.nih.gov/compound/10026,FEATURED,"463-04-7, 8017-89-8",,COMPOUND
