molecule,crp,intprd,cas,drugid
ACETYLCYSTEINE#ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CARICA_PAPAYA#COBAMAMIDE#COLECALCIFEROL#FOLIC_ACID#INTRINSIC_FACTOR#LECITHIN#LEVOMEFOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PANTETHINE#PHOSPHATIDYLETHANOLAMINE#THIAMINE,CENTURION_LABS,PURALOR CI,80433-71-2,16915
ACETYLCYSTEINE#LEVOMEFOLIC_ACID#MECOBALAMIN#SCHIZOCHYTRIUM,ESTEVE,METAFOLBIC PLUS RF,616-91-1,95553
ACETYLCYSTEINE#PETASITES_OFFICINALIS#PICRORRHIZA_KURROA#ROSMARINUS_OFFICINALIS#SALIX_ALBA#VINPOCETINE,IOVATE,ALLERGY MD,616-91-1,95553
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,66158
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,69798
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,83624
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,91390
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,91711
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,50-78-2,15574
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,50-78-2,19460
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,50-78-2,56276
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,50-78-2,64893
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,103-90-2,48917
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,103-90-2,64433
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,103-90-2,68852
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,50-78-2,15574
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,50-78-2,19460
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,50-78-2,56276
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,50-78-2,64893
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,50-78-2,15574
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,50-78-2,19460
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,50-78-2,56276
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,50-78-2,64893
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,58-32-2,15574
ACETYLSALICYLIC_ACID#PHYTOSTEROLS_(UNSPECIFIED),BAYER,BAYER HEART ADVANT,50-78-2,15574
ACETYLSALICYLIC_ACID#PHYTOSTEROLS_(UNSPECIFIED),BAYER,BAYER HEART ADVANT,50-78-2,19460
ACETYLSALICYLIC_ACID#PHYTOSTEROLS_(UNSPECIFIED),BAYER,BAYER HEART ADVANT,50-78-2,56276
ACETYLSALICYLIC_ACID#PHYTOSTEROLS_(UNSPECIFIED),BAYER,BAYER HEART ADVANT,50-78-2,64893
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,12433
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,15198
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,23015
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,44403
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,54740
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,90455
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,59277-89-3,44258
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,59277-89-3,53498
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,59277-89-3,87715
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,59277-89-3,87725
ALOE_BARBADENSIS#BENZOYL_PEROXIDE,MISSION,BP MISS,94-36-0,78987
ALOE_BARBADENSIS#BENZOYL_PEROXIDE#HAMAMELIS_VIRGINIANA#PANTHENOL#RETINOL,UNIV_MEDICAL_PROD,ACNEFREE SEVERE,94-36-0,78987
ALOE_BARBADENSIS#BENZOYL_PEROXIDE#SALICYLIC_ACID,WALTMAN_PHARMCEUTI,ZAPZYT ACNE PACK,94-36-0,78987
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,12433
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,15198
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,23015
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,44403
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,54740
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,90455
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,9004-61-9,6807
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,9004-61-9,7103
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,9004-61-9,13469
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,9004-61-9,105492
ALOE_BARBADENSIS#HYALURONIC_ACID#SODIUM,NEILMED_PHARM,NASOGEL NEIL,9004-61-9,6807
ALOE_BARBADENSIS#HYALURONIC_ACID#SODIUM,NEILMED_PHARM,NASOGEL NEIL,9004-61-9,7103
ALOE_BARBADENSIS#HYALURONIC_ACID#SODIUM,NEILMED_PHARM,NASOGEL NEIL,9004-61-9,13469
ALOE_BARBADENSIS#HYALURONIC_ACID#SODIUM,NEILMED_PHARM,NASOGEL NEIL,9004-61-9,105492
ALOE_BARBADENSIS#HYDROCORTISONE#MENTHOL,WRASER_PHARM,NUZON,50-23-7,48942
ALOE_BARBADENSIS#HYDROCORTISONE#PRAMOCAINE,NOVUM_PHARMA_LLC,NOVACORT,50-23-7,48942
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,12433
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,15198
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,23015
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,44403
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,54740
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,90455
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,12433
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,15198
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,23015
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,44403
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,54740
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,90455
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,111025-46-8,48279
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,111025-46-8,55177
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,111025-46-8,59795
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,850649-61-5,59795
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,12433
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,15198
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,23015
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,44403
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,54740
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,90455
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,12433
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,15198
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,23015
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,44403
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,54740
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,90455
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,12433
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,15198
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,23015
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,44403
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,54740
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,90455
AMIODARONE#GLUCOSE,PHARMEDIUM,AMIODARO/GLUC PRMU,1951-25-3,57749
AMOXICILLIN#CLARITHROMYCIN#LANSOPRAZOLE,TAKEDA,PREVPAC,26787-78-0,44279
AMOXICILLIN#CLARITHROMYCIN#LANSOPRAZOLE,TAKEDA,PREVPAC,26787-78-0,49017
AMOXICILLIN#CLARITHROMYCIN#LANSOPRAZOLE,TAKEDA,PREVPAC,61336-70-7,44279
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,26787-78-0,44279
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,26787-78-0,49017
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,61336-70-7,44279
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,73590-58-6,34063
ARGATROBAN,NOVARTIS,ARGATROBAN    NOVT,74863-84-6,2565
ARGATROBAN,NOVARTIS,ARGATROBAN    NOVT,74863-84-6,73449
ARTICAINE#EPINEPHRINE,PIERREL,ORABLOC,51-43-4,46891
ARTICAINE#EPINEPHRINE,PIERREL,ORABLOC,51-43-4,98621
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,65-23-6,85192
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,65-23-6,109953
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,68-19-9,98637
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,68-19-9,98648
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,83-88-5,73506
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COBALT#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#INTRINSIC_FACTOR#MOLYBDENUM#VITAMIN_E,PRONOVA,HEMAX PRNO,68-19-9,98637
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COBALT#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#INTRINSIC_FACTOR#MOLYBDENUM#VITAMIN_E,PRONOVA,HEMAX PRNO,68-19-9,98648
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#METHYLFOLATE,AVION_PHARMA,FERIVAFA,68-19-9,98637
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#METHYLFOLATE,AVION_PHARMA,FERIVAFA,68-19-9,98648
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#VITAMIN_E,JUBILANT_LIFE_SCIE,TL-HEM,68-19-9,98637
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#VITAMIN_E,JUBILANT_LIFE_SCIE,TL-HEM,68-19-9,98648
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,65-23-6,85192
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,65-23-6,109953
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,68-19-9,98637
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,68-19-9,98648
