Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS
CHORIOGONADOTROPIN_ALFA,FENBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/25429,86-21-5,N/A
CHORIONIC_GONADOTROPHIN,FENFLURAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3337,50-06-6,"11097-06-6, 46755-67-3"
CHROMIUM,FENOFIBRATE,https://pubchem.ncbi.nlm.nih.gov/compound/3339,108-95-2,"14534-23-7, 50356-25-7, 8002-07-1, 8002-07-1, 14534-23-7"
CHRYSIN,FENOFIBRIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/64929,77-09-8; 5768-87-6,"467-29-8, 57214-20-7, 390417-24-0, 546094-13-7, 1541170-18-6, 1541170-18-6, 390417-24-0, 467-29-8, 546094-13-7, 57214-20-7, 546094-13-7, 467-29-8, 390417-24-0, 81-90-3"
CICLESONIDE,FENOLDOPAM,https://pubchem.ncbi.nlm.nih.gov/compound/3341,59-96-1,102737-84-8
CICLOPIROX,FENOPROFEN,https://pubchem.ncbi.nlm.nih.gov/compound/3342,122-09-8,"12674-13-4, 9008-94-0, 9008-94-0, 12674-13-4"
CICLOSPORIN,FENPROPOREX,https://pubchem.ncbi.nlm.nih.gov/compound/61810,50-60-2,N/A
CIDOFOVIR,FENTANYL,https://pubchem.ncbi.nlm.nih.gov/compound/6115,63-91-2,"10549-09-4, 3617-44-5, 5297-02-9, 67675-33-6, 801204-11-5, 2416148-28-0, 10549-09-4, 2416148-28-0, 3617-44-5, 5297-02-9, 67675-33-6, 801204-11-5, 10549-09-4, 5297-02-9, 801204-11-5, 3617-44-5"
CILASTATIN,FERUMOXIDES,https://pubchem.ncbi.nlm.nih.gov/compound/6432052,1821-12-1,N/A
CILOSTAZOL,FERUMOXSIL,https://pubchem.ncbi.nlm.nih.gov/substance/440790774,59-42-7,N/A
CIMETIDINE,FERUMOXYTOL,https://pubchem.ncbi.nlm.nih.gov/compound/6432052,33987-92-7,N/A
CIMICIFUGA_RACEMOSA,FESOTERODINE,N/A,N/A,N/A
CINACALCET,FEXOFENADINE,https://pubchem.ncbi.nlm.nih.gov/compound/3348,492-41-1,"134-60-1, 36393-57-4, 700-65-2"
CINCHOCAINE,FIBRINOGEN,https://pubchem.ncbi.nlm.nih.gov/compound/90540,92-12-6,9008-95-1
CINEOLE,FIDAXOMICIN,https://pubchem.ncbi.nlm.nih.gov/compound/10034073,119-61-9,"852361-03-6, 1711678-21-5, 445389-89-9, 1711678-21-5, 445389-89-9, 852361-03-6"
CINERARIA,FILGRASTIM,https://pubchem.ncbi.nlm.nih.gov/substance/440791125,N/A,N/A
CINNAMEDRINE,FINASTERIDE,https://pubchem.ncbi.nlm.nih.gov/compound/57363,89531-62-4,N/A
CINNAMOMUM_CAMPHORA,FINGOLIMOD,https://pubchem.ncbi.nlm.nih.gov/compound/107970,923-61-5,N/A
CINNAMOMUM_CASSIA,FISH,https://pubchem.ncbi.nlm.nih.gov/compound/59392303,1446756-47-3,N/A
CINNAMOMUM_LOUREIRII,FIXATIVES,https://pubchem.ncbi.nlm.nih.gov/compound/712,92128-87-5,N/A
CINNAMOMUM_ZEYLANICUM,FLAVIN-ADENINE DINUCLEOTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/643975,7664-38-2,"178560-73-1, 28602-75-7, 1021417-41-3, 1053657-23-0, 1196963-54-8, 959699-83-3, 1643589-98-3, 2055242-58-3, 1021417-41-3, 1053657-23-0, 1196963-54-8, 1643589-98-3, 178560-73-1, 2055242-58-3, 28602-75-7, 959699-83-3, 28602-75-7, 959699-83-3, 1053657-23-0, 178560-73-1, 1021417-41-3, 1196963-54-8"
CINOXACIN,FLAVIN MONONUCLEOTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/643976,7803-51-2,167076-44-0
CINOXATE,FLAVOCOXID,https://pubchem.ncbi.nlm.nih.gov/compound/75905632,N/A,N/A
CIPROFLOXACIN,FLAVOXATE,https://pubchem.ncbi.nlm.nih.gov/compound/3354,N/A,N/A
CISAPRIDE,FLECAINIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3356,57-47-6,"50975-37-6, 511-49-9, 511-49-9, 50975-37-6"
CISATRACURIUM_BESILATE,FLIBANSERIN,https://pubchem.ncbi.nlm.nih.gov/compound/6918248,83-86-3,"50762-79-3, 78039-41-5, 894854-44-5, 1206549-44-1, 1242436-18-5, 1206549-44-1, 1242436-18-5, 50762-79-3, 78039-41-5, 894854-44-5"
CISPLATIN,FLORBETAPIR (18F),https://pubchem.ncbi.nlm.nih.gov/compound/24822371,336622-97-0,N/A
CISSUS_QUADRANGULARIS,FLOXURIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5790,79083-00-4,"10485-69-5, 15973-57-6, 50926-17-5, 10485-69-5, 15973-57-6"
CITALOPRAM,FLUCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3365,554-62-1,N/A
CITICOLINE,FLUCYTOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/3366,N/A,N/A
CITRIC_ACID,FLUDARABINE,https://pubchem.ncbi.nlm.nih.gov/compound/657237,1353900-92-1,N/A
CITRONELLA_OIL,FLUDROCORTISONE,https://pubchem.ncbi.nlm.nih.gov/compound/31378,59-67-6,"123574-58-3, 1580002-26-1"
CITRULLINE,FLUDROXYCORTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/15209,10040-34-3,N/A
CITRULLUS_COLOCYNTHIS,FLUMAZENIL,https://pubchem.ncbi.nlm.nih.gov/compound/3373,N/A,N/A
CITRUS_AURANTIUM,FLUNISOLIDE,https://pubchem.ncbi.nlm.nih.gov/compound/82153,98-79-3,"16891-48-8, 29222-42-2, 498-91-9, 6886-28-8, 87430-62-4, 35255-51-7, 312618-42-1, 95650-42-3, 16891-48-8, 29222-42-2, 312618-42-1, 498-91-9, 6886-28-8, 87430-62-4, 95650-42-3, 312618-42-1, 16891-48-8, 498-91-9, 6886-28-8, 29222-42-2, 87430-62-4"
CITRUS_BERGAMIA,FLUOCINOLONE ACETONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/6215,92-13-7,91484-73-0
CITRUS_DECUMANA,FLUOCINONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/6215,N/A,N/A
CITRUS_LIMONUM,FLUORESCEIN,https://pubchem.ncbi.nlm.nih.gov/compound/1017,706779-91-1,N/A
CITRUS_PARADISI,FLUORINE,https://pubchem.ncbi.nlm.nih.gov/compound/14917,137071-32-0,N/A
CITRUS_SINENSIS,FLUOROMETHOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/9878,74150-27-9,118428-36-7
CLADRIBINE,FLUOROURACIL,https://pubchem.ncbi.nlm.nih.gov/compound/1176,2062-78-4,N/A
CLARITHROMYCIN,FLUOXETINE,https://pubchem.ncbi.nlm.nih.gov/compound/3386,N/A,N/A
CLAVICEPS_PURPUREA,FLUOXYMESTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/6446,13523-86-9,21870-06-4
CLAVULANIC_ACID,FLUPHENAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/3372,N/A,N/A
CLAY,FLURAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/3393,N/A,N/A
CLEMASTINE,FLURBIPROFEN,https://pubchem.ncbi.nlm.nih.gov/compound/3394,N/A,N/A
CLEVIDIPINE,FLUTAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3397,N/A,N/A
CLIDINIUM,FLUTICASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311101,111025-46-8,"105355-27-9, 198077-89-3"
CLINDAMYCIN,FLUTICASONE FUROATE,https://pubchem.ncbi.nlm.nih.gov/compound/9854489,52212-02-9,"67880-85-7, 84307-15-3"
CLIOQUINOL,FLUVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548972,69-53-4,"33604-21-6, 37234-64-3, 47355-94-2, 50584-05-9, 800-79-3, 8056-87-9, 96707-69-6, 98520-55-9, 37234-64-3, 50584-05-9, 800-79-3, 33604-21-6, 96707-69-6, 98520-55-9, 47355-94-2"
CLOBAZAM,FLUVOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/5324346,7280-37-7,29080-16-8
CLOBETASOL,FOENICULUM VULGARE,N/A,51-03-6,12750-92-4
CLOCORTOLONE,FOLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/135398658,N/A,N/A
CLOFARABINE,FOLLICLE-STIMULATING HORMONE,https://pubchem.ncbi.nlm.nih.gov/compound/62819,N/A,N/A
CLOFAZIMINE,FOLLITROPIN ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/481101638,N/A,N/A
CLOFEDANOL,FOLLITROPIN BETA,https://pubchem.ncbi.nlm.nih.gov/substance/481101639,7491-74-9,N/A
CLOFIBRATE,FOMEPIZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3406,38677-81-5,N/A
CLOMIFENE,FOMIVIRSEN,https://pubchem.ncbi.nlm.nih.gov/compound/71587550,53179-13-8,N/A
CLOMIPRAMINE,FONDAPARINUX SODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/636380,68890-66-4,N/A
CLONAZEPAM,FOOT CREAMS/LOTIONS,N/A,36322-90-4,N/A
CLONIDINE,FOOT POWDERS,https://pubmed.ncbi.nlm.nih.gov/31322928,147511-69-1,N/A
CLOPIDOGREL,FORMALDEHYDE,https://pubchem.ncbi.nlm.nih.gov/compound/712,N/A,N/A
CLORAZEPIC_ACID,FORMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/284,N/A,N/A
CLOSTRIDIUM_BOTULINUM_TOXIN_TYPE_A,FORMOTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/31721,N/A,N/A
CLOSTRIDIUM_BOTULINUM_TOXIN_TYPE_B,FORSYTHIA SUSPENSA,https://pubchem.ncbi.nlm.nih.gov/substance/482033094,N/A,N/A
CLOTRIMAZOLE,FOSAMPRENAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/131536,62354-43-2,N/A
CLOXACILLIN,FOSAPREPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/135413538,1154757-24-0,N/A
CLOXIQUINE,FOSCARNET SODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/44561,467426-54-6,N/A
CLOZAPINE,FOSFESTROL,https://pubchem.ncbi.nlm.nih.gov/compound/3032325,110078-46-1,N/A
CNIDIUM,FOSFOMYCIN TROMETAMOL,https://pubchem.ncbi.nlm.nih.gov/compound/6503,18378-89-7,N/A
COAL_TAR,FOSINOPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/55891,N/A,N/A
COBALT,FOSPHENYTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/56339,518-28-5,"11016-28-7, 8050-60-0, 8061-07-2, 8063-20-5"
COBAMAMIDE,FOSPROPOFOL,https://pubchem.ncbi.nlm.nih.gov/compound/3038498,477-47-4,17434-18-3
COBICISTAT,FOSTAMATINIB,N/A,N/A,N/A
COBIMETINIB,FRAGARIA ANANASSA,https://pubchem.ncbi.nlm.nih.gov/substance/482019114,71-23-8,N/A
COCAINE,FRAGARIA VESCA,https://pubchem.ncbi.nlm.nih.gov/substance/482032836,4536-30-5,N/A
COCAMIDOPROPYL_BETAINAMIDE_MONOETHANOLAMINE,FRAXINUS EXCELSIOR,https://pubchem.ncbi.nlm.nih.gov/substance/482032909,9012-76-4,"1118546-53-4, 1268699-64-4, 1403748-72-0, 1548444-29-6, 1869074-89-4, 1884679-12-2, 191045-06-4, 2027511-54-0, 2129975-33-1, 2138871-39-1, 2197029-97-1, 2387717-47-5, 2417799-74-5, 57285-05-9, 98241-50-0"
COCARBOXYLASE,FREMANEZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101640,56-81-5,"29796-42-7, 30049-52-6, 37228-54-9, 75398-78-6, 78630-16-7, 8013-25-0, 1400594-62-8, 1422250-43-8, 1629856-20-7, 1400594-62-8, 1422250-43-8, 1629856-20-7, 29796-42-7, 30049-52-6, 37228-54-9, 75398-78-6, 78630-16-7, 8013-25-0, 1422250-43-8, 29796-42-7, 30918-77-5, 1400594-62-8, 78630-16-7, 8013-25-0, 37228-54-9, 30049-52-6"
COCCULUS,FROVATRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/135398658,53637-25-5,"106717-66-2, 1087262-79-0, 1214718-60-1, 1220390-47-5, 124057-63-2, 125523-27-5, 12676-40-3, 12772-49-5, 1354714-46-7, 1359884-87-9, 138898-06-3, 1407593-02-5, 1426233-29-5, 1430143-53-5, 162627-00-1, 163032-64-2, 163063-49-8, 166738-09-6, 167267-50-7, 168018-54-0, 1700656-07-0, 170779-86-9, 172306-19-3, 1818351-41-5, 1851281-18-9, 186673-37-0, 1870006-85-1, 190735-22-9, 208342-25-0, 2087861-39-8, 209682-92-8, 2172821-14-4, 231627-80-8, 232598-91-3, 250780-00-8, 254903-86-1, 2708121-02-0, 291775-89-8, 30600-73-8, 37211-19-1, 37211-20-4, 37211-21-5, 37211-22-6, 37211-23-7, 37211-24-8, 37221-18-4, 37265-39-7, 37307-38-3, 37331-16-1, 37331-17-2, 37341-81-4, 374624-82-5, 39277-80-0, 39316-56-8, 39316-57-9, 39364-13-1, 39387-54-7, 452069-47-5, 472960-66-0, 50643-24-8, 51312-31-3, 51569-27-8, 53637-72-2, 56730-46-2, 570369-25-4, 57219-38-2, 57571-70-7, 57971-91-2, 58968-65-3, 59494-33-6, 59794-22-8, 60328-61-2, 60407-69-4, 60976-75-2, 634588-40-2, 64940-96-1, 65187-10-2, 65380-70-3, 66746-25-6, 69070-95-7, 69256-70-8, 70213-25-1, 70644-95-0, 71343-56-1, 72319-37-0, 73158-62-0, 76050-76-5, 76364-46-0, 77448-18-1, 77752-09-1, 778599-53-4, 797786-13-1, 81180-56-5, 84931-05-5, 86249-84-5, 862582-70-5, 86304-35-0, 877037-78-0, 87912-55-8, 87912-56-9, 9003-12-7, 9009-02-3, 9009-03-4, 9009-04-5, 9009-05-6, 9009-06-7, 9010-49-5, 9010-97-3, 9015-66-1, 9050-44-6, 905305-59-1, 9061-69-2, 9067-43-0, 91858-59-2, 98932-37-7"
COCOS_NUCIFERA,FRUCTOOLIGSACCHARIDES,N/A,53637-25-5,"106717-66-2, 1087262-79-0, 1214718-60-1, 1220390-47-5, 124057-63-2, 125523-27-5, 12676-40-3, 12772-49-5, 1354714-46-7, 1359884-87-9, 138898-06-3, 1407593-02-5, 1426233-29-5, 1430143-53-5, 162627-00-1, 163032-64-2, 163063-49-8, 166738-09-6, 167267-50-7, 168018-54-0, 1700656-07-0, 170779-86-9, 172306-19-3, 1818351-41-5, 1851281-18-9, 186673-37-0, 1870006-85-1, 190735-22-9, 208342-25-0, 2087861-39-8, 209682-92-8, 2172821-14-4, 231627-80-8, 232598-91-3, 250780-00-8, 254903-86-1, 2708121-02-0, 291775-89-8, 30600-73-8, 37211-19-1, 37211-20-4, 37211-21-5, 37211-22-6, 37211-23-7, 37211-24-8, 37221-18-4, 37265-39-7, 37307-38-3, 37331-16-1, 37331-17-2, 37341-81-4, 374624-82-5, 39277-80-0, 39316-56-8, 39316-57-9, 39364-13-1, 39387-54-7, 452069-47-5, 472960-66-0, 50643-24-8, 51312-31-3, 51569-27-8, 53637-72-2, 56730-46-2, 570369-25-4, 57219-38-2, 57571-70-7, 57971-91-2, 58968-65-3, 59494-33-6, 59794-22-8, 60328-61-2, 60407-69-4, 60976-75-2, 634588-40-2, 64940-96-1, 65187-10-2, 65380-70-3, 66746-25-6, 69070-95-7, 69256-70-8, 70213-25-1, 70644-95-0, 71343-56-1, 72319-37-0, 73158-62-0, 76050-76-5, 76364-46-0, 77448-18-1, 77752-09-1, 778599-53-4, 797786-13-1, 81180-56-5, 84931-05-5, 86249-84-5, 862582-70-5, 86304-35-0, 877037-78-0, 87912-55-8, 87912-56-9, 9003-12-7, 9009-02-3, 9009-03-4, 9009-04-5, 9009-05-6, 9009-06-7, 9010-49-5, 9010-97-3, 9015-66-1, 9050-44-6, 905305-59-1, 9061-69-2, 9067-43-0, 91858-59-2, 98932-37-7"
CODEINE,FRUCTOSE,https://pubchem.ncbi.nlm.nih.gov/compound/2723872,53637-25-5,"106717-66-2, 1087262-79-0, 1214718-60-1, 1220390-47-5, 124057-63-2, 125523-27-5, 12676-40-3, 12772-49-5, 1354714-46-7, 1359884-87-9, 138898-06-3, 1407593-02-5, 1426233-29-5, 1430143-53-5, 162627-00-1, 163032-64-2, 163063-49-8, 166738-09-6, 167267-50-7, 168018-54-0, 1700656-07-0, 170779-86-9, 172306-19-3, 1818351-41-5, 1851281-18-9, 186673-37-0, 1870006-85-1, 190735-22-9, 208342-25-0, 2087861-39-8, 209682-92-8, 2172821-14-4, 231627-80-8, 232598-91-3, 250780-00-8, 254903-86-1, 2708121-02-0, 291775-89-8, 30600-73-8, 37211-19-1, 37211-20-4, 37211-21-5, 37211-22-6, 37211-23-7, 37211-24-8, 37221-18-4, 37265-39-7, 37307-38-3, 37331-16-1, 37331-17-2, 37341-81-4, 374624-82-5, 39277-80-0, 39316-56-8, 39316-57-9, 39364-13-1, 39387-54-7, 452069-47-5, 472960-66-0, 50643-24-8, 51312-31-3, 51569-27-8, 53637-72-2, 56730-46-2, 570369-25-4, 57219-38-2, 57571-70-7, 57971-91-2, 58968-65-3, 59494-33-6, 59794-22-8, 60328-61-2, 60407-69-4, 60976-75-2, 634588-40-2, 64940-96-1, 65187-10-2, 65380-70-3, 66746-25-6, 69070-95-7, 69256-70-8, 70213-25-1, 70644-95-0, 71343-56-1, 72319-37-0, 73158-62-0, 76050-76-5, 76364-46-0, 77448-18-1, 77752-09-1, 778599-53-4, 797786-13-1, 81180-56-5, 84931-05-5, 86249-84-5, 862582-70-5, 86304-35-0, 877037-78-0, 87912-55-8, 87912-56-9, 9003-12-7, 9009-02-3, 9009-03-4, 9009-04-5, 9009-05-6, 9009-06-7, 9010-49-5, 9010-97-3, 9015-66-1, 9050-44-6, 905305-59-1, 9061-69-2, 9067-43-0, 91858-59-2, 98932-37-7"
CODONOPSIS,FUCOXANTHIN,https://pubchem.ncbi.nlm.nih.gov/compound/5281239,N/A,N/A
COD_LIVER_OIL,FUCUS VESICULOSUS,https://pubchem.ncbi.nlm.nih.gov/compound/92023653,N/A,N/A
COFFEA,FULVESTRANT,https://pubchem.ncbi.nlm.nih.gov/compound/104741,51274-09-0,N/A
COIX_LACHRYMA-JOBI,FUMARIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/482032537,N/A,N/A
COLA_ACUMINATA,FUMARIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/444972,N/A,N/A
COLA_NITIDA,FURAZOLIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/3435,74-85-1,"33060-30-9, 87701-64-2, 87701-65-3, 33060-30-9, 87701-65-3"
COLCHICINE,FUROSEMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3440,N/A,N/A
COLECALCIFEROL,GABAPENTIN,N/A,N/A,N/A
COLESEVELAM,GABAPENTIN ENACARBIL,https://pubchem.ncbi.nlm.nih.gov/compound/9883933,1404-26-8,N/A
COLESTIPOL,GADOBENIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/6918204,N/A,N/A
COLESTYRAMINE,GADOBUTROL,https://pubchem.ncbi.nlm.nih.gov/compound/6102852,N/A,N/A
COLEUS_FORSKOHLII,GADODIAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/6329,N/A,N/A
COLFOSCERIL_PALMITATE,GADOFOSVESET,https://pubchem.ncbi.nlm.nih.gov/compound/73049652,N/A,N/A
COLISTIN,GADOPENTETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4436967,N/A,N/A
COLLAGEN,GADOTERIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/158536,N/A,N/A
COLLAGENASE,GADOTERIDOL,https://pubchem.ncbi.nlm.nih.gov/compound/60714,N/A,N/A
COLLAGENASE_CLOSTRIDIUM_HISTOLYTICUM,GADOVERSETAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/444013,N/A,N/A
COLLODIONS,GADOXETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/91754427,N/A,N/A
COLOSTRUM,GALACTOSE,https://pubchem.ncbi.nlm.nih.gov/compound/967,N/A,N/A
COMMIPHORA_MOLMOL,GALANTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/9651,N/A,N/A
COMMIPHORA_WIGHTII,GALCANEZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101641,N/A,N/A
