molecule,crp,intprd,cas,drugid
BETAINE#CALCIUM_FOLINATE#COBAMAMIDE#COCARBOXYLASE#DOCONEXENT#FLAVIN-ADENINE_DINUCLEOTIDE#FOLIC_ACID#ICOSAPENT#IRON_FERROUS#MAGNESIUM#METHYLFOLATE#NADIDE#PHOSPHATIDYL_SERINE#PYRIDOXAL_5-PHOSPHATE#ZINC,JAYMAC_PHARMA,ENBRACE HR,10417-94-4,70004
BETAINE#CALCIUM_FOLINATE#COBAMAMIDE#COCARBOXYLASE#DOCONEXENT#FLAVIN-ADENINE_DINUCLEOTIDE#FOLIC_ACID#ICOSAPENT#IRON_FERROUS#MAGNESIUM#METHYLFOLATE#NADIDE#PHOSPHATIDYL_SERINE#PYRIDOXAL_5-PHOSPHATE#ZINC,JAYMAC_PHARMA,ENBRACE HR,6217-54-5,70004
BROMPHENIRAMINE#CHLORPHENAMINE#PHENYLEPHRINE#PSEUDOEPHEDRINE#SCOPOLAMINE_METHYL_HYDROXIDE,MELDEX_INTERNAT.,SYMPAK II,132-22-9,91390
BROMPHENIRAMINE#CHLORPHENAMINE#PHENYLEPHRINE#PSEUDOEPHEDRINE#SCOPOLAMINE_METHYL_HYDROXIDE,MELDEX_INTERNAT.,SYMPAK II,90-82-4,91390
BROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PERNIX,DROCON-CS,125-29-1,91390
BROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PERNIX,DROCON-CS,90-82-4,91390
BROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PERNIX,DROCON-CS,125-29-1,91396
BROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PERNIX,DROCON-CS,90-82-4,91396
BUPRENORPHINE#NALOXONE,INDIVIOR,SUBOXONE,465-65-6,64940
BUPRENORPHINE#NALOXONE,INDIVIOR,SUBOXONE,52485-79-7,64940
BUPRENORPHINE#NALOXONE,INDIVIOR,SUBOXONE,465-65-6,66004
BUPRENORPHINE#NALOXONE,INDIVIOR,SUBOXONE,52485-79-7,66004
BUPRENORPHINE#NALOXONE,INDIVIOR,SUBOXONE,465-65-6,75426
BUPRENORPHINE#NALOXONE,INDIVIOR,SUBOXONE,52485-79-7,75426
CETIRIZINE#PSEUDOEPHEDRINE,JOHNSON_&_JOHNSON,ZYRTEC DUO,83881-51-0,13110
CETIRIZINE#PSEUDOEPHEDRINE,JOHNSON_&_JOHNSON,ZYRTEC DUO,90-82-4,13110
CHLORPHENAMINE#CLOFEDANOL#PSEUDOEPHEDRINE,JAYMAC_PHARMA,DRYMAX AF,132-22-9,91390
CHLORPHENAMINE#CLOFEDANOL#PSEUDOEPHEDRINE,JAYMAC_PHARMA,DRYMAX AF,90-82-4,91390
CHLORPHENAMINE#CODEINE#PARACETAMOL,MCR/AMERICAN_PHARM,COTABFLU,132-22-9,66158
CHLORPHENAMINE#CODEINE#PARACETAMOL,MCR/AMERICAN_PHARM,COTABFLU,76-57-3,66158
CHLORPHENAMINE#CODEINE#PARACETAMOL,MCR/AMERICAN_PHARM,COTABFLU,132-22-9,91711
CHLORPHENAMINE#CODEINE#PARACETAMOL,MCR/AMERICAN_PHARM,COTABFLU,76-57-3,91711
CHLORPHENAMINE#CODEINE#PHENYLEPHRINE,CAPITAL_PHARM,CAPCOF,132-22-9,66158
CHLORPHENAMINE#CODEINE#PHENYLEPHRINE,CAPITAL_PHARM,CAPCOF,76-57-3,66158
CHLORPHENAMINE#CODEINE#PHENYLEPHRINE,CAPITAL_PHARM,CAPCOF,132-22-9,91711
CHLORPHENAMINE#CODEINE#PHENYLEPHRINE,CAPITAL_PHARM,CAPCOF,76-57-3,91711
CHLORPHENAMINE#DIHYDROCODEINE#PSEUDOEPHEDRINE,KV_PHARM,HYDRO-TUSSIN DHC,132-22-9,91390
CHLORPHENAMINE#DIHYDROCODEINE#PSEUDOEPHEDRINE,KV_PHARM,HYDRO-TUSSIN DHC,90-82-4,91390
CHLORPHENAMINE#DIPHENHYDRAMINE#PSEUDOEPHEDRINE,WOCKHARDT,C-PHED DPD TANNATE,132-22-9,91390
CHLORPHENAMINE#DIPHENHYDRAMINE#PSEUDOEPHEDRINE,WOCKHARDT,C-PHED DPD TANNATE,90-82-4,91390
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,125-29-1,69798
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,132-22-9,69798
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,125-29-1,83624
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,132-22-9,83624
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,125-29-1,91390
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,132-22-9,91390
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,90-82-4,91390
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,125-29-1,91396
CHLORPHENAMINE#GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,MAGNA_PHARM,ZTUSS,90-82-4,91396
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,125-29-1,69798
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,132-22-9,69798
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,125-29-1,83624
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,132-22-9,83624
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,125-29-1,91390
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,132-22-9,91390
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,90-82-4,91390
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,125-29-1,91396
CHLORPHENAMINE#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,TUSSEND,90-82-4,91396
CHLORPHENAMINE#IBUPROFEN#PSEUDOEPHEDRINE,PFIZER,ADVIL ALRGY SINUS,132-22-9,91390
CHLORPHENAMINE#IBUPROFEN#PSEUDOEPHEDRINE,PFIZER,ADVIL ALRGY SINUS,90-82-4,91390
CHLORPHENAMINE#PHENYLEPHRINE#PSEUDOEPHEDRINE#SCOPOLAMINE_METHYL_HYDROXIDE,CHIESI,ALLERX 10,132-22-9,91390
CHLORPHENAMINE#PHENYLEPHRINE#PSEUDOEPHEDRINE#SCOPOLAMINE_METHYL_HYDROXIDE,CHIESI,ALLERX 10,90-82-4,91390
CHLORPHENAMINE#PSEUDOEPHEDRINE#SCOPOLAMINE,CAPELLON,RESCON MX,132-22-9,91390
CHLORPHENAMINE#PSEUDOEPHEDRINE#SCOPOLAMINE,CAPELLON,RESCON MX,90-82-4,91390
CHONDROITINSULFURIC_ACID#COLLAGEN#DOCONEXENT#FISH#GLUCOSAMINE#HYALURONIC_ACID#ICOSAPENT,ICELAND_HEALTH,JOINT RELIEF  ICEL,10417-94-4,70004
CHONDROITINSULFURIC_ACID#COLLAGEN#DOCONEXENT#FISH#GLUCOSAMINE#HYALURONIC_ACID#ICOSAPENT,ICELAND_HEALTH,JOINT RELIEF  ICEL,6217-54-5,70004
CIPROFLOXACIN#HYDROCORTISONE,NOVARTIS,CIPRO HC,50-23-7,48942
CIPROFLOXACIN#HYDROCORTISONE,NOVARTIS,CIPRO HC,85721-33-1,48942
CODEINE#HYDROCODONE#PSEUDOEPHEDRINE,STEWART_JACKSON,NOTUSS UNSP,125-29-1,91390
CODEINE#HYDROCODONE#PSEUDOEPHEDRINE,STEWART_JACKSON,NOTUSS UNSP,90-82-4,91390
CODEINE#HYDROCODONE#PSEUDOEPHEDRINE,STEWART_JACKSON,NOTUSS UNSP,125-29-1,91396
CODEINE#HYDROCODONE#PSEUDOEPHEDRINE,STEWART_JACKSON,NOTUSS UNSP,90-82-4,91396
DASABUVIR#OMBITASVIR#PARITAPREVIR#RITONAVIR,ABBVIE,VIEKIRA PAK,1132935-63-7,100124
DASABUVIR#OMBITASVIR#PARITAPREVIR#RITONAVIR,ABBVIE,VIEKIRA PAK,1216941-48-8,100124
DASABUVIR#OMBITASVIR#PARITAPREVIR#RITONAVIR,ABBVIE,VIEKIRA PAK,1258226-87-7,100124
DASABUVIR#OMBITASVIR#PARITAPREVIR#RITONAVIR,ABBVIE,VIEKIRA PAK,155213-67-5,100124
DEXBROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,BRIGHTON_PHARM,DXBPM/HYCD/PE BGHP,125-29-1,91390
DEXBROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,BRIGHTON_PHARM,DXBPM/HYCD/PE BGHP,90-82-4,91390
DEXBROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,BRIGHTON_PHARM,DXBPM/HYCD/PE BGHP,125-29-1,91396
DEXBROMPHENIRAMINE#HYDROCODONE#PSEUDOEPHEDRINE,BRIGHTON_PHARM,DXBPM/HYCD/PE BGHP,90-82-4,91396
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,10417-94-4,70004
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,6217-54-5,70004
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,24390-14-5,10198
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,564-25-0,10198
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,24390-14-5,46927
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,564-25-0,46927
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,24390-14-5,92069
DOCONEXENT#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,564-25-0,92069
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,10417-94-4,70004
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,6217-54-5,70004
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,24390-14-5,10198
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,564-25-0,10198
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,24390-14-5,46927
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,564-25-0,46927
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,24390-14-5,92069
DOCOSAHEXANOIC_ACID#DOXYCYCLINE#ICOSAPENT#LINUM_USITATISSIMUM#VITAMIN_E,AKORN,NUTRIDOX,564-25-0,92069
DOXYCYCLINE#OCTINOXATE#SALICYLIC_ACID#ZINC,AVIDAS_PHARM,AVIDOXY DK,24390-14-5,10198
DOXYCYCLINE#OCTINOXATE#SALICYLIC_ACID#ZINC,AVIDAS_PHARM,AVIDOXY DK,564-25-0,10198
DOXYCYCLINE#OCTINOXATE#SALICYLIC_ACID#ZINC,AVIDAS_PHARM,AVIDOXY DK,24390-14-5,46927
DOXYCYCLINE#OCTINOXATE#SALICYLIC_ACID#ZINC,AVIDAS_PHARM,AVIDOXY DK,564-25-0,46927
DOXYCYCLINE#OCTINOXATE#SALICYLIC_ACID#ZINC,AVIDAS_PHARM,AVIDOXY DK,24390-14-5,92069
DOXYCYCLINE#OCTINOXATE#SALICYLIC_ACID#ZINC,AVIDAS_PHARM,AVIDOXY DK,564-25-0,92069
DROSPIRENONE#ETHINYLESTRADIOL,TEVA,GIANVI,57-63-6,2963
DROSPIRENONE#ETHINYLESTRADIOL,TEVA,GIANVI,67392-87-4,2963
DROSPIRENONE#ETHINYLESTRADIOL#LEVOMEFOLIC_ACID,LUPIN_LABORATORIES,DROS/ETHI/LEV LUPI,57-63-6,2963
DROSPIRENONE#ETHINYLESTRADIOL#LEVOMEFOLIC_ACID,LUPIN_LABORATORIES,DROS/ETHI/LEV LUPI,67392-87-4,2963
DROSPIRENONE#ETHINYLESTRADIOL#METHYLFOLATE,LUPIN_LABORATORIES,TYDEMY,57-63-6,2963
DROSPIRENONE#ETHINYLESTRADIOL#METHYLFOLATE,LUPIN_LABORATORIES,TYDEMY,67392-87-4,2963
ETHINYLESTRADIOL#NORELGESTROMIN,MYLAN,XULANE,53016-31-2,4582
ETHINYLESTRADIOL#NORELGESTROMIN,MYLAN,XULANE,57-63-6,4582
FLUTICASONE_FUROATE#VILANTEROL,GLAXOSMITHKLINE,BREO ELLIPTA,397864-44-7,59060
FLUTICASONE_FUROATE#VILANTEROL,GLAXOSMITHKLINE,BREO ELLIPTA,503068-34-6,59060
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,10238-21-8,29182
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,657-24-9,29182
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,1115-70-4,6050
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,657-24-9,6050
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,1115-70-4,49077
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,657-24-9,49077
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,1115-70-4,49829
GLIBENCLAMIDE#METFORMIN,BRISTOL-MYERS_SQB.,GLUCOVANCE,657-24-9,49829
GLYCOPYRRONIUM#INDACATEROL,SUMITOMO_DAINIPPON,UTIBRON NEOHALER,312753-06-3,53427
GLYCOPYRRONIUM#INDACATEROL,SUMITOMO_DAINIPPON,UTIBRON NEOHALER,740028-90-4,53427
GLYCOPYRRONIUM#INDACATEROL,SUMITOMO_DAINIPPON,UTIBRON NEOHALER,596-51-0,34139
GLYCOPYRRONIUM#INDACATEROL,SUMITOMO_DAINIPPON,UTIBRON NEOHALER,740028-90-4,34139
GLYCOPYRRONIUM#INDACATEROL,SUMITOMO_DAINIPPON,UTIBRON NEOHALER,596-51-0,41417
GLYCOPYRRONIUM#INDACATEROL,SUMITOMO_DAINIPPON,UTIBRON NEOHALER,740028-90-4,41417
GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,VANEX,125-29-1,91390
GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,VANEX,90-82-4,91390
GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,VANEX,125-29-1,91396
GUAIFENESIN#HYDROCODONE#PSEUDOEPHEDRINE,PFIZER,VANEX,90-82-4,91396
HYDROCHLOROTHIAZIDE#QUINAPRIL,PFIZER,ACCURETIC,58-93-5,70341
HYDROCHLOROTHIAZIDE#QUINAPRIL,PFIZER,ACCURETIC,85441-61-8,70341
HYDROCODONE#PSEUDOEPHEDRINE#TRIPROLIDINE,VINDEX,ZYMINE HC,125-29-1,91390
HYDROCODONE#PSEUDOEPHEDRINE#TRIPROLIDINE,VINDEX,ZYMINE HC,90-82-4,91390
HYDROCODONE#PSEUDOEPHEDRINE#TRIPROLIDINE,VINDEX,ZYMINE HC,125-29-1,91396
HYDROCODONE#PSEUDOEPHEDRINE#TRIPROLIDINE,VINDEX,ZYMINE HC,90-82-4,91396
KETOTIFEN,GLAXOSMITHKLINE,PROFILASMIN-PED,34580-13-7,44412
KETOTIFEN,GLAXOSMITHKLINE,PROFILASMIN-PED,34580-14-8,44412
LAMIVUDINE#TENOFOVIR_DISOPROXIL,MYLAN,RICOVIR L,134678-17-4,73625
LAMIVUDINE#TENOFOVIR_DISOPROXIL,MYLAN,RICOVIR L,201341-05-1,73625
LAMIVUDINE#TENOFOVIR_DISOPROXIL,MYLAN,RICOVIR L,134678-17-4,109933
LAMIVUDINE#TENOFOVIR_DISOPROXIL,MYLAN,RICOVIR L,201341-05-1,109933
LAMIVUDINE#TENOFOVIR_DISOPROXIL,MYLAN,RICOVIR L,134678-17-4,113752
LAMIVUDINE#TENOFOVIR_DISOPROXIL,MYLAN,RICOVIR L,201341-05-1,113752
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,111025-46-8,48279
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,657-24-9,48279
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,111025-46-8,55177
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,657-24-9,55177
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,1115-70-4,6050
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,657-24-9,6050
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,1115-70-4,49077
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,657-24-9,49077
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,1115-70-4,49829
METFORMIN#PIOGLITAZONE,TAKEDA,ACTOPLUS MET,657-24-9,49829
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,1115-70-4,6050
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,657-24-9,6050
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,1115-70-4,49077
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,657-24-9,49077
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,1115-70-4,49829
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,657-24-9,49829
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,122320-73-4,56823
METFORMIN#ROSIGLITAZONE,GLAXOSMITHKLINE,AVANDAMET,657-24-9,56823
PEMIROLAST,JOHNSON_&_JOHNSON,ALAMAST,100299-08-9,6165
PEMIROLAST,JOHNSON_&_JOHNSON,ALAMAST,69372-19-6,6165
