molecule,crp,intprd,cas,drugid
ABARELIX,GLAXOSMITHKLINE,PLENAXIS,183552-38-7,14912
ABEMACICLIB,LILLY,VERZENIO,1231929-97-7,72538
ABIRATERONE_ACETATE,JOHNSON_&_JOHNSON,ZYTIGA,154229-18-2,"10309, 77813"
ACALABRUTINIB,ASTRAZENECA,CALQUENCE,1420477-60-6,89714
ACAMPROSATE,ALLERGAN,CAMPRAL,77337-76-9,10402
ACARBOSE,BAYER,GLUCOBAY,56180-94-0,6051
ACEMANNAN,CARRINGTON_LAB,CARRASYN HYDROGEL,110042-95-0,8959
ACETYLCYSTEINE,CUMBERLAND_PHARMAC,ACETADOTE,616-91-1,"72900, 95553"
ACETYLSALICYLIC_ACID#OMEPRAZOLE,GENUS_LIFESCIENCES,YOSPRALA,50-78-2,"15574, 19460, 46197, 56276, 63942, 64893"
ACETYLSALICYLIC_ACID#OMEPRAZOLE,GENUS_LIFESCIENCES,YOSPRALA,73590-58-6,"34063, 44305, 45877, 63942"
ACETYLSALICYLIC_ACID#PRAVASTATIN,BRISTOL-MYERS_SQB.,PRAVIGARD PAC,50-78-2,"15574, 19460, 46197, 56276, 63942, 64893"
ACETYLSALICYLIC_ACID#PRAVASTATIN,BRISTOL-MYERS_SQB.,PRAVIGARD PAC,81093-37-0,"4155, 46197"
ACICLOVIR#HYDROCORTISONE,BAUSCH_HEALTH,XERESE,50-23-7,"17335, 48942"
ACICLOVIR#HYDROCORTISONE,BAUSCH_HEALTH,XERESE,59277-89-3,"17335, 44258, 53498, 87715, 87725"
ACITRETIN,GLAXOSMITHKLINE,SORIATANE,55079-83-9,2417
ACLIDINIUM_BROMIDE,ASTRAZENECA,EKLIRA GENUAIR,320345-99-1,"31012, 60482"
ACRIVASTINE#PSEUDOEPHEDRINE,ENDO_INTERNATIONAL,SEMPREX-D,87848-99-5,5920
ACRIVASTINE#PSEUDOEPHEDRINE,ENDO_INTERNATIONAL,SEMPREX-D,90-82-4,"13110, 48398, 91390, 91396"
ADAPALENE,NESTLE,DIFFERINE,106685-40-9,9411
ADAPALENE#BENZOYL_PEROXIDE,NESTLE,EPIDUO,106685-40-9,9411
ADAPALENE#BENZOYL_PEROXIDE,NESTLE,EPIDUO,94-36-0,"78987, 90148"
ADEFOVIR_DIPIVOXIL,GILEAD_SCIENCES,HEPSERA,142340-99-6,6747
AFATINIB,BOEHRINGER_INGEL,GIOTRIF,850140-72-6,54449
AFLIBERCEPT,REGENERON,EYLEA,862111-32-8,"29992, 53547"
ALBENDAZOLE,AMNEAL_PHARM,ALBENZA,54965-21-8,12132
ALCAFTADINE,ALLERGAN,LASTACAFT,147084-10-4,56370
ALECTINIB,ROCHE,ALECENSA,1256580-46-7,69066
ALENDRONIC_ACID,MERCK_&_CO,FOSAMAX,66376-36-1,"2472, 52781, 62266"
ALENDRONIC_ACID#COLECALCIFEROL,MERCK_&_CO,FOSAMAX PLUS D,66376-36-1,"2472, 52781, 62266"
ALENDRONIC_ACID#COLECALCIFEROL,MERCK_&_CO,FOSAMAX PLUS D,67-97-0,52781
ALFUZOSIN,CONCORDIA,UROXATRAL,81403-80-7,47478
ALISKIREN,NODEN_PHARMA,TEKTURNA,173334-57-1,"29717, 54291, 61906, 61908, 70338"
ALISKIREN#AMLODIPINE,NOVARTIS,TEKAMLO,173334-57-1,"29717, 54291, 61906, 61908, 70338"
ALISKIREN#AMLODIPINE,NOVARTIS,TEKAMLO,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,173334-57-1,"29717, 54291, 61906, 61908, 70338"
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
ALISKIREN#HYDROCHLOROTHIAZIDE,NODEN_PHARMA,TEKTURNA HCT,173334-57-1,"29717, 54291, 61906, 61908, 70338"
ALISKIREN#HYDROCHLOROTHIAZIDE,NODEN_PHARMA,TEKTURNA HCT,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
ALISKIREN#VALSARTAN,NOVARTIS,VALTURNA,137862-53-4,"2773, 16073, 54288, 54291, 58782, 70525, 75647, 99721"
ALISKIREN#VALSARTAN,NOVARTIS,VALTURNA,173334-57-1,"29717, 54291, 61906, 61908, 70338"
ALITRETINOIN,EISAI,PANRETIN,5300-03-8,6591
ALLOPURINOL#LESINURAD,IRONWOOD,DUZALLO,878672-00-5,60236
ALMOTRIPTAN,JOHNSON_&_JOHNSON,AXERT,154323-57-6,10524
ALMOTRIPTAN,JOHNSON_&_JOHNSON,AXERT,181183-52-8,10524
ALOGLIPTIN,TAKEDA,NESINA,850649-61-5,"47480, 59795, 64334"
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,1115-70-4,"6050, 49077, 49829"
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,657-24-9,"6050, 27454, 29182, 48279, 49077, 49829, 54657, 55177, 56555, 56823, 59100, 59370, 64334, 67614, 68567, 68598, 74198, 82005, 84865, 93902"
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,850649-61-5,"47480, 59795, 64334"
ALOSETRON,SEBELA_PHARMACEUT,LOTRONEX,122852-42-0,2479
ALPRAZOLAM,PFIZER,XANAX,28981-97-7,"44259, 91549"
ALTRETAMINE,EISAI,HEXALEN,645-05-6,13010
ALVIMOPAN,MERCK_&_CO,ENTEREG,156053-89-3,9447
ALVIMOPAN,MERCK_&_CO,ENTEREG,170098-38-1,9447
AMANTADINE,ADAMAS_PHARMA_INC,GOCOVRI,768-94-5,"65752, 69001"
AMBRISENTAN,GILEAD_SCIENCES,LETAIRIS,177036-94-1,18425
AMFETAMINE,TRIS_PHARMA,DYANAVEL XR,300-62-9,"25009, 83871, 90362, 91271"
AMFETAMINE,TRIS_PHARMA,DYANAVEL XR,51-64-9,25009
AMIFOSTINE,CUMBERLAND_PHARMAC,ETHYOL,20537-88-6,2495
AMINOLEVULINIC_ACID,SUN_PHARMA,LEVULAN,106-60-5,"7932, 51204, 71946"
AMIODARONE,PFIZER,CORDARONE,1951-25-3,"44374, 57749"
AMLEXANOX,PHILIPS,APHTHASOL,68302-57-8,"5930, 46861"
AMLODIPINE,PFIZER,NORVASC,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#ATORVASTATIN,PFIZER,CADUET,134523-00-5,"2807, 33475, 57054"
AMLODIPINE#ATORVASTATIN,PFIZER,CADUET,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#BENAZEPRIL,NOVARTIS,LOTREL,86541-75-5,"2620, 44413, 70340"
AMLODIPINE#BENAZEPRIL,NOVARTIS,LOTREL,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,144689-63-4,8946
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,137862-53-4,"2773, 16073, 54288, 54291, 58782, 70525, 75647, 99721"
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,AZOR DAIC,144689-63-4,8946
AMLODIPINE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,AZOR DAIC,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,107133-36-8,17745
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,82834-16-0,"17745, 73272"
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#TELMISARTAN,BOEHRINGER_INGEL,TWYNSTA,144701-48-4,"5051, 61090, 70337"
AMLODIPINE#TELMISARTAN,BOEHRINGER_INGEL,TWYNSTA,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMLODIPINE#VALSARTAN,NOVARTIS,EXFORGE,137862-53-4,"2773, 16073, 54288, 54291, 58782, 70525, 75647, 99721"
AMLODIPINE#VALSARTAN,NOVARTIS,EXFORGE,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869"
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,26787-78-0,"44279, 44284, 49017"
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,58001-44-8,44284
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,61336-70-7,44279
AMPHOTERICIN_B,ASTELLAS_PHARMA,AMBISOME,1397-89-3,"2503, 4565, 9740, 66485, 66570"
AMPICILLIN#SULBACTAM,PFIZER,UNASYN,68373-14-8,"6322, 44400"
AMPICILLIN#SULBACTAM,PFIZER,UNASYN,69-53-4,44400
AMPRENAVIR,GLAXOSMITHKLINE,AGENERASE,161814-49-9,7867
AMRINONE,SANOFI,INOCOR,60719-84-8,2506
ANAGRELIDE,TAKEDA,AGRYLIN,68475-42-3,2509
ANASTROZOLE,ANI_PHARMACEUTICAL,ARIMIDEX,120511-73-1,3321
ANIDULAFUNGIN,PFIZER,ERAXIS,166663-25-8,5728
APALUTAMIDE,JOHNSON_&_JOHNSON,ERLEADA,956104-40-8,66240
APIXABAN,BRISTOL-MYERS_SQB.,ELIQUIS,503612-47-3,52967
APOMORPHINE,US_WORLDMEDS,APOKYN,41372-20-7,50484
APOMORPHINE,US_WORLDMEDS,APOKYN,58-00-4,50484
APREMILAST,CELGENE_CORP,OTEZLA,608141-41-9,44897
APREPITANT,MERCK_&_CO,EMEND,170729-80-3,"16748, 93496"
ARFORMOTEROL,SUMITOMO_DAINIPPON,BROVANA,67346-49-0,9100
ARFORMOTEROL,SUMITOMO_DAINIPPON,BROVANA,73573-87-2,"6140, 30712, 55921, 57366, 60482, 63702"
ARIPIPRAZOLE,OTSUKA,ABILIFY,129722-12-9,"7781, 53257, 64328, 65523"
ARIPIPRAZOLE_LAUROXIL,ALKERMES,ARISTADA,1259305-29-7,65523
ARMODAFINIL,TEVA,NUVIGIL,112111-43-0,48357
ARTEMETHER#LUMEFANTRINE,NOVARTIS,COARTEM,71963-77-4,8896
ASENAPINE,ALLERGAN,SAPHRIS,65576-45-6,3775
ATAZANAVIR,BRISTOL-MYERS_SQB.,REYATAZ,198904-31-3,"15254, 74263"
ATAZANAVIR#COBICISTAT,BRISTOL-MYERS_SQB.,EVOTAZ,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324"
ATAZANAVIR#COBICISTAT,BRISTOL-MYERS_SQB.,EVOTAZ,198904-31-3,"15254, 74263"
ATENOLOL,ALVOGEN,TENORMIN,29122-68-7,"44280, 52220"
ATENOLOL#CHLORTALIDONE,ALVOGEN,TENORETIC,29122-68-7,"44280, 52220"
ATENOLOL#CHLORTALIDONE,ALVOGEN,TENORETIC,77-36-1,"52220, 62924"
ATOMOXETINE,LILLY,STRATTERA,82248-59-7,16905
ATOMOXETINE,LILLY,STRATTERA,83015-26-3,16905
ATORVASTATIN,PFIZER,LIPITOR,134523-00-5,"2807, 33475, 57054"
ATORVASTATIN#EZETIMIBE,MERCK_&_CO,LIPTRUZET,134523-00-5,"2807, 33475, 57054"
ATORVASTATIN#EZETIMIBE,MERCK_&_CO,LIPTRUZET,163222-33-1,"11367, 34501, 57054"
ATOVAQUONE,GLAXOSMITHKLINE,WELLVONE,95233-18-4,"2577, 23459"
ATOVAQUONE#PROGUANIL,GLAXOSMITHKLINE,MALARONE,500-92-5,23459
ATOVAQUONE#PROGUANIL,GLAXOSMITHKLINE,MALARONE,95233-18-4,"2577, 23459"
ATROPINE#PRALIDOXIME,PFIZER,DUODOTE,51-55-8,88074
AVANAFIL,MIST_PHARMA_LLC,STENDRA,330784-47-9,33090
AVATROMBOPAG,DOVA_PHARM,DOPTELET,570406-98-3,54683
AXITINIB,PFIZER,INLYTA,319460-85-0,39209
AZACITIDINE,CELGENE_CORP,VIDAZA,320-67-2,37370
AZELAIC_ACID,LEO_PHARMA,FINACEA,123-99-9,9001
AZELASTINE,MYLAN,ALLERGODIL,58581-89-8,"16957, 60104, 94487"
AZELASTINE#FLUTICASONE,MYLAN,DYMISTA,58581-89-8,"16957, 60104, 94487"
AZELASTINE#FLUTICASONE,MYLAN,DYMISTA,90566-53-3,"3159, 42259, 53774, 60104, 87312"
AZILSARTAN_MEDOXOMIL,ARBOR_PHARM,EDARBI,863031-21-4,"55714, 62924"
AZILSARTAN_MEDOXOMIL#CHLORTALIDONE,ARBOR_PHARM,EDARBYCLOR,77-36-1,"52220, 62924"
AZILSARTAN_MEDOXOMIL#CHLORTALIDONE,ARBOR_PHARM,EDARBYCLOR,863031-21-4,"55714, 62924"
AZITHROMYCIN,AKORN,AZASITE,83905-01-5,"2587, 31495, 51284"
AZTREONAM#LYSINE,GILEAD_SCIENCES,CAYSTON,78110-38-0,38769
BALOXAVIR_MARBOXIL,ROCHE,XOFLUZA,1985606-14-1,91188
BALSALAZIDE,BAUSCH_HEALTH,COLAZAL,80573-04-2,12625
BARICITINIB,LILLY,OLUMIANT,1187594-09-7,59098
BAZEDOXIFENE#ESTROGENIC_SUBSTANCES-_CONJUGATED,PFIZER,DUAVEE,198481-32-2,52732
BEDAQUILINE,JOHNSON_&_JOHNSON,SIRTURO,843663-66-1,51310
BELINOSTAT,SPECTRUM_PHARM,BELEODAQ,414864-00-9,39159
BENAZEPRIL,VALIDUS_PHARM,LOTENSIN,86541-75-5,"2620, 44413, 70340"
BENAZEPRIL#HYDROCHLOROTHIAZIDE,VALIDUS_PHARM,LOTENSIN HCT,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
BENAZEPRIL#HYDROCHLOROTHIAZIDE,VALIDUS_PHARM,LOTENSIN HCT,86541-75-5,"2620, 44413, 70340"
BENDAMUSTINE,TEVA,TREANDA,16506-27-7,"47000, 90511"
BENZOIC_ACID#PHENYLETHYLACETIC_ACID,BAUSCH_HEALTH,AMMONUL,65-85-0,13343
BENZOYL_PEROXIDE#CLINDAMYCIN,BAUSCH_HEALTH,BENZACLIN,18323-44-9,"44370, 46999, 62195, 62738"
BENZOYL_PEROXIDE#CLINDAMYCIN,BAUSCH_HEALTH,BENZACLIN,94-36-0,"78987, 90148"
BEPOTASTINE,BAUSCH_HEALTH,BEPREVE,125602-71-3,50257
BESIFLOXACIN,BAUSCH_HEALTH,BESIVANCE,141388-76-3,32010
BETAMETHASONE,MERCK_&_CO,CELESTONE,378-44-9,44281
BETAMETHASONE#CALCIPOTRIOL,LEO_PHARMA,DAIVOBET,112965-21-6,"12242, 50974, 63740, 65925"
BETAMETHASONE#CALCIPOTRIOL,LEO_PHARMA,DAIVOBET,378-44-9,44281
BETAXOLOL,NOVARTIS,BETOPTIC,63659-18-7,"2626, 80040"
BETRIXABAN,PORTOLA_PHARMA,BEVYXXA,330942-05-7,44219
BICALUTAMIDE,ANI_PHARMACEUTICAL,CASODEX,90357-06-5,3311
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,143491-54-7,4728
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,143491-57-0,"4728, 49219, 50038, 62277, 63988, 72153, 75324, 94396, 95280, 100097"
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,1611493-60-7,100097
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,379270-37-8,"40532, 72153, 75324, 94396, 95280, 100097"
BIMATOPROST,ALLERGAN,LUMIGAN,155206-00-1,12838
BINIMETINIB,ARRAY_BIOPHARMA,MEKTOVI,606143-89-9,55305
BISMUTH#METRONIDAZOLE#TETRACYCLINE,ALLERGAN,PYLERA,443-48-1,"17168, 17249, 89957"
BISMUTH#METRONIDAZOLE#TETRACYCLINE,ALLERGAN,PYLERA,60-54-8,17249
BISOPROLOL,TEVA,ZEBETA,66722-44-9,"44372, 70332"
BISOPROLOL#HYDROCHLOROTHIAZIDE,TEVA,ZIAC,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
BISOPROLOL#HYDROCHLOROTHIAZIDE,TEVA,ZIAC,66722-44-9,"44372, 70332"
BIVALIRUDIN,THE_MEDICINES_CO,ANGIOMAX,128270-60-0,"3285, 109146"
BOCEPREVIR,MERCK_&_CO,VICTRELIS,394730-60-0,15322
BORTEZOMIB,TAKEDA,VELCADE,179324-69-7,15954
BOSENTAN,JOHNSON_&_JOHNSON,TRACLEER,147536-97-8,5871
BOSUTINIB,PFIZER,BOSULIF,380843-75-4,30379
BRENTUXIMAB_VEDOTIN,SEATTLE_GENETICS,ADCETRIS,914088-09-8,39172
BREXPIPRAZOLE,OTSUKA,REXULTI,913611-97-9,62001
BRIMONIDINE,ALLERGAN,ALPHAGAN,59803-98-4,"8897, 54133, 55053, 70572"
BRIMONIDINE#BRINZOLAMIDE,NOVARTIS,SIMBRINZA,138890-62-7,"9906, 70572"
BRIMONIDINE#BRINZOLAMIDE,NOVARTIS,SIMBRINZA,59803-98-4,"8897, 54133, 55053, 70572"
BRIMONIDINE#TIMOLOL,ALLERGAN,COMBIGAN,26839-75-8,"44315, 50845, 54133, 70335"
BRIMONIDINE#TIMOLOL,ALLERGAN,COMBIGAN,59803-98-4,"8897, 54133, 55053, 70572"
BRINZOLAMIDE,NOVARTIS,AZOPT,138890-62-7,"9906, 70572"
BRIVARACETAM,UCB,BRIVIACT,357336-20-0,37592
BUDESONIDE,ASTRAZENECA,PULMICORT,51333-22-3,"5957, 30712, 55981, 57983, 59670"
BUDESONIDE#FORMOTEROL,ASTRAZENECA,SYMBICORT,51333-22-3,"5957, 30712, 55981, 57983, 59670"
BUDESONIDE#FORMOTEROL,ASTRAZENECA,SYMBICORT,73573-87-2,"6140, 30712, 55921, 57366, 60482, 63702"
BUPRENORPHINE,BIODELIVERY_SCI,BELBUCA,52485-79-7,"2695, 31115, 33497, 54734, 57557, 64940, 66004, 75426, 82591"
BUPROPION,BAUSCH_HEALTH,APLENZIN,34911-55-2,"5929, 44017, 55454, 56401, 58643"
BUPROPION#NALTREXONE,NALPROPION_PHARM,CONTRAVE,16590-41-3,"30864, 54244, 55454, 68997"
BUPROPION#NALTREXONE,NALPROPION_PHARM,CONTRAVE,34911-55-2,"5929, 44017, 55454, 56401, 58643"
BUSPIRONE,BRISTOL-MYERS_SQB.,BUSPAR,36505-84-7,"44364, 51012"
BUSULFAN,PRASCO_LABS,MYLERAN,55-98-1,9829
BUTORPHANOL,BRISTOL-MYERS_SQB.,STADOL,42408-82-2,12241
BUTYLATED_HYDROXYANISOLE#CAPSAICIN,NEUROGESX,QUTENZA,404-86-4,39893
CABAZITAXEL,SANOFI,JEVTANA,183133-96-2,28035
CABERGOLINE,PFIZER,DOSTINEX,81409-90-7,2705
CABOZANTINIB,EXELIXIS,COMETRIQ,849217-68-1,50935
CALCIPOTRIOL,LEO_PHARMA,DAIVONEX,112965-21-6,"12242, 50974, 63740, 65925"
CALCITRIOL,NESTLE,SILKIS,32222-06-3,"10643, 12265"
CANAGLIFLOZIN,JOHNSON_&_JOHNSON,INVOKANA,842133-18-0,"57592, 67614, 74198"
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,1115-70-4,"6050, 49077, 49829"
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,657-24-9,"6050, 27454, 29182, 48279, 49077, 49829, 54657, 55177, 56555, 56823, 59100, 59370, 64334, 67614, 68567, 68598, 74198, 82005, 84865, 93902"
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,842133-18-0,"57592, 67614, 74198"
CANDESARTAN_CILEXETIL,ANI_PHARMACEUTICAL,ATACAND,145040-37-5,4522
CANDESARTAN_CILEXETIL#HYDROCHLOROTHIAZIDE,ANI_PHARMACEUTICAL,ATACAND PLUS,145040-37-5,4522
CANDESARTAN_CILEXETIL#HYDROCHLOROTHIAZIDE,ANI_PHARMACEUTICAL,ATACAND PLUS,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291"
CANGRELOR,CHIESI,KENGREAL,163706-06-7,19901
CANNABIDIOL,GW_PHARMACEUTICALS,EPIDIOLEX,13956-29-1,57457
CAPECITABINE,ROCHE,XELODA,154361-50-9,12205
CAPTOPRIL,ENDO_INTERNATIONAL,CAPOTEN,62571-86-2,44366
CARBAMAZEPINE,NOVARTIS,TEGRETOL,298-46-4,"12781, 44697, 59158"
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,130929-57-6,"6556, 33005"
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,28860-95-9,"33005, 44388, 58997, 60718, 60977, 94517"
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,59-92-7,"33005, 44388, 58997, 60718, 60977, 69677, 94517"
CARBOPLATIN,BRISTOL-MYERS_SQB.,PARAPLATIN,41575-94-4,44383
CARFILZOMIB,AMGEN,KYPROLIS,868540-17-4,54601
CARGLUMIC_ACID,RECORDATI,CARBAGLU,1188-38-1,59928
CARIPRAZINE,ALLERGAN,VRAYLAR,839712-12-8,51405
CARVEDILOL,GLAXOSMITHKLINE,KREDEX,72956-09-3,"8955, 48477"
CASPOFUNGIN,MERCK_&_CO,CANCIDAS,162808-62-0,12544
CEFACLOR,LILLY,CECLOR,53994-73-3,44367
CEFADROXIL,ALLERGAN,DURICEF,50370-12-2,46931
CEFDINIR,ABBVIE,OMNICEF,91832-40-5,5969
CEFDITOREN_PIVOXIL,VANSEN_PHARMA,SPECTRACEF,117467-28-4,10229
CEFOTAXIME,PFIZER,CLAFORAN,63527-52-6,44369
CEFPODOXIME_PROXETIL,PFIZER,VANTIN,87239-81-4,2740
CEFPROZIL,BRISTOL-MYERS_SQB.,CEFZIL,92665-29-7,5975
CEFPROZIL,BRISTOL-MYERS_SQB.,CEFZIL,92676-86-3,5975
CEFTAROLINE_FOSAMIL,ALLERGAN,TEFLARO,229016-73-3,42107
CEFTIBUTEN,PERNIX,CEDAX,97519-39-6,2742
CEFTOLOZANE#TAZOBACTAM,MERCK_&_CO,ZERBAXA,689293-68-3,63012
CEFTOLOZANE#TAZOBACTAM,MERCK_&_CO,ZERBAXA,89786-04-9,"29446, 63012"
CEFTRIAXONE,ROCHE,ROCEPHIN,73384-59-5,44384
CEFUROXIME,GLAXOSMITHKLINE,ZINACEF,55268-75-2,44368
CEFUROXIME_AXETIL,GLAXOSMITHKLINE,ZINNAT,64544-07-6,44368
CELECOXIB,PFIZER,CELEBREX,169590-42-5,"12135, 90955"
CERITINIB,NOVARTIS,ZYKADIA,1032900-25-6,69858
CERIVASTATIN,BAYER,LIPOBAY,145599-86-6,2595
CETRORELIX,MERCK_KGAA,CETROTIDE,120287-85-6,6817
CEVIMELINE,DAIICHI_SANKYO,EVOXAC,107233-08-9,3150
CHOLINE_FENOFIBRATE,ABBVIE,TRILIPIX,856676-23-8,55355
CICLESONIDE,COVIS_PHARMA,ALVESCO,126544-47-6,"12803, 39889"
CICLOSPORIN,ALLERGAN,RESTASIS,59865-13-3,"5999, 11392, 43538, 93113"
