molecule,crp,intprd,cas,matched_drugid,match_type_ncas,different_compounds
ACLIDINIUM_BROMIDE,ASTRAZENECA,EKLIRA GENUAIR,320345-99-1,"31012, 60482",1,0
ACRIVASTINE#PSEUDOEPHEDRINE,ENDO_INTERNATIONAL,SEMPREX-D,87848-99-5,5920,1,0
ACRIVASTINE#PSEUDOEPHEDRINE,ENDO_INTERNATIONAL,SEMPREX-D,90-82-4,"13110, 48398, 91390, 91396",1,0
ADAPALENE,NESTLE,DIFFERINE,106685-40-9,9411,1,0
ADAPALENE#BENZOYL_PEROXIDE,NESTLE,EPIDUO,106685-40-9,9411,1,0
ADAPALENE#BENZOYL_PEROXIDE,NESTLE,EPIDUO,94-36-0,"78987, 90148",1,0
ADEFOVIR_DIPIVOXIL,GILEAD_SCIENCES,HEPSERA,142340-99-6,6747,1,0
AFATINIB,BOEHRINGER_INGEL,GIOTRIF,850140-72-6,54449,1,0
AFLIBERCEPT,REGENERON,EYLEA,862111-32-8,"29992, 53547",1,0
ALBENDAZOLE,AMNEAL_PHARM,ALBENZA,54965-21-8,12132,1,0
ALCAFTADINE,ALLERGAN,LASTACAFT,147084-10-4,56370,1,0
ALECTINIB,ROCHE,ALECENSA,1256580-46-7,69066,1,0
ALENDRONIC_ACID,MERCK_&_CO,FOSAMAX,66376-36-1,"2472, 52781, 62266",1,0
ALENDRONIC_ACID#COLECALCIFEROL,MERCK_&_CO,FOSAMAX PLUS D,66376-36-1,"2472, 52781, 62266",1,0
ALENDRONIC_ACID#COLECALCIFEROL,MERCK_&_CO,FOSAMAX PLUS D,67-97-0,52781,1,0
ALENDRONIC_ACID#COLECALCIFEROL,MERCK_&_CO,FOSAMAX PLUS D,"66376-36-1, 67-97-0",52781,2,1
ALFUZOSIN,CONCORDIA,UROXATRAL,81403-80-7,47478,1,0
ALISKIREN,NODEN_PHARMA,TEKTURNA,173334-57-1,"29717, 54291, 61906, 61908, 70338",1,0
ALISKIREN#AMLODIPINE,NOVARTIS,TEKAMLO,173334-57-1,"29717, 54291, 61906, 61908, 70338",1,0
ALISKIREN#AMLODIPINE,NOVARTIS,TEKAMLO,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
ALISKIREN#AMLODIPINE,NOVARTIS,TEKAMLO,"173334-57-1, 88150-42-9",61906,2,1
ALISKIREN#AMLODIPINE,NOVARTIS,TEKAMLO,"173334-57-1, 88150-42-9",61908,2,1
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,173334-57-1,"29717, 54291, 61906, 61908, 70338",1,0
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,"58-93-5, 88150-42-9",59553,2,1
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,"173334-57-1, 88150-42-9",61906,2,1
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,"173334-57-1, 58-93-5, 88150-42-9",61908,3,1
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,"173334-57-1, 58-93-5",70338,2,1
ALISKIREN#AMLODIPINE#HYDROCHLOROTHIAZIDE,NOVARTIS,AMTURNIDE,"58-93-5, 88150-42-9",70525,2,1
ALISKIREN#HYDROCHLOROTHIAZIDE,NODEN_PHARMA,TEKTURNA HCT,173334-57-1,"29717, 54291, 61906, 61908, 70338",1,0
ALISKIREN#HYDROCHLOROTHIAZIDE,NODEN_PHARMA,TEKTURNA HCT,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
ALISKIREN#HYDROCHLOROTHIAZIDE,NODEN_PHARMA,TEKTURNA HCT,"173334-57-1, 58-93-5",61908,2,1
ALISKIREN#HYDROCHLOROTHIAZIDE,NODEN_PHARMA,TEKTURNA HCT,"173334-57-1, 58-93-5",70338,2,1
ALISKIREN#VALSARTAN,NOVARTIS,VALTURNA,137862-53-4,"2773, 16073, 54288, 54291, 58782, 70525, 75647, 99721",1,0
ALISKIREN#VALSARTAN,NOVARTIS,VALTURNA,173334-57-1,"29717, 54291, 61906, 61908, 70338",1,0
ALISKIREN#VALSARTAN,NOVARTIS,VALTURNA,"137862-53-4, 173334-57-1",54291,2,1
ALITRETINOIN,EISAI,PANRETIN,5300-03-8,6591,1,0
ALLOPURINOL#LESINURAD,IRONWOOD,DUZALLO,878672-00-5,60236,1,0
ALMOTRIPTAN,JOHNSON_&_JOHNSON,AXERT,154323-57-6,10524,1,0
ALMOTRIPTAN,JOHNSON_&_JOHNSON,AXERT,181183-52-8,10524,1,0
ALMOTRIPTAN,JOHNSON_&_JOHNSON,AXERT,"154323-57-6, 181183-52-8",10524,2,0
ALOGLIPTIN,TAKEDA,NESINA,850649-61-5,"47480, 59795, 64334",1,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,1115-70-4,"6050, 49077, 49829",1,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,657-24-9,"6050, 27454, 29182, 48279, 49077, 49829, 54657, 55177, 56555, 56823, 59100, 59370, 64334, 67614, 68567, 68598, 74198, 82005, 84865, 93902",1,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,850649-61-5,"47480, 59795, 64334",1,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,"1115-70-4, 657-24-9",6050,2,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,"1115-70-4, 657-24-9",49077,2,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,"1115-70-4, 657-24-9",49829,2,0
ALOGLIPTIN#METFORMIN,TAKEDA,KAZANO,"657-24-9, 850649-61-5",64334,2,1
ALOSETRON,SEBELA_PHARMACEUT,LOTRONEX,122852-42-0,2479,1,0
ALPRAZOLAM,PFIZER,XANAX,28981-97-7,"44259, 91549",1,0
ALTRETAMINE,EISAI,HEXALEN,645-05-6,13010,1,0
ALVIMOPAN,MERCK_&_CO,ENTEREG,156053-89-3,9447,1,0
ALVIMOPAN,MERCK_&_CO,ENTEREG,170098-38-1,9447,1,0
ALVIMOPAN,MERCK_&_CO,ENTEREG,"156053-89-3, 170098-38-1",9447,2,0
AMANTADINE,ADAMAS_PHARMA_INC,GOCOVRI,768-94-5,"65752, 69001",1,0
AMBRISENTAN,GILEAD_SCIENCES,LETAIRIS,177036-94-1,18425,1,0
AMFETAMINE,TRIS_PHARMA,DYANAVEL XR,300-62-9,"25009, 83871, 90362, 91271",1,0
AMFETAMINE,TRIS_PHARMA,DYANAVEL XR,51-64-9,25009,1,0
AMFETAMINE,TRIS_PHARMA,DYANAVEL XR,"300-62-9, 51-64-9",25009,2,1
AMIFOSTINE,CUMBERLAND_PHARMAC,ETHYOL,20537-88-6,2495,1,0
AMINOLEVULINIC_ACID,SUN_PHARMA,LEVULAN,106-60-5,"7932, 51204, 71946",1,0
AMIODARONE,PFIZER,CORDARONE,1951-25-3,"44374, 57749",1,0
AMLEXANOX,PHILIPS,APHTHASOL,68302-57-8,"5930, 46861",1,0
AMLODIPINE,PFIZER,NORVASC,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#ATORVASTATIN,PFIZER,CADUET,134523-00-5,"2807, 33475, 57054",1,0
AMLODIPINE#ATORVASTATIN,PFIZER,CADUET,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#ATORVASTATIN,PFIZER,CADUET,"134523-00-5, 88150-42-9",33475,2,1
AMLODIPINE#BENAZEPRIL,NOVARTIS,LOTREL,86541-75-5,"2620, 44413, 70340",1,0
AMLODIPINE#BENAZEPRIL,NOVARTIS,LOTREL,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#BENAZEPRIL,NOVARTIS,LOTREL,"86541-75-5, 88150-42-9",44413,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,144689-63-4,8946,1,0
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,"58-93-5, 88150-42-9",59553,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,"58-93-5, 88150-42-9",61908,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,TRIBENZOR,"58-93-5, 88150-42-9",70525,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,137862-53-4,"2773, 16073, 54288, 54291, 58782, 70525, 75647, 99721",1,0
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,"137862-53-4, 58-93-5",16073,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,"137862-53-4, 88150-42-9",54288,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,"58-93-5, 88150-42-9",59553,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,"58-93-5, 88150-42-9",61908,2,1
AMLODIPINE#HYDROCHLOROTHIAZIDE#VALSARTAN,NOVARTIS,EXFORGE HCT,"137862-53-4, 58-93-5, 88150-42-9",70525,3,1
AMLODIPINE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,AZOR DAIC,144689-63-4,8946,1,0
AMLODIPINE#OLMESARTAN_MEDOXOMIL,DAIICHI_SANKYO,AZOR DAIC,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,107133-36-8,17745,1,0
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,82834-16-0,"17745, 73272",1,0
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,"107133-36-8, 82834-16-0",17745,2,0
AMLODIPINE#PERINDOPRIL,ADHERA_THERAPEUTIC,PRESTALIA,"82834-16-0, 88150-42-9",73272,2,1
AMLODIPINE#TELMISARTAN,BOEHRINGER_INGEL,TWYNSTA,144701-48-4,"5051, 61090, 70337",1,0
AMLODIPINE#TELMISARTAN,BOEHRINGER_INGEL,TWYNSTA,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#TELMISARTAN,BOEHRINGER_INGEL,TWYNSTA,"144701-48-4, 88150-42-9",61090,2,1
AMLODIPINE#VALSARTAN,NOVARTIS,EXFORGE,137862-53-4,"2773, 16073, 54288, 54291, 58782, 70525, 75647, 99721",1,0
AMLODIPINE#VALSARTAN,NOVARTIS,EXFORGE,88150-42-9,"2500, 33475, 44413, 54288, 55609, 59553, 61090, 61906, 61908, 70525, 73272, 90955, 117869",1,0
AMLODIPINE#VALSARTAN,NOVARTIS,EXFORGE,"137862-53-4, 88150-42-9",54288,2,1
AMLODIPINE#VALSARTAN,NOVARTIS,EXFORGE,"137862-53-4, 88150-42-9",70525,2,1
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,26787-78-0,"44279, 44284, 49017",1,0
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,58001-44-8,44284,1,0
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,61336-70-7,44279,1,0
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,"26787-78-0, 61336-70-7",44279,2,0
AMOXICILLIN#CLAVULANIC_ACID,NEOPHARMA,AUGMENTIN,"26787-78-0, 58001-44-8",44284,2,1
AMPHOTERICIN_B,ASTELLAS_PHARMA,AMBISOME,1397-89-3,"2503, 4565, 9740, 66485, 66570",1,0
AMPICILLIN#SULBACTAM,PFIZER,UNASYN,68373-14-8,"6322, 44400",1,0
AMPICILLIN#SULBACTAM,PFIZER,UNASYN,69-53-4,44400,1,0
AMPICILLIN#SULBACTAM,PFIZER,UNASYN,"68373-14-8, 69-53-4",44400,2,1
AMPRENAVIR,GLAXOSMITHKLINE,AGENERASE,161814-49-9,7867,1,0
AMRINONE,SANOFI,INOCOR,60719-84-8,2506,1,0
ANAGRELIDE,TAKEDA,AGRYLIN,68475-42-3,2509,1,0
ANASTROZOLE,ANI_PHARMACEUTICAL,ARIMIDEX,120511-73-1,3321,1,0
ANIDULAFUNGIN,PFIZER,ERAXIS,166663-25-8,5728,1,0
APALUTAMIDE,JOHNSON_&_JOHNSON,ERLEADA,956104-40-8,66240,1,0
APIXABAN,BRISTOL-MYERS_SQB.,ELIQUIS,503612-47-3,52967,1,0
APOMORPHINE,US_WORLDMEDS,APOKYN,41372-20-7,50484,1,0
APOMORPHINE,US_WORLDMEDS,APOKYN,58-00-4,50484,1,0
APOMORPHINE,US_WORLDMEDS,APOKYN,"41372-20-7, 58-00-4",50484,2,0
APREMILAST,CELGENE_CORP,OTEZLA,608141-41-9,44897,1,0
APREPITANT,MERCK_&_CO,EMEND,170729-80-3,"16748, 93496",1,0
ARFORMOTEROL,SUMITOMO_DAINIPPON,BROVANA,67346-49-0,9100,1,0
ARFORMOTEROL,SUMITOMO_DAINIPPON,BROVANA,73573-87-2,"6140, 30712, 55921, 57366, 60482, 63702",1,0
ARIPIPRAZOLE,OTSUKA,ABILIFY,129722-12-9,"7781, 53257, 64328, 65523",1,0
ARIPIPRAZOLE_LAUROXIL,ALKERMES,ARISTADA,1259305-29-7,65523,1,0
ARMODAFINIL,TEVA,NUVIGIL,112111-43-0,48357,1,0
ARTEMETHER#LUMEFANTRINE,NOVARTIS,COARTEM,71963-77-4,8896,1,0
ASENAPINE,ALLERGAN,SAPHRIS,65576-45-6,3775,1,0
ATAZANAVIR,BRISTOL-MYERS_SQB.,REYATAZ,198904-31-3,"15254, 74263",1,0
ATAZANAVIR#COBICISTAT,BRISTOL-MYERS_SQB.,EVOTAZ,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324",1,0
ATAZANAVIR#COBICISTAT,BRISTOL-MYERS_SQB.,EVOTAZ,198904-31-3,"15254, 74263",1,0
ATAZANAVIR#COBICISTAT,BRISTOL-MYERS_SQB.,EVOTAZ,"1004316-88-4, 198904-31-3",74263,2,1
ATENOLOL,ALVOGEN,TENORMIN,29122-68-7,"44280, 52220",1,0
ATENOLOL#CHLORTALIDONE,ALVOGEN,TENORETIC,29122-68-7,"44280, 52220",1,0
ATENOLOL#CHLORTALIDONE,ALVOGEN,TENORETIC,77-36-1,"52220, 62924",1,0
ATENOLOL#CHLORTALIDONE,ALVOGEN,TENORETIC,"29122-68-7, 77-36-1",52220,2,1
ATOMOXETINE,LILLY,STRATTERA,82248-59-7,16905,1,0
ATOMOXETINE,LILLY,STRATTERA,83015-26-3,16905,1,0
ATOMOXETINE,LILLY,STRATTERA,"82248-59-7, 83015-26-3",16905,2,0
ATORVASTATIN,PFIZER,LIPITOR,134523-00-5,"2807, 33475, 57054",1,0
ATORVASTATIN#EZETIMIBE,MERCK_&_CO,LIPTRUZET,134523-00-5,"2807, 33475, 57054",1,0
ATORVASTATIN#EZETIMIBE,MERCK_&_CO,LIPTRUZET,163222-33-1,"11367, 34501, 57054",1,0
ATORVASTATIN#EZETIMIBE,MERCK_&_CO,LIPTRUZET,"134523-00-5, 163222-33-1",57054,2,1
ATOVAQUONE,GLAXOSMITHKLINE,WELLVONE,95233-18-4,"2577, 23459",1,0
ATOVAQUONE#PROGUANIL,GLAXOSMITHKLINE,MALARONE,500-92-5,23459,1,0
ATOVAQUONE#PROGUANIL,GLAXOSMITHKLINE,MALARONE,95233-18-4,"2577, 23459",1,0
ATOVAQUONE#PROGUANIL,GLAXOSMITHKLINE,MALARONE,"500-92-5, 95233-18-4",23459,2,1
ATROPINE#PRALIDOXIME,PFIZER,DUODOTE,51-55-8,88074,1,0
AVANAFIL,MIST_PHARMA_LLC,STENDRA,330784-47-9,33090,1,0
AVATROMBOPAG,DOVA_PHARM,DOPTELET,570406-98-3,54683,1,0
AXITINIB,PFIZER,INLYTA,319460-85-0,39209,1,0
AZACITIDINE,CELGENE_CORP,VIDAZA,320-67-2,37370,1,0
AZELAIC_ACID,LEO_PHARMA,FINACEA,123-99-9,9001,1,0
AZELASTINE,MYLAN,ALLERGODIL,58581-89-8,"16957, 60104, 94487",1,0
AZELASTINE#FLUTICASONE,MYLAN,DYMISTA,58581-89-8,"16957, 60104, 94487",1,0
AZELASTINE#FLUTICASONE,MYLAN,DYMISTA,90566-53-3,"3159, 42259, 53774, 60104, 87312",1,0
AZELASTINE#FLUTICASONE,MYLAN,DYMISTA,"58581-89-8, 90566-53-3",60104,2,1
AZILSARTAN_MEDOXOMIL,ARBOR_PHARM,EDARBI,863031-21-4,"55714, 62924",1,0
AZILSARTAN_MEDOXOMIL#CHLORTALIDONE,ARBOR_PHARM,EDARBYCLOR,77-36-1,"52220, 62924",1,0
AZILSARTAN_MEDOXOMIL#CHLORTALIDONE,ARBOR_PHARM,EDARBYCLOR,863031-21-4,"55714, 62924",1,0
AZILSARTAN_MEDOXOMIL#CHLORTALIDONE,ARBOR_PHARM,EDARBYCLOR,"77-36-1, 863031-21-4",62924,2,1
AZITHROMYCIN,AKORN,AZASITE,83905-01-5,"2587, 31495, 51284",1,0
AZTREONAM#LYSINE,GILEAD_SCIENCES,CAYSTON,78110-38-0,38769,1,0
BALOXAVIR_MARBOXIL,ROCHE,XOFLUZA,1985606-14-1,91188,1,0
BALSALAZIDE,BAUSCH_HEALTH,COLAZAL,80573-04-2,12625,1,0
BARICITINIB,LILLY,OLUMIANT,1187594-09-7,59098,1,0
BAZEDOXIFENE#ESTROGENIC_SUBSTANCES-_CONJUGATED,PFIZER,DUAVEE,198481-32-2,52732,1,0
BEDAQUILINE,JOHNSON_&_JOHNSON,SIRTURO,843663-66-1,51310,1,0
BELINOSTAT,SPECTRUM_PHARM,BELEODAQ,414864-00-9,39159,1,0
BENAZEPRIL,VALIDUS_PHARM,LOTENSIN,86541-75-5,"2620, 44413, 70340",1,0
BENAZEPRIL#HYDROCHLOROTHIAZIDE,VALIDUS_PHARM,LOTENSIN HCT,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
BENAZEPRIL#HYDROCHLOROTHIAZIDE,VALIDUS_PHARM,LOTENSIN HCT,86541-75-5,"2620, 44413, 70340",1,0
BENAZEPRIL#HYDROCHLOROTHIAZIDE,VALIDUS_PHARM,LOTENSIN HCT,"58-93-5, 86541-75-5",70340,2,1
BENDAMUSTINE,TEVA,TREANDA,16506-27-7,"47000, 90511",1,0
BENZOIC_ACID#PHENYLETHYLACETIC_ACID,BAUSCH_HEALTH,AMMONUL,65-85-0,13343,1,0
BENZOYL_PEROXIDE#CLINDAMYCIN,BAUSCH_HEALTH,BENZACLIN,18323-44-9,"44370, 46999, 62195, 62738",1,0
