Molecule,Parsed,Link
ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989
ACETOHYDROXAMIC_ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990
ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180
ACETONE_(KETONE)_TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776
ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/7045767
ACETYLCHOLINE,ACETYLCHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/1146
ACETYLCYSTEINE,ACETYLCYSTEINE,N/A
ACETYLSALICYLIC_ACID,ACETYLSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/338
ACETYLSULFAFURAZOLE,ACETYLSULFAFURAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6662
ACHILLEA_MILLEFOLIUM,ACHILLEA MILLEFOLIUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924236
ACICLOVIR,ACICLOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/135398513
ACITRETIN,ACITRETIN,https://pubchem.ncbi.nlm.nih.gov/compound/5282375
ACLIDINIUM_BROMIDE,ACLIDINIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/11519741
ACONITUM_NAPELLUS,ACONITUM NAPELLUS,https://pubchem.ncbi.nlm.nih.gov/substance/483929951
ACRIVASTINE,ACRIVASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/6912
ADALIMUMAB,ADALIMUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/440790468
ADAPALENE,ADAPALENE,https://pubchem.ncbi.nlm.nih.gov/compound/60164
ADEFOVIR_DIPIVOXIL,ADEFOVIR DIPIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/60871
ADEMETIONINE,ADEMETIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/34756
ADENOSINE,ADENOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/60961
ADENOSINE_TRIPHOSPHATE,ADENOSINE TRIPHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/5957
ADIPIODONE,ADIPIODONE,https://pubchem.ncbi.nlm.nih.gov/compound/3739
ADRENAL_CORTEX,ADRENAL CORTEX,https://pubchem.ncbi.nlm.nih.gov/substance/482039705
AESCULUS_HIPPOCASTANUM,AESCULUS HIPPOCASTANUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924302
AFATINIB,AFATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/7443
AFLIBERCEPT,AFLIBERCEPT,https://pubchem.ncbi.nlm.nih.gov/substance/469691024
AGALSIDASE_BETA,AGALSIDASE BETA,https://pubchem.ncbi.nlm.nih.gov/compound/52918379
AGARICUS_CAMPESTRIS,AGARICUS CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/substance/482032839
ALANINE,ALANINE,https://pubchem.ncbi.nlm.nih.gov/compound/5862
ALATROFLOXACIN,ALATROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/5282517
ALBENDAZOLE,ALBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/25429
ALBIGLUTIDE,ALBIGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/145994868
ALBUMIN,ALBUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/36314
ALBUTREPENONACOG_ALFA,ALBUTREPENONACOG ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483924318
ALCAFTADINE,ALCAFTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19371515
ALCLOMETASONE,ALCLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/636374
ALDESLEUKIN,ALDESLEUKIN,https://pubchem.ncbi.nlm.nih.gov/substance/440790979
ALDIOXA,ALDIOXA,https://pubchem.ncbi.nlm.nih.gov/compound/16683101
ALECTINIB,ALECTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/49806720
ALEFACEPT,ALEFACEPT,https://pubchem.ncbi.nlm.nih.gov/substance/481101484
ALEMTUZUMAB,ALEMTUZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/7978474
ALENDRONIC_ACID,ALENDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2088
ALFENTANIL,ALFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/51263
ALFUZOSIN,ALFUZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/2092
ALGINIC_ACID,ALGINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/23665711
ALGLUCERASE,ALGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/substance/472422781
ALGLUCOSIDASE_ALFA,ALGLUCOSIDASE ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/440790673
ALIROCUMAB,ALIROCUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690929
ALISKIREN,ALISKIREN,https://pubchem.ncbi.nlm.nih.gov/compound/5493444
ALITRETINOIN,ALITRETINOIN,https://pubchem.ncbi.nlm.nih.gov/compound/449171
ALKYL_SULFONATES,ALKYL SULFONATES,https://pubchem.ncbi.nlm.nih.gov/compound/2478
ALLANTOIN,ALLANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/1176
ALLIUM_CEPA,ALLIUM CEPA,https://pubchem.ncbi.nlm.nih.gov/substance/482025683
ALLIUM_SATIVUM,ALLIUM SATIVUM,https://pubchem.ncbi.nlm.nih.gov/substance/103049314
ALLOPURINOL,ALLOPURINOL,https://pubchem.ncbi.nlm.nih.gov/compound/135401907
ALLYL_ISOTHIOCYANATE,ALLYL ISOTHIOCYANATE,https://pubchem.ncbi.nlm.nih.gov/compound/5971
ALMOTRIPTAN,ALMOTRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/123606
ALOE_AFRICANA,ALOE AFRICANA,https://pubchem.ncbi.nlm.nih.gov/substance/482043001
ALOE_BARBADENSIS,ALOE BARBADENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/12305761
ALOGLIPTIN,ALOGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11450633
ALOSETRON,ALOSETRON,https://pubchem.ncbi.nlm.nih.gov/compound/2099
ALPHA-GALACTOSIDASE,ALPHA-GALACTOSIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/82000
ALPHA_AMYLASE,ALPHA AMYLASE,https://pubchem.ncbi.nlm.nih.gov/compound/192826
ALPHA_CAROTENE,ALPHA CAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/6419725
ALPINA_GALANGA,ALPINA GALANGA,https://pubmed.ncbi.nlm.nih.gov/13493119
ALPINIA_OFFICINARUM,ALPINIA OFFICINARUM,https://pubchem.ncbi.nlm.nih.gov/substance/482043081
ALPRAZOLAM,ALPRAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/2118
ALPROSTADIL,ALPROSTADIL,https://pubchem.ncbi.nlm.nih.gov/compound/5280723
ALTEPLASE,ALTEPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/7978677
ALTHAEA_OFFICINALIS,ALTHAEA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924420
ALTRETAMINE,ALTRETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2123
ALUMINIUM,ALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/14806
ALUMINIUM_AND_MAGNESIUM,ALUMINIUM AND MAGNESIUM,https://pubchem.ncbi.nlm.nih.gov/compound/71586775
ALVIMOPAN,ALVIMOPAN,https://pubchem.ncbi.nlm.nih.gov/compound/5488548
AMANTADINE,AMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2130
AMBENONIUM,AMBENONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2131
AMBRISENTAN,AMBRISENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/6918493
AMBROSIA_ARTEMISIFOLIA,AMBROSIA ARTEMISIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483929581
AMBROSIA_PSILOSTACHYA,AMBROSIA PSILOSTACHYA,https://pubchem.ncbi.nlm.nih.gov/substance/483929190
AMCINONIDE,AMCINONIDE,N/A
AMFEPRAMONE,AMFEPRAMONE,https://pubchem.ncbi.nlm.nih.gov/compound/7029
AMFETAMINE,AMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007
AMIFOSTINE,AMIFOSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2141
AMIKACIN,AMIKACIN,https://pubchem.ncbi.nlm.nih.gov/compound/37768
AMILORIDE,AMILORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16231
AMINOACIDS,AMINOACIDS,https://pubchem.ncbi.nlm.nih.gov/substance/472419517
AMINOACRIDINE,AMINOACRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/1935
AMINOCAPROIC_ACID,AMINOCAPROIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/564
AMINOGLUTETHIMIDE,AMINOGLUTETHIMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2145
AMINOLEVULINIC_ACID,AMINOLEVULINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/137
AMINOPHYLLINE,AMINOPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/9433
AMINOPYRIDINE,AMINOPYRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/1727
AMINOSALICYLIC_ACID,AMINOSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4649
AMIODARONE,AMIODARONE,https://pubchem.ncbi.nlm.nih.gov/compound/2157
AMITRIPTYLINE,AMITRIPTYLINE,N/A
AMLEXANOX,AMLEXANOX,https://pubchem.ncbi.nlm.nih.gov/compound/2161
AMLODIPINE,AMLODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2162
AMMONIA,AMMONIA,https://pubchem.ncbi.nlm.nih.gov/compound/222
AMMONIUM,AMMONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/11057
AMOBARBITAL,AMOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2164
AMOXAPINE,AMOXAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2170
AMOXICILLIN,AMOXICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33613
AMPHETAMINE,AMPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007
AMPHOTERICIN_B,AMPHOTERICIN B,https://pubchem.ncbi.nlm.nih.gov/compound/5280965
AMPICILLIN,AMPICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/6249
AMPRENAVIR,AMPRENAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/65016
AMRINONE,AMRINONE,https://pubchem.ncbi.nlm.nih.gov/compound/3698
AMYL_NITRITE,AMYL NITRITE,https://pubchem.ncbi.nlm.nih.gov/compound/8053
ANAESTHETIC_ETHER,ANAESTHETIC ETHER,https://pubchem.ncbi.nlm.nih.gov/compound/3283
ANAGRELIDE,ANAGRELIDE,https://pubchem.ncbi.nlm.nih.gov/compound/135409400
ANAKINRA,ANAKINRA,https://pubchem.ncbi.nlm.nih.gov/substance/440790644
ANANAS_COMOSUS,ANANAS COMOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/482042678
ANASTROZOLE,ANASTROZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6101
ANAS_BARBARIAE,ANAS BARBARIAE,https://pubchem.ncbi.nlm.nih.gov/substance/482038726
ANDEXANET_ALFA,ANDEXANET ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483928410
ANEMONA_PULSATILLA,ANEMONA PULSATILLA,N/A
ANETHUM_GRAVEOLENS,ANETHUM GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/482042003
ANGELICA_ARCHANGELICA,ANGELICA ARCHANGELICA,https://pubchem.ncbi.nlm.nih.gov/compound/68079
ANGELICA_POLIMORPHA,ANGELICA POLIMORPHA,N/A
ANGIOTENSIN_2_(HUMAN),ANGIOTENSIN 2 (HUMAN),https://pubchem.ncbi.nlm.nih.gov/compound/3749
ANIDULAFUNGIN,ANIDULAFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/166548
ANISINDIONE,ANISINDIONE,https://pubchem.ncbi.nlm.nih.gov/compound/2197
ANISTREPLASE,ANISTREPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/7978711
ANTACIDS,ANTACIDS,https://pubchem.ncbi.nlm.nih.gov/compound/10112
ANTAZOLINE,ANTAZOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/2200
ANTHEMIS_NOBILIS,ANTHEMIS NOBILIS,https://pubchem.ncbi.nlm.nih.gov/substance/482037590
ANTHOXANTHUM_ODORATUM,ANTHOXANTHUM ODORATUM,https://pubchem.ncbi.nlm.nih.gov/substance/483932145
ANTI-ACNE_SOAP,ANTI-ACNE SOAP,https://pubchem.ncbi.nlm.nih.gov/compound/338
ANTI-PARASITIC,ANTI-PARASITIC,https://pubchem.ncbi.nlm.nih.gov/compound/138911340
ANTI-PSORIASIS,ANTI-PSORIASIS,https://pubchem.ncbi.nlm.nih.gov/compound/338
ANTIFLATULENTS,ANTIFLATULENTS,https://pubmed.ncbi.nlm.nih.gov/21337584
ANTIFUNGAL,ANTIFUNGAL,https://pubchem.ncbi.nlm.nih.gov/compound/8158
ANTIHISTAMINES,ANTIHISTAMINES,https://pubchem.ncbi.nlm.nih.gov/compound/3100
ANTIMONY,ANTIMONY,https://pubchem.ncbi.nlm.nih.gov/compound/14806
ANTIMONY_SULPHURATED,ANTIMONY SULPHURATED,https://pubchem.ncbi.nlm.nih.gov/patent/MA-18478-A1
ANTISEPTIC/DISINFECTANT_DEODORANTS,ANTISEPTIC/DISINFECTANT DEODORANTS,N/A
ANTISEPTIC/DISINFECTANT_SOLUTIONS_ANDDETERGENTS,ANTISEPTIC/DISINFECTANT SOLUTIONS ANDDETERGENTS,N/A
ANTITHROMBIN_ALFA,ANTITHROMBIN ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/486329172
ANTITHROMBIN_III,ANTITHROMBIN III,https://pubchem.ncbi.nlm.nih.gov/substance/472422796
APALUTAMIDE,APALUTAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/24872560
APHANIZOMENON_FLO_AQUAE,APHANIZOMENON FLO AQUAE,N/A
APIS_MELLIFICA,APIS MELLIFICA,https://pubchem.ncbi.nlm.nih.gov/substance/482042350
APIUM_GRAVEOLENS,APIUM GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/482042289
APIXABAN,APIXABAN,https://pubchem.ncbi.nlm.nih.gov/compound/10182969
APLIGRAF,APLIGRAF,https://pubmed.ncbi.nlm.nih.gov/10925183
APOAEQUORIN,APOAEQUORIN,https://pubchem.ncbi.nlm.nih.gov/substance/381128410
APOMORPHINE,APOMORPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/5288826
APPLE_VINEGAR,APPLE VINEGAR,https://pubchem.ncbi.nlm.nih.gov/compound/338
APRACLONIDINE,APRACLONIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/2216
APREMILAST,APREMILAST,https://pubchem.ncbi.nlm.nih.gov/compound/11561674
APREPITANT,APREPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/135413536
APROTININ,APROTININ,https://pubchem.ncbi.nlm.nih.gov/compound/16130295
ARABINOGALACTAN,ARABINOGALACTAN,https://pubchem.ncbi.nlm.nih.gov/compound/24847856
ARACHIS_HYPOGAEA,ARACHIS HYPOGAEA,https://pubchem.ncbi.nlm.nih.gov/substance/482026021
ARALIA_ELATA,ARALIA ELATA,https://pubchem.ncbi.nlm.nih.gov/compound/85263199
ARALIA_RACEMOSA,ARALIA RACEMOSA,https://pubchem.ncbi.nlm.nih.gov/substance/483932548
ARANEUS_DIADEMATUS,ARANEUS DIADEMATUS,https://pubchem.ncbi.nlm.nih.gov/substance/483931502
ARCTIUM_LAPPA,ARCTIUM LAPPA,https://pubchem.ncbi.nlm.nih.gov/substance/482041675
ARCTOSTAPHYLOS_UVA-URSI,ARCTOSTAPHYLOS UVA-URSI,https://pubchem.ncbi.nlm.nih.gov/substance/482041792
ARDEPARIN_SODIUM,ARDEPARIN SODIUM,https://pubchem.ncbi.nlm.nih.gov/substance/481108213
ARFORMOTEROL,ARFORMOTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/3083544
ARGANIA_SPINOSA,ARGANIA SPINOSA,https://pubchem.ncbi.nlm.nih.gov/substance/482041767
ARGATROBAN,ARGATROBAN,https://pubchem.ncbi.nlm.nih.gov/compound/92722
ARGININE,ARGININE,N/A
ARIPIPRAZOLE,ARIPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/60795
ARIPIPRAZOLE_LAUROXIL,ARIPIPRAZOLE LAUROXIL,https://pubchem.ncbi.nlm.nih.gov/compound/60795
ARMODAFINIL,ARMODAFINIL,https://pubchem.ncbi.nlm.nih.gov/compound/4236
ARNICA_MONTANA,ARNICA MONTANA,https://pubchem.ncbi.nlm.nih.gov/substance/483930675
ARSENIC,ARSENIC,https://pubchem.ncbi.nlm.nih.gov/compound/5359596
ARTEMETHER,ARTEMETHER,https://pubchem.ncbi.nlm.nih.gov/compound/68911
ARTEMISIA_ABSINTHIUM,ARTEMISIA ABSINTHIUM,https://pubchem.ncbi.nlm.nih.gov/compound/442138
ARTICAINE,ARTICAINE,https://pubchem.ncbi.nlm.nih.gov/compound/32170
ARTIFICIAL_SWEETENERS,ARTIFICIAL SWEETENERS,https://pubchem.ncbi.nlm.nih.gov/compound/5235
ASCOPHYLLUM_NODOSUM,ASCOPHYLLUM NODOSUM,https://pubchem.ncbi.nlm.nih.gov/compound/92023653
ASCORBIC_ACID,ASCORBIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/54670067
ASENAPINE,ASENAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/9903970
ASFOTASE_ALFA,ASFOTASE ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/481101517
ASPALANTHUS_LINEARIS,ASPALANTHUS LINEARIS,N/A
ASPARAGINASE,ASPARAGINASE,https://pubchem.ncbi.nlm.nih.gov/compound/436058
ASPARAGUS_RACEMOSUS,ASPARAGUS RACEMOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/482041609
ASPARTAME,ASPARTAME,https://pubchem.ncbi.nlm.nih.gov/compound/134601
ASPARTIC_ACID,ASPARTIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5960
ASTAXANTHIN,ASTAXANTHIN,https://pubchem.ncbi.nlm.nih.gov/compound/5281224
ASTEMIZOLE,ASTEMIZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2247
ASTRAGALUS,ASTRAGALUS,https://pubchem.ncbi.nlm.nih.gov/compound/5281708
ATAZANAVIR,ATAZANAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/148192
ATENOLOL,ATENOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2249
ATEZOLIZUMAB,ATEZOLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690927
ATOMOXETINE,ATOMOXETINE,https://pubchem.ncbi.nlm.nih.gov/compound/54841
ATORVASTATIN,ATORVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/60823
ATOVAQUONE,ATOVAQUONE,https://pubchem.ncbi.nlm.nih.gov/compound/74989
ATRACURIUM_BESILATE,ATRACURIUM BESILATE,https://pubchem.ncbi.nlm.nih.gov/compound/47320
ATROPA_BELLADONNA,ATROPA BELLADONNA,https://pubchem.ncbi.nlm.nih.gov/substance/483924624
ATROPINE,ATROPINE,https://pubchem.ncbi.nlm.nih.gov/compound/174174
ATTAPULGITE,ATTAPULGITE,https://pubchem.ncbi.nlm.nih.gov/compound/155491311
AURANOFIN,AURANOFIN,https://pubchem.ncbi.nlm.nih.gov/compound/16667669
AURANTIIN,AURANTIIN,https://pubchem.ncbi.nlm.nih.gov/compound/442428
AUROTHIOGLUCOSE,AUROTHIOGLUCOSE,https://pubchem.ncbi.nlm.nih.gov/compound/454937
AUROTHIOMALIC_ACID,AUROTHIOMALIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/422786
AVANAFIL,AVANAFIL,https://pubchem.ncbi.nlm.nih.gov/compound/9869929
AVATROMBOPAG,AVATROMBOPAG,https://pubchem.ncbi.nlm.nih.gov/compound/9852519
AVELUMAB,AVELUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101526
AVENA_SATIVA,AVENA SATIVA,https://pubchem.ncbi.nlm.nih.gov/substance/483933479
AVIBACTAM,AVIBACTAM,https://pubchem.ncbi.nlm.nih.gov/compound/24944097
AVOBENZONE,AVOBENZONE,https://pubchem.ncbi.nlm.nih.gov/compound/51040
AXITINIB,AXITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/6450551
AZACITIDINE,AZACITIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/9444
AZADIRACHTA_INDICA,AZADIRACHTA INDICA,https://pubchem.ncbi.nlm.nih.gov/compound/12313376
AZATADINE,AZATADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19861
AZATHIOPRINE,AZATHIOPRINE,https://pubchem.ncbi.nlm.nih.gov/compound/667490
AZELAIC_ACID,AZELAIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2266
AZELASTINE,AZELASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2267
AZILSARTAN_MEDOXOMIL,AZILSARTAN MEDOXOMIL,https://pubchem.ncbi.nlm.nih.gov/compound/135409642
AZITHROMYCIN,AZITHROMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/447043
AZTREONAM,AZTREONAM,https://pubchem.ncbi.nlm.nih.gov/compound/5742832
B>-SITOSTEROL,B>-SITOSTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/222284
BABY_CREAMS,BABY CREAMS,https://pubmed.ncbi.nlm.nih.gov/17309372
BABY_LOTION,BABY LOTION,https://pubchem.ncbi.nlm.nih.gov/compound/702
BABY_POWDER_(TALC),BABY POWDER (TALC),https://pubmed.ncbi.nlm.nih.gov/860156
BABY_SHAMPOOS,BABY SHAMPOOS,https://pubchem.ncbi.nlm.nih.gov/compound/5362487
BABY_SOAPS,BABY SOAPS,https://pubmed.ncbi.nlm.nih.gov/20487658
BACILLUS_COAGULANS,BACILLUS COAGULANS,https://pubchem.ncbi.nlm.nih.gov/substance/483933602
BACITRACIN,BACITRACIN,https://pubchem.ncbi.nlm.nih.gov/compound/10909430
BACLOFEN,BACLOFEN,https://pubchem.ncbi.nlm.nih.gov/compound/2284
BACOPA_MONIERI,BACOPA MONIERI,https://pubmed.ncbi.nlm.nih.gov/29142420
BALOXAVIR_MARBOXIL,BALOXAVIR MARBOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/124081896
BALSALAZIDE,BALSALAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/54585
BAMBUSA,BAMBUSA,N/A
BANDAGES,BANDAGES,https://pubchem.ncbi.nlm.nih.gov/bioassay/370922
BARBITAL,BARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2294
BARICITINIB,BARICITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/44205240
BARIUM,BARIUM,https://pubchem.ncbi.nlm.nih.gov/compound/24414
BAROSMA_BETULINA,BAROSMA BETULINA,https://pubchem.ncbi.nlm.nih.gov/substance/482043156
BASILIXIMAB,BASILIXIMAB,https://pubchem.ncbi.nlm.nih.gov/substance/440790690
BATH_OIL,BATH OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028861
BAZEDOXIFENE,BAZEDOXIFENE,https://pubchem.ncbi.nlm.nih.gov/compound/154257
BECAPLERMIN,BECAPLERMIN,https://pubchem.ncbi.nlm.nih.gov/substance/481101532
BECLOMETASONE,BECLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/21700
BEDAQUILINE,BEDAQUILINE,https://pubchem.ncbi.nlm.nih.gov/compound/5388906
BELATACEPT,BELATACEPT,https://pubchem.ncbi.nlm.nih.gov/substance/481101534
BELIMUMAB,BELIMUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101535
BELINOSTAT,BELINOSTAT,https://pubchem.ncbi.nlm.nih.gov/compound/6918638
BELLIS,BELLIS,N/A
BENAZEPRIL,BENAZEPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/5362124
