Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS,Compound/Substance
8-QUINOLINOL,8 QUINOLINOL,https://pubchem.ncbi.nlm.nih.gov/compound/1923,148-24-3,"123574-67-4, 24804-14-6, 123574-67-4",compound
ABACAVIR,ABACAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/743,110-94-1,8065-59-6,compound
ABALOPARATIDE,ABALOPARATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/145705876,247062-33-5,,compound
ABARELIX,ABARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16131215,183552-38-7,,compound
ABATACEPT,ABATACEPT,https://pubchem.ncbi.nlm.nih.gov/substance/440790639,,,substance
ABCIXIMAB,ABCIXIMAB,https://pubchem.ncbi.nlm.nih.gov/substance/440790666,,,substance
ABEMACICLIB,ABEMACICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/46220502,1231929-97-7,,compound
ABIRATERONE_ACETATE,ABIRATERONE ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/132971,154229-19-3,,compound
ABRUS_PRECATORIUS,ABRUS PRECATORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/482044096,,,substance
ABSORBABLE_GELATIN/COLLAGEN_SPONGE,ABSORBABLE GELATIN/COLLAGEN SPONGE,https://pubmed.ncbi.nlm.nih.gov/24377182,,,MISSING
ACACIA_CATECHU,ACACIA CATECHU,https://pubchem.ncbi.nlm.nih.gov/substance/482039925,,,substance
ACACIA_SENEGAL,ACACIA SENEGAL,https://pubchem.ncbi.nlm.nih.gov/substance/482044117,,,substance
ACALABRUTINIB,ACALABRUTINIB,,,,MISSING
ACAMPROSATE,ACAMPROSATE,https://pubchem.ncbi.nlm.nih.gov/compound/71158,77337-76-9,,compound
ACARBOSE,ACARBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/444254,56180-94-0,,compound
ACEBUTOLOL,ACEBUTOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/1978,37517-30-9,28197-63-9,compound
ACEMANNAN,ACEMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/72041,110042-95-0,110865-83-3,compound
ACEPROMAZINE,ACEPROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6077,61-00-7,,compound
ACESULFAME,ACESULFAME,https://pubchem.ncbi.nlm.nih.gov/compound/36573,33665-90-6,,compound
ACETAZOLAMIDE,ACETAZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1986,59-66-5,"5661-25-6, 8017-69-4, 909032-78-6, 8017-69-4",compound
ACETIC_ACID,ACETIC ACID,,,,MISSING
ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989,968-81-0,8054-32-8,compound
ACETOHYDROXAMIC_ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990,546-88-3,,compound
ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180,67-64-1,,compound
ACETONE_(KETONE)_TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776,,,MISSING
ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,,,,MISSING
ACETYLCHOLINE,ACETYLCHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/1146,75-50-3,4558-12-7,compound
ACETYLCYSTEINE,ACETYLCYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/5862,52-90-4,"4371-52-2, 154605-72-8, 1404190-35-7, 1404190-35-7, 154605-72-8, 4371-52-2, 4371-52-2, 154605-72-8",compound
ACETYLSALICYLIC_ACID,ACETYLSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/338,69-72-7,"7681-06-3, 8052-31-1, 1186130-36-8, 1186130-36-8, 7681-06-3, 8052-31-1, 8052-31-1, 1186130-36-8",compound
ACETYLSULFAFURAZOLE,ACETYLSULFAFURAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6662,80-74-0,,compound
ACHILLEA_MILLEFOLIUM,ACHILLEA MILLEFOLIUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924236,,,substance
ACICLOVIR,ACICLOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/135398513,59277-89-3,,compound
ACITRETIN,ACITRETIN,https://pubchem.ncbi.nlm.nih.gov/compound/5282375,54350-48-0,,compound
ACLIDINIUM_BROMIDE,ACLIDINIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/11519741,320345-99-1,,compound
ACONITUM_NAPELLUS,ACONITUM NAPELLUS,https://pubchem.ncbi.nlm.nih.gov/substance/483929951,,,substance
ACRIVASTINE,ACRIVASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/6912,87-99-0,"12426-00-5, 37191-59-6, 7313-55-5, 75398-81-1, 84709-42-2, 16277-71-7, 28296-13-1, 84709-28-4, 12426-00-5, 16277-71-7, 37191-59-6, 7313-55-5, 75398-81-1, 84709-42-2",compound
ADALIMUMAB,ADALIMUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/440790468,,,substance
ADAPALENE,ADAPALENE,https://pubchem.ncbi.nlm.nih.gov/compound/60164,106685-40-9,,compound
ADEFOVIR_DIPIVOXIL,ADEFOVIR DIPIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/60871,142340-99-6,,compound
ADEMETIONINE,ADEMETIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/34756,485-80-3,"15648-75-6, 93240-48-3, 55722-10-6",compound
ADENOSINE,ADENOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/60961,,"46946-45-6, 46969-16-8, 1348387-95-0, 46946-45-6, 46969-16-8, 46969-16-8",compound
ADENOSINE_TRIPHOSPHATE,ADENOSINE TRIPHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/5957,56-65-5,"10168-83-9, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 1259312-93-0, 917074-14-7, 10168-83-9, 1259312-93-0, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7, 71800-44-7, 51569-41-6, 84412-18-0, 1259312-93-0, 896506-78-8, 10168-83-9, 917074-14-7",compound
ADIPIODONE,ADIPIODONE,https://pubchem.ncbi.nlm.nih.gov/compound/3739,606-17-7,,compound
ADRENAL_CORTEX,ADRENAL CORTEX,https://pubchem.ncbi.nlm.nih.gov/substance/482039705,,,substance
AESCULUS_HIPPOCASTANUM,AESCULUS HIPPOCASTANUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924302,,,substance
AFATINIB,AFATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/7443,99-54-7,,compound
AFLIBERCEPT,AFLIBERCEPT,https://pubchem.ncbi.nlm.nih.gov/substance/469691024,,,substance
AGALSIDASE_BETA,AGALSIDASE BETA,https://pubchem.ncbi.nlm.nih.gov/compound/52918379,928659-70-5,1000191-50-3,compound
AGARICUS_CAMPESTRIS,AGARICUS CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/substance/482032839,,,substance
ALANINE,ALANINE,https://pubchem.ncbi.nlm.nih.gov/compound/5862,52-90-4,"4371-52-2, 154605-72-8, 1404190-35-7, 1404190-35-7, 154605-72-8, 4371-52-2, 4371-52-2, 154605-72-8",compound
ALATROFLOXACIN,ALATROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/5282517,146961-77-5,157605-25-9,compound
ALBENDAZOLE,ALBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/25429,10605-21-7,"102040-01-7, 105268-95-9, 110342-67-1, 39413-19-9, 59758-95-1, 63090-40-4, 63278-70-6, 212384-28-6, 276680-08-1, 1135441-26-7, 1155875-94-7, 1203557-88-3, 102040-01-7, 105268-95-9, 110342-67-1, 1135441-26-7, 1155875-94-7, 1203557-88-3, 212384-28-6, 276680-08-1, 39413-19-9, 59758-95-1, 63090-40-4, 63278-70-6, 63278-70-6, 212384-28-6, 1203557-88-3, 59758-95-1, 110342-67-1, 63090-40-4, 105268-95-9, 39413-19-9, 1155875-94-7, 1135441-26-7, 276680-08-1",compound
ALBIGLUTIDE,ALBIGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/145994868,782500-75-8,,compound
ALBUMIN,ALBUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/36314,33069-62-4,"157069-30-2, 1203669-79-7",compound
ALBUTREPENONACOG_ALFA,ALBUTREPENONACOG ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483924318,,,substance
ALCAFTADINE,ALCAFTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19371515,147084-10-4,,compound
ALCLOMETASONE,ALCLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/636374,66734-13-2,,compound
ALDESLEUKIN,ALDESLEUKIN,https://pubchem.ncbi.nlm.nih.gov/substance/440790979,,,substance
ALDIOXA,ALDIOXA,https://pubchem.ncbi.nlm.nih.gov/compound/16683101,5579-81-7,"12125-29-0, 2015-24-9, 52931-97-2, 12125-29-0, 52931-97-2, 2015-24-9",compound
ALECTINIB,ALECTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/49806720,1256580-46-7,1416163-60-4,compound
ALEFACEPT,ALEFACEPT,https://pubchem.ncbi.nlm.nih.gov/substance/481101484,,,substance
ALEMTUZUMAB,ALEMTUZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/7978474,,,substance
ALENDRONIC_ACID,ALENDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2088,66376-36-1,,compound
ALFENTANIL,ALFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/51263,71195-58-9,,compound
ALFUZOSIN,ALFUZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/2092,81403-80-7,"128707-53-9, 86163-78-2",compound
ALGINIC_ACID,ALGINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/23665711,9005-38-3,"107666-56-8, 1262215-37-1, 12772-46-2, 32129-82-1, 32197-42-5, 496956-52-6, 50643-02-2, 56940-21-7, 56940-22-8, 63278-91-1, 75635-14-2, 77030-65-0, 81989-21-1, 9005-40-7",compound
ALGLUCERASE,ALGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/substance/472422781,143003-46-7,,substance
ALGLUCOSIDASE_ALFA,ALGLUCOSIDASE ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/440790673,,,substance
ALIROCUMAB,ALIROCUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690929,,,substance
ALISKIREN,ALISKIREN,https://pubchem.ncbi.nlm.nih.gov/compound/5493444,173334-57-1,"401809-63-0, 957114-21-5",compound
ALITRETINOIN,ALITRETINOIN,https://pubchem.ncbi.nlm.nih.gov/compound/449171,5300-03-8,,compound
ALKYL_SULFONATES,ALKYL SULFONATES,https://pubchem.ncbi.nlm.nih.gov/compound/2478,55-98-1,,compound
ALLANTOIN,ALLANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/1176,57-13-6,"30535-50-3, 860639-56-1, 118548-06-4, 1202865-46-0, 1228376-38-2, 1637232-71-3, 2060607-07-8, 923953-70-2, 1262769-89-0, 2417243-36-6, 2694035-40-8, 173994-65-5, 174693-33-5, 173144-80-4, 175276-38-7, 118548-06-4, 1202865-46-0, 1228376-38-2, 1262769-89-0, 1637232-71-3, 2060607-07-8, 2417243-36-6, 2694035-40-8, 30535-50-3, 860639-56-1, 923953-70-2, 1202865-46-0, 118548-06-4, 30535-50-3, 1228376-38-2",compound
ALLIUM_CEPA,ALLIUM CEPA,https://pubchem.ncbi.nlm.nih.gov/substance/482025683,,,substance
ALLIUM_SATIVUM,ALLIUM SATIVUM,https://pubchem.ncbi.nlm.nih.gov/substance/103049314,,,substance
ALLOPURINOL,ALLOPURINOL,https://pubchem.ncbi.nlm.nih.gov/compound/135401907,315-30-0,"184856-42-6, 22767-92-6, 39464-14-7, 22767-92-6, 184856-42-6, 39464-14-7",compound
ALLYL_ISOTHIOCYANATE,ALLYL ISOTHIOCYANATE,https://pubchem.ncbi.nlm.nih.gov/compound/5971,57-06-7,"107231-30-1, 50888-64-7, 50978-48-8, 58391-87-0, 1001911-93-8, 1001911-93-8, 107231-30-1, 50888-64-7, 50978-48-8, 58391-87-0, 107231-30-1, 50888-64-7, 58391-87-0",compound
ALMOTRIPTAN,ALMOTRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/123606,154323-57-6,,compound
ALOE_AFRICANA,ALOE AFRICANA,https://pubchem.ncbi.nlm.nih.gov/substance/482043001,,,substance
ALOE_BARBADENSIS,ALOE BARBADENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/12305761,1415-73-2,"10361-17-8, 11019-96-8, 25429-08-7, 31017-11-5, 31048-97-2, 5133-19-7, 20226-90-8, 73649-92-0, 31048-97-2, 31017-11-5, 11019-96-8, 25429-08-7",compound
ALOGLIPTIN,ALOGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11450633,850649-61-5,,compound
ALOSETRON,ALOSETRON,https://pubchem.ncbi.nlm.nih.gov/compound/2099,122852-42-0,,compound
ALPHA-GALACTOSIDASE,ALPHA-GALACTOSIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/82000,7493-95-0,,compound
ALPHA_AMYLASE,ALPHA AMYLASE,https://pubchem.ncbi.nlm.nih.gov/compound/192826,9005-82-7,"7482-74-8, 37243-82-6, 9051-21-2, 9060-22-4",compound
ALPHA_CAROTENE,ALPHA CAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/6419725,7488-99-5,"24319-81-1, 432-70-2",compound
ALPINA_GALANGA,ALPINA GALANGA,https://pubmed.ncbi.nlm.nih.gov/13493119,,,MISSING
ALPINIA_OFFICINARUM,ALPINIA OFFICINARUM,https://pubchem.ncbi.nlm.nih.gov/substance/482043081,,,substance
ALPRAZOLAM,ALPRAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/2118,28981-97-7,,compound
ALPROSTADIL,ALPROSTADIL,https://pubchem.ncbi.nlm.nih.gov/compound/5280723,745-65-3,"50-83-9, 22299-37-2, 50865-30-0",compound
ALTEPLASE,ALTEPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/7978677,,,substance
ALTHAEA_OFFICINALIS,ALTHAEA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924420,,,substance
ALTRETAMINE,ALTRETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2123,645-05-6,,compound
ALUMINIUM,ALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/14806,1314-13-2,"185461-95-4, 56592-00-8, 57206-86-7, 78590-82-6, 8011-84-5, 8047-36-7, 8047-69-6, 8050-42-8, 8051-03-4, 143477-34-3, 1035159-71-7, 1079737-05-5, 1158650-40-8, 1328870-15-0, 1352121-28-8, 1404365-15-6, 768390-32-5, 1227055-55-1, 1434578-69-4, 1449007-65-1, 1613512-66-5, 1621460-93-2, 1629869-94-8, 1799390-27-4, 1834590-43-0, 1928718-93-7, 2082751-40-2, 2111100-94-6, 1641546-65-7, 2251116-56-8, 2257421-96-6, 2377780-57-7, 2455522-12-8, 2530009-82-4, 2567725-07-7, 2606843-55-2, 91315-44-5, 2704650-42-8, 1035159-71-7, 1079737-05-5, 1158650-40-8, 1227055-55-1, 1328870-15-0, 1352121-28-8, 1404365-15-6, 1434578-69-4, 143477-34-3, 1449007-65-1, 1613512-66-5, 1621460-93-2, 1629869-94-8, 1641546-65-7, 1799390-27-4, 1834590-43-0, 185461-95-4, 1928718-93-7, 2082751-40-2, 2111100-94-6, 2251116-56-8, 2257421-96-6, 2377780-57-7, 2455522-12-8, 2530009-82-4, 2567725-07-7, 2606843-55-2, 2704650-42-8, 2892133-77-4, 56592-00-8, 57206-86-7, 768390-32-5, 8011-84-5, 8047-36-7, 8047-69-6, 8050-42-8, 8051-03-4, 91315-44-5",compound
ALUMINIUM_AND_MAGNESIUM,ALUMINIUM AND MAGNESIUM,https://pubchem.ncbi.nlm.nih.gov/compound/71586775,110070-78-5,"12199-64-3, 12414-99-2, 12656-86-9, 64418-14-0, 51811-27-9, 61029-13-8, 61711-53-3, 111744-70-8, 67479-91-8, 110070-78-5",compound
ALVIMOPAN,ALVIMOPAN,,,,MISSING
AMANTADINE,AMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2130,768-94-5,744952-70-3,compound
AMBENONIUM,AMBENONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2131,7648-98-8,,compound
AMBRISENTAN,AMBRISENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/6918493,177036-94-1,,compound
AMBROSIA_ARTEMISIFOLIA,AMBROSIA ARTEMISIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483929581,,,substance
AMBROSIA_PSILOSTACHYA,AMBROSIA PSILOSTACHYA,https://pubchem.ncbi.nlm.nih.gov/substance/483929190,,,substance
AMCINONIDE,AMCINONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/443958,51022-69-6,,compound
AMFEPRAMONE,AMFEPRAMONE,https://pubchem.ncbi.nlm.nih.gov/compound/7029,90-84-6,,compound
AMFETAMINE,AMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,300-62-9,"17108-96-2, 60-15-1, 96332-84-2, 96332-84-2, 60-15-1",compound
AMIFOSTINE,AMIFOSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2141,20537-88-6,53028-04-9,compound
AMIKACIN,AMIKACIN,https://pubchem.ncbi.nlm.nih.gov/compound/37768,37517-28-5,"108914-65-4, 38859-32-4, 110660-81-6, 111319-93-8, 110660-83-8, 1079316-47-4, 1079316-47-4, 38859-32-4, 111319-93-8, 110660-83-8, 108914-65-4",compound
AMILORIDE,AMILORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16231,2609-46-3,,compound
AMINOACIDS,AMINOACIDS,https://pubchem.ncbi.nlm.nih.gov/substance/472419517,2097132-02-8,,substance
AMINOACRIDINE,AMINOACRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/1935,321-64-2,,compound
AMINOCAPROIC_ACID,AMINOCAPROIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/564,60-32-2,"87867-96-7, 93208-38-9, 1153953-92-4, 1153953-92-4, 87867-96-7, 93208-38-9, 87867-96-7, 93208-38-9",compound
AMINOGLUTETHIMIDE,AMINOGLUTETHIMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2145,125-84-8,,compound
AMINOLEVULINIC_ACID,AMINOLEVULINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/137,106-60-5,1354778-41-8,compound
AMINOPHYLLINE,AMINOPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/9433,317-34-0,"12767-26-9, 8013-40-9, 80186-94-3, 442519-87-1, 12767-26-9, 442519-87-1, 8013-40-9, 80186-94-3",compound
AMINOPYRIDINE,AMINOPYRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/1727,504-24-5,,compound
AMINOSALICYLIC_ACID,AMINOSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4649,65-49-6,2220148-96-7,compound
AMIODARONE,AMIODARONE,https://pubchem.ncbi.nlm.nih.gov/compound/2157,1951-25-3,,compound
AMITRIPTYLINE,AMITRIPTYLINE,https://pubchem.ncbi.nlm.nih.gov/compound/2160,50-48-6,,compound
AMLEXANOX,AMLEXANOX,https://pubchem.ncbi.nlm.nih.gov/compound/2161,68302-57-8,,compound
AMLODIPINE,AMLODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2162,88150-42-9,,compound
AMMONIA,AMMONIA,https://pubchem.ncbi.nlm.nih.gov/compound/222,7664-41-7,"208990-07-2, 214478-05-4, 8007-57-6, 558443-52-0, 1026405-88-8, 1026405-88-8, 208990-07-2, 214478-05-4, 558443-52-0, 8007-57-6, 558443-52-0, 208990-07-2, 214478-05-4, 8007-57-6, 8007-57-6",compound
AMMONIUM,AMMONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/11057,548-62-9,"23355-47-7, 7077-31-8, 7077-31-8",compound
AMOBARBITAL,AMOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2164,57-43-2,,compound
AMOXAPINE,AMOXAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2170,14028-44-5,,compound
AMOXICILLIN,AMOXICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33613,26787-78-0,"81030-75-3, 33911-69-2, 71447-36-4, 1236363-38-4, 81030-75-3, 71447-36-4, 1236363-38-4",compound
AMPHETAMINE,AMPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,300-62-9,"17108-96-2, 60-15-1, 96332-84-2, 96332-84-2, 60-15-1",compound
AMPHOTERICIN_B,AMPHOTERICIN B,https://pubchem.ncbi.nlm.nih.gov/compound/5280965,1397-89-3; 30652-87-0,"30782-62-8, 54482-28-9, 8055-20-7, 1407-52-9",compound
AMPICILLIN,AMPICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/6249,69-53-4,"33604-21-6, 37234-64-3, 47355-94-2, 50584-05-9, 800-79-3, 8056-87-9, 96707-69-6, 98520-55-9, 37234-64-3, 50584-05-9, 800-79-3, 33604-21-6, 96707-69-6, 98520-55-9, 47355-94-2",compound
AMPRENAVIR,AMPRENAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/65016,161814-49-9,,compound
AMRINONE,AMRINONE,https://pubchem.ncbi.nlm.nih.gov/compound/3698,60719-84-8,,compound
AMYL_NITRITE,AMYL NITRITE,https://pubchem.ncbi.nlm.nih.gov/compound/8053,463-04-7,,compound
ANAESTHETIC_ETHER,ANAESTHETIC ETHER,https://pubchem.ncbi.nlm.nih.gov/compound/3283,60-29-7,"74446-43-8, 7578-39-4, 927820-24-4, 1480389-44-3, 1480389-44-3, 74446-43-8, 7578-39-4, 927820-24-4, 138069-19-9, 7578-39-4, 927820-24-4",compound
ANAGRELIDE,ANAGRELIDE,,,,MISSING
ANAKINRA,ANAKINRA,https://pubchem.ncbi.nlm.nih.gov/substance/440790644,,,substance
ANANAS_COMOSUS,ANANAS COMOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/482042678,,,substance
ANASTROZOLE,ANASTROZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6101,104-15-4,"100901-72-2, 114213-96-6, 126033-27-0, 128739-80-0, 144647-92-7, 156627-46-2, 210357-81-6, 402-47-1, 185568-48-3, 227313-49-7, 369371-25-5, 51506-29-7, 613262-31-0, 1023356-14-0, 119314-18-0, 25231-46-3, 100901-72-2, 1023356-14-0, 114213-96-6, 119314-18-0, 126033-27-0, 128739-80-0, 144647-92-7, 156627-46-2, 185568-48-3, 210357-81-6, 227313-49-7, 2756222-57-6, 369371-25-5, 402-47-1, 51506-29-7, 613262-31-0, 126033-27-0, 51506-29-7, 185568-48-3, 100901-72-2, 114213-96-6, 156627-46-2, 144647-92-7, 25231-46-3, 613262-31-0, 210357-81-6, 128739-80-0, 227313-49-7, 369371-25-5, 1023356-14-0, 633305-48-3, 402-47-1",compound
ANAS_BARBARIAE,ANAS BARBARIAE,https://pubchem.ncbi.nlm.nih.gov/substance/482038726,,,substance
ANDEXANET_ALFA,ANDEXANET ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483928410,,,substance
ANEMONA_PULSATILLA,ANEMONA PULSATILLA,,,,MISSING
ANETHUM_GRAVEOLENS,ANETHUM GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/482042003,,,substance
ANGELICA_ARCHANGELICA,ANGELICA ARCHANGELICA,https://pubchem.ncbi.nlm.nih.gov/compound/68079,482-27-9,,compound
ANGELICA_POLIMORPHA,ANGELICA POLIMORPHA,,,,MISSING
