,CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
10,106-60-5,https://drugs.ncats.io/drug/88755TAZ87,US Approved Rx 2017,NDA208630,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208630,Possibly Marketed Outside US 1995,ANDA077614,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0bfea06d-7abe-407a-80a4-d15d373569f7,Condylomata acuminata; Malignant glioma; Actinic keratosis,Approved; Approved; Approved
11,317-34-0,https://drugs.ncats.io/drug/27Y3KJK423,US Approved Rx 1983,ANDA087943,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=087943,US Previously Marketed 1921,Theophylline U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Airway obstruction,Approved
12,504-29-0,https://drugs.ncats.io/drug/WSX981HEWU,,,,,,,,
13,65-49-6,https://drugs.ncats.io/drug/5B2658E0N2,US Approved Rx 1994,ANDA074346,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074346,US Previously Marketed 1948,Pamisyl by Parke-Davis,DeHaen 1940-1975 NMEs,Tuberculosis; Crohn's disease; Ulcerative colitis,Approved; Phase II; Phase II
14,1951-25-3,https://drugs.ncats.io/drug/N3RQ532IUT,US Approved Rx 2008,ANDA077234,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077234,US Previously Marketed 1985,CORDARONE by WYETH PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018972,Ventricular tachycardia; Recurring ventricular fibrillation,Approved; Approved
15,50-48-6,https://drugs.ncats.io/drug/1806D8D52K,US Approved Rx 1987,ANDA089400,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=089400,US Previously Marketed 1961,ELAVIL by ASTRAZENECA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012703,Depressive disorder,Approved
16,68302-57-8,https://drugs.ncats.io/drug/BRL1C2459K,US Previously Marketed 2004,AMLEXANOX by ULURU,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021727,US Previously Marketed 1996,APHTHASOL by ULURU,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020511,Aphthous ulcers,Approved
17,88150-42-9,https://drugs.ncats.io/drug/1J444QC288,US Approved Rx 2015,ANDA202829,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202829,Possibly Marketed Outside US 1987,NDA019787,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d233a645-805b-45be-ae20-534367bc15ff,Coronary artery disease; Hypertension; Chagas disease,Approved; Approved; Preclinical
18,7664-41-7,https://drugs.ncats.io/drug/5138Q19F1X,US Approved Rx 1984,ANDA088366,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088366,US Previously Marketed 1921,Ammonium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Metabolic alkalosis,Approved
19,14798-03-9,https://drugs.ncats.io/drug/54S68520I4,US Approved Rx 1984,ANDA088366,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088366,US Previously Marketed 1921,Ammonium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Metabolic alkalosis,Approved
20,57-43-2,https://drugs.ncats.io/drug/GWH6IJ239E,US Previously Marketed 1923,amobarbital,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2424120/,US Previously Marketed 1923,amobarbital,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2424120/,Anxiety; Insomnia,Approved; Approved
21,14028-44-5,https://drugs.ncats.io/drug/R63VQ857OT,US Approved Rx 1992,ANDA072691,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072691,US Previously Marketed 1980,ASENDIN by LEDERLE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018021,Neurotic or reactive depressive disorders; Psychotic depressions,Approved; Approved
22,26787-78-0,https://drugs.ncats.io/drug/9EM05410Q9,US Approved Rx 2005,ANDA065191,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065191,US Previously Marketed 1973,AMOXIL by GLAXOSMITHKLINE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050459,"Infections of the ear, nose, and throat; Skin and skin structure infections; Gonorrhea, acute uncomplicated; Helicobacter pylori infection and duodenal ulcer disease; Infections of the genitourinary tract",Approved; Approved; Approved; Approved; Approved
23,300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved
24,1397-89-3,https://drugs.ncats.io/drug/7XU7A7DROE,US Approved Rx 2021,ANDA212514,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212514,US Previously Marketed 1958,Fungizone by Squibb,DeHaen 1940-1975 NMEs,Cryptococcosis; Zygomycosis; Histoplasmosis; Visceral leishmaniasis; Mucormycosis; Coccidioidomycosis; Blastomycosis; Candida infections; Aspergillus infections; Sporotrichosis; Naeglerias; Mycoses,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Preclinical; Preclinical
25,69-53-4,https://drugs.ncats.io/drug/7C782967RD,US Approved Rx 1993,ANDA062797,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=062797,US Previously Marketed 1963,POLYCILLIN by BRISTOL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050310,Bacterial Infections,Approved
26,161814-49-9,https://drugs.ncats.io/drug/5S0W860XNR,US Approved Rx 2016,ANDA204060,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204060,US Previously Marketed 1999,AGENERASE by GLAXOSMITHKLINE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021039,HIV-1 infection,Approved
27,60719-84-8,https://drugs.ncats.io/drug/JUT23379TN,US Approved Rx 2000,ANDA075513,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075513,US Previously Marketed 1984,INOCOR by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018700,Congestive heart failure,Approved
28,463-04-7,https://drugs.ncats.io/drug/H2HUX79FYK,US Previously Marketed 1880,Amyl Nitrite U.S.P.,https://books.google.com/books?id=WO5NAAAAMAAJ&newbks=1&newbks_redir=0&dq=united%20states%20pharmacopeia%201880&pg=PA14#v=onepage&q=amyl%20nitrite&f=false,US Previously Marketed 1880,Amyl Nitrite U.S.P.,https://books.google.com/books?id=WO5NAAAAMAAJ&newbks=1&newbks_redir=0&dq=united%20states%20pharmacopeia%201880&pg=PA14#v=onepage&q=amyl%20nitrite&f=false,,
29,60-29-7,https://drugs.ncats.io/drug/0F5N573A2Y,US Previously Marketed 1921,Ether U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1846,ether,https://catalog.hathitrust.org/Record/100782317,,
30,68475-42-3,https://drugs.ncats.io/drug/K9X45X0051,US Approved Rx 2017,ANDA209151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209151,US Approved Rx 1997,NDA020333,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=20333,,
31,143090-92-0,https://drugs.ncats.io/drug/9013DUQ28K,US Approved Rx 2001,BLA103950,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103950,US Approved Rx 2001,BLA103950,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103950,,
32,120511-73-1,https://drugs.ncats.io/drug/2Z07MYW1AZ,US Approved Rx 2010,ANDA090568,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090568,US Approved Rx 1995,NDA020541,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020541,Breast cancer,Approved
33,1262449-58-0,https://drugs.ncats.io/drug/BI009E452R,Possibly Marketed Outside US ,WHO-ATC:V03AB38,https://ginas.ncats.nih.gov/ginas/app/substance/BI009E452R,Possibly Marketed Outside US 2018,BLA125586,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ae7f0c50-ff2d-49e5-8e10-4efa861556e6,,
34,482-27-9,https://drugs.ncats.io/drug/20GCF755G6,,,,,,,Skin cancer,Basic research
35,138402-11-6,https://drugs.ncats.io/drug/J0E2756Z7N,US Approved Rx 2012,ANDA077369,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077369,US Approved Rx 1997,NDA020758,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020758,Hypertension; Diabetic nephropathy,Approved; Approved
36,166663-25-8,https://drugs.ncats.io/drug/9HLM53094I,US Approved Rx 2006,NDA021632,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021632,US Approved Rx 2006,NDA021632,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021632,Esophageal candidiasis; Candidemia,Approved; Approved
37,117-37-3,https://drugs.ncats.io/drug/S747T1ERAJ,US Previously Marketed 1957,MIRADON by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010909,US Previously Marketed 1957,MIRADON by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010909,Pulmonary embolism; Coronary occlusion; Atrial fibrillation with embolization; Venous thrombosis,Approved; Approved; Approved; Approved
38,471-34-1,https://drugs.ncats.io/drug/H0G9379FGK,US Approved OTC ,21 CFR 331.11(i)(2) antacid:calcium-containing calcium (mono or dibasic salt),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec331-11.xml,US Previously Marketed 1921,Precipitated Calcium Phosphate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Unknown; Hypocalcemia; Chronic obstructive pulmonary disease; Cystic fibrosis; Unknown; Hypocalcemia,Not Provided; Phase I; Phase I; Approved
39,91-75-8,https://drugs.ncats.io/drug/DHA8014SS1,US Previously Marketed 1990,VASOCON-A by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018746,US Previously Marketed 1948,Antistine Phosphate by Ciba,DeHaen 1940-1975 NMEs,Allergic conjunctivitis,Approved
40,977007-26-3,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,
41,69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved
42,69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved
43,112-05-0,https://drugs.ncats.io/drug/97SEH7577T,US Previously Marketed 1960,Pellar by Crookes-Barnes (Cooper),DeHaen 1940-1975 NMEs,US Previously Marketed 1960,Pellar by Crookes-Barnes (Cooper),DeHaen 1940-1975 NMEs,Seizure; Unknown,Preclinical
44,58-73-1,https://drugs.ncats.io/drug/8GTS82S83M,US Approved OTC ,21 CFR 336.10(c) antiemetic diphenhydramine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec336-10.xml,US Previously Marketed 1946,BENADRYL by MCNEIL CONS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005845,Occasional sleeplessness; Seasonal allergic rhinitis,Approved; Approved
45,7440-36-0,https://drugs.ncats.io/drug/9IT35J3UV3,US Previously Marketed 1921,Wine of Antimony N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Wine of Antimony N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
46,9000-94-6,https://drugs.ncats.io/drug/T0LTO7L82X,Possibly Marketed Outside US ,Thrombate III by Grifols Therapeutics Llc [Canada],https://www.drugbank.ca/drugs/DB11598,Possibly Marketed Outside US 1991,BLA103196,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b2a9f856-3ef7-8da4-920c-f738e4f1f7d7,,
47,956104-40-8,https://drugs.ncats.io/drug/4T36H88UA7,US Approved Rx 2018,NDA210951,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210951,US Approved Rx 2018,NDA210951,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210951,Prostate cancer,Approved
48,503612-47-3,https://drugs.ncats.io/drug/3Z9Y7UWC1J,US Approved Rx 2019,ANDA210171,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210171,US Approved Rx 2012,NDA202155,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202155,Embolism and thrombosis; Stroke,Approved; Approved
49,58-00-4,https://drugs.ncats.io/drug/N21FAR7B4S,US Approved Rx 2022,ANDA212025,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212025,US Previously Marketed 1880,apomorphia,https://catalog.hathitrust.org/Record/100782317,Parkinson's disease,Approved
50,69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved
51,66711-21-5,https://drugs.ncats.io/drug/843CEN85DI,US Approved Rx 1987,NDA019779,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019779,US Approved Rx 1987,NDA019779,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019779,Ocular hypertension,Approved
52,608141-41-9,https://drugs.ncats.io/drug/UP7QBP99PN,US Approved Rx 2024,ANDA211734,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211734,US Approved Rx 2014,NDA205437,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205437,"Psoriasis; Arthritis, psoriatic",Approved; Approved
53,170729-80-3,https://drugs.ncats.io/drug/1NF15YR6UY,US Approved Rx 2008,NDA022023,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022023,US Approved Rx 2003,NDA021549,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021549,Postoperative nausea and vomiting; Chemotherapy induced nausea and vomiting; Chemotherapy induced nausea and vomiting; Postoperative nausea and vomiting,Approved; Approved; Approved; Approved
54,9087-70-1,https://drugs.ncats.io/drug/ba8b95ec,,,,,,,,
55,9036-66-2,https://drugs.ncats.io/drug/SL4SX1O487,Possibly Marketed Outside US 2013,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9dfa6b8-4b1a-4233-91f0-ad7423b2e04f,Possibly Marketed Outside US 2009,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=44318cdb-aa87-0b09-e054-00144ff8d46c,,
56,91745-67-4,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,
57,9041-08-1,https://drugs.ncats.io/drug/19GW9E1WHN,Clinical ,INN:sevuparin sodium [INN],https://ginas.ncats.nih.gov/ginas/app/substance/19GW9E1WHN,,,,,
58,67346-49-0,https://drugs.ncats.io/drug/F91H02EBWT,US Approved Rx 2021,ANDA200293,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200293,US Approved Rx 2006,NDA021912,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021912,Chronic obstructive pulmonary disease,Approved
59,108778-82-1,https://drugs.ncats.io/drug/S866O45PIG,US Approved Rx 1991,BLA020032,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020032,US Approved Rx 1991,BLA020032,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020032,,
60,141388-76-3,https://drugs.ncats.io/drug/BFE2NBZ7NX,US Approved Rx 2009,NDA022308,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022308,US Approved Rx 2009,NDA022308,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022308,Bacterial conjunctivitis,Approved
61,7235-40-7,https://drugs.ncats.io/drug/01YAE03M7J,US Previously Marketed 1975,SOLATENE by ROCHE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017589,Possibly Marketed Outside US 1964,UDDER BALM by H. W. Naylor Company Inc.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2907f343-4457-bf36-2e0b-aa074e63a4bd,"Macular degeneration; Neuroblastoma; Head and neck cancer; Retinitis pigmentosa; Psoriasis; Chronic pancreatitis; Cardiovascular diseases; Maternal mortality, fetal loss, or infant mortality; Erythropoietic protoporphyria",Phase III; Basic research; Phase III; Phase III; Phase III; Phase III; Phase II; Phase III; Approved
62,5638-76-6,https://drugs.ncats.io/drug/X32KK4201D,US Previously Marketed 1966,Serc by Unimed More,DeHaen 1940-1975 NMEs,US Previously Marketed 1966,Serc by Unimed More,DeHaen 1940-1975 NMEs,Meniere's disease,Approved
63,107-43-7,https://drugs.ncats.io/drug/3SCV180C9W,US Approved Rx 2021,ANDA214864,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214864,US Previously Marketed 1880,Betain,https://books.google.com/books?id=hg5KAAAAMAAJ&newbks=1&newbks_redir=0&dq=betaine%20cooley&pg=PA316#v=onepage&q=betaine&f=false,Homocystinuria,Approved
64,378-44-9,https://drugs.ncats.io/drug/9842X06Q6M,US Approved Rx 2020,NDA213422,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213422,US Previously Marketed 1961,CELESTONE by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012657,Congenital adrenal hyperplasia; Lymphomas; Asthma; Allergic rhinitis; Ulcerative colitis; Acute exacerbations of multiple sclerosis,Approved; Approved; Approved; Approved; Approved; Approved
65,63659-18-7,https://drugs.ncats.io/drug/O0ZR1R6RZ2,US Approved Rx 2009,ANDA078694,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078694,US Approved Rx 1985,NDA019270,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019270,Open-angle glaucoma; Ocular hypertension; Hypertension,Approved; Approved; Approved
66,674-38-4,https://drugs.ncats.io/drug/004F72P8F4,US Approved Rx 1978,ANDA086263,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086263,US Previously Marketed 1948,URECHOLINE by ODYSSEY PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006536,Urinary retention,Approved
67,330942-05-7,https://drugs.ncats.io/drug/74RWP7W0J9,US Previously Marketed 2017,BEVYXXA by PORTOLA PHARMS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208383,US Previously Marketed 2017,BEVYXXA by PORTOLA PHARMS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208383,Venous thromboembolism; venous thromboembolism,Phase III; Approved
68,216974-75-3,https://drugs.ncats.io/drug/2S9ZZM9Q9V,US Approved Rx 2019,BLA761099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761099,US Approved Rx 2004,BLA125085,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125085,,
69,153559-49-0,https://drugs.ncats.io/drug/A61RXM4375,US Approved Rx 2018,ANDA209861,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209861,US Approved Rx 1999,NDA021055,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021055,Cutaneous T-cell lymphoma,Approved
70,1246264-45-8,https://drugs.ncats.io/drug/4H5YMK1H2E,US Approved Rx 2016,BLA761046,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761046,US Approved Rx 2016,BLA761046,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761046,,
71,90357-06-5,https://drugs.ncats.io/drug/A0Z3NAU9DP,US Approved Rx 2015,ANDA091011,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091011,US Approved Rx 1995,NDA020498,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020498,Stage D2 metastatic carcinoma of the prostate,Approved
72,1611493-60-7,https://drugs.ncats.io/drug/8GB79LOJ07,US Approved Rx 2018,NDA210251,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210251,US Approved Rx 2018,NDA210251,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210251,HIV-1 infection,Approved
