,CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
10,183552-38-7,https://drugs.ncats.io/drug/W486SJ5824,US Previously Marketed 2003,PLENAXIS by SPECIALITY EUROPEAN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021320,US Previously Marketed 2003,PLENAXIS by SPECIALITY EUROPEAN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021320,Advanced prostate cancer,Approved
11,332348-12-6,https://drugs.ncats.io/drug/7D0YB67S97,US Approved Rx 2005,BLA125118,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125118,US Approved Rx 2005,BLA125118,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125118,,
12,143653-53-6,https://drugs.ncats.io/drug/X85G7936GV,US Approved Rx 1994,BLA103575,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103575,Possibly Marketed Outside US 1993,BLA103575,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=033d4c3b-4630-4256-b8f7-9ed5f15de9a3,,
13,1231929-97-7,https://drugs.ncats.io/drug/60UAB198HK,US Approved Rx 2017,NDA208716,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716,US Approved Rx 2017,NDA208716,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716,Breast cancer; Melanoma; Glioblastoma; Non-small cell lung cancer; HER2-negative advanced breast cancer,Phase III; Phase II; Phase II; Phase III; Approved
14,154229-18-2,https://drugs.ncats.io/drug/EM5OCB9YJ6,US Approved Rx 2023,NDA216793,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216793,US Approved Rx 2011,NDA202379,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202379,Metastatic castration-resistant prostate cancer,Approved
15,1420477-60-6,https://drugs.ncats.io/drug/I42748ELQW,US Approved Rx 2022,NDA216387,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216387,US Approved Rx 2017,NDA210259,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210259,Chronic lymphocytic leukemia; Rheumatoid arthritis; Glioblastoma multiforme; Mantle cell lymphoma; Head and neck squamous cell carcinoma; mantle cell lymphoma,Phase III; Phase II; Phase II; Phase II; Phase II; Approved
16,77337-76-9,https://drugs.ncats.io/drug/N4K14YGM3J,US Approved Rx 2013,ANDA202229,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202229,US Previously Marketed 2004,CAMPRAL by FOREST LABS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021431,Alcohol addiction,Approved
17,56180-94-0,https://drugs.ncats.io/drug/T58MSI464G,US Approved Rx 2009,ANDA078441,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078441,US Previously Marketed 1995,PRECOSE by BAYER HLTHCARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020482,Type 2 diabetes mellitus,Approved
18,37517-30-9,https://drugs.ncats.io/drug/67P356D8GH,US Approved Rx 1995,ANDA074007,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074007,US Previously Marketed 1984,SECTRAL by PROMIUS PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018917,Ventricular arrhythmia; Hypertension,Approved; Approved
19,110042-95-0,https://drugs.ncats.io/drug/UZ29E6L2X8,Possibly Marketed Outside US 2014,21 CFR 347,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=122273ec-d670-4606-baf8-c9fe3fddebed,Possibly Marketed Outside US 2014,21 CFR 347,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=122273ec-d670-4606-baf8-c9fe3fddebed,,
20,61-00-7,https://drugs.ncats.io/drug/54EJ303F0R,Possibly Marketed Outside US ,Canada:ACEPROMAZINE MALEATE,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 2011,NADA015030,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=11ee8981-46eb-4791-8e40-727c991341fe,Agitation (veterinary); Schizophrenia,Approved; Not Provided
21,33665-90-6,https://drugs.ncats.io/drug/MA3UYZ6K1H,Possibly Marketed Outside US 2012,21 CFR 334,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=62cbf4ea-5ae5-4f4d-b054-6fe4635a93fe,Possibly Marketed Outside US 2002,NDA022410,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=16695a4c-9e32-4a4d-8aa9-e10fd2412a46,Obesity,Approved
22,59-66-5,https://drugs.ncats.io/drug/O3FX965V0I,US Approved Rx 2023,ANDA211151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211151,US Previously Marketed 1953,DIAMOX by TEVA BRANDED PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008943,Open-angle glaucoma; Acute mountain sickness,Approved; Approved
23,64-19-7,https://drugs.ncats.io/drug/Q40Q9N063P,US Approved Rx 1978,ANDA085998,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085998,US Previously Marketed 1921,Sodium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Otitis externa; Cyanide poisoning,Approved; Approved
24,968-81-0,https://drugs.ncats.io/drug/QGC8W08I6I,US Previously Marketed 1986,ACETOHEXAMIDE by USL PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070754,US Previously Marketed 1964,DYMELOR by LILLY,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013378,Type 2 diabetes mellitus,Approved
25,546-88-3,https://drugs.ncats.io/drug/4RZ82L2GY5,US Approved Rx 1983,NDA018749,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018749,US Approved Rx 1983,NDA018749,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018749,chronic urea-splitting urinary infection,Approved
26,67-64-1,https://drugs.ncats.io/drug/1364PS73AF,US Previously Marketed 1921,Acetone U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Acetone U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
27,3040-38-8,https://drugs.ncats.io/drug/6DH1W9VH8Q,US Approved Rx 1985,NDA018948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018948,US Approved Rx 1985,NDA018948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018948,Systemic primary carnitine deficiency; Ulcerative colitis; Peripheral arterial occlusive disorders; Congestive heart failure,Approved; Phase III; Approved; Phase III
28,51-84-3,https://drugs.ncats.io/drug/N9YNS0M02X,US Approved Rx 1993,NDA020213,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020213,US Previously Marketed 1966,MIOCHOL by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016211,Mydriasis,Approved
29,616-91-1,https://drugs.ncats.io/drug/WYQ7N0BPYC,US Approved Rx 2012,ANDA203853,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203853,US Previously Marketed 1963,MUCOMYST by APOTHECON,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013601,Cystic fibrosis; Hepatic injury,Approved; Approved
30,50-78-2,https://drugs.ncats.io/drug/R16CO5Y76E,US Approved OTC ,21 CFR 343.13(b) internal analgesic:rheumatologic aspirin (buffered),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec343-13.xml,US Previously Marketed 1899,"Aspirin by Friedr. Bayer & Co., Elberfeld, Germany",https://catalog.hathitrust.org/Record/100782317,Headache; Pain; Stroke; Myocardial infarction,Approved; Approved; Approved; Approved
31,80-74-0,https://drugs.ncats.io/drug/WBT5QH3KED,US Previously Marketed 1949,Gantrisin by Hoffmann-La Roche,DeHaen 1940-1975 NMEs,US Previously Marketed 1948,GANTRISIN by ROCHE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006525,Acute otitis media,Approved
32,977000-16-0,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,
33,59277-89-3,https://drugs.ncats.io/drug/X4HES1O11F,US Approved Rx 2019,ANDA210774,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210774,US Approved Rx 1982,NDA018604,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018604,Cold sores; Genital herpes; Herpes zoster infections; Herpes simplex infection; Herpes zoster infections,Approved; Approved; Approved; Approved; Approved
34,55079-83-9,https://drugs.ncats.io/drug/LCH760E9T7,US Approved Rx 2013,ANDA202897,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202897,US Previously Marketed 1996,SORIATANE by STIEFEL LABS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019821,Psoriasis,Approved
35,320345-99-1,https://drugs.ncats.io/drug/UQW7UF9N91,US Approved Rx 2019,NDA210595,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210595,US Approved Rx 2012,NDA202450,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202450,Bronchospasm associated with chronic obstructive pulmonary disease,Approved
36,87848-99-5,https://drugs.ncats.io/drug/A20F9XAI7W,US Previously Marketed 1994,SEMPREX-D by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019806,US Previously Marketed 1994,SEMPREX-D by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019806,Seasonal allergic rhinitis,Approved
37,331731-18-1,https://drugs.ncats.io/drug/ad622025,,,,,,,,
38,106685-40-9,https://drugs.ncats.io/drug/1L4806J2QF,US Approved Rx 2018,ANDA206959,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206959,US Approved Rx 1996,NDA020380,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020380,Acne vulgaris,Approved
39,142340-99-6,https://drugs.ncats.io/drug/U6Q8Z01514,US Approved Rx 2013,ANDA202051,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202051,US Previously Marketed 2002,HEPSERA by GILEAD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021449,Chronic hepatitis B,Approved
40,29908-03-0,https://drugs.ncats.io/drug/7LP2MPO46S,Possibly Marketed Outside US ,WHO-ATC:A16AA02,https://ginas.ncats.nih.gov/ginas/app/substance/7LP2MPO46S,,,,"Non-alcoholic fatty liver disease; Liver disease, alcoholic; Depression; Osteoarthritis; Fibromyalgia",Phase III; Phase III; Approved; Approved; Approved
41,58-61-7,https://drugs.ncats.io/drug/K72T3FS567,US Approved Rx 2005,ANDA077133,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077133,US Previously Marketed 1976,VIRA-A by PARKEDALE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050486,Keratoconjunctivitis; Epithelial keratitis; Herpes simplex infection; Paroxysmal supraventricular tachycardia,Approved; Approved; Phase III; Approved
42,56-65-5,https://drugs.ncats.io/drug/8L70Q75FXE,Possibly Marketed Outside US ,Japan:Adenosine 5'-Triphosphate Disodium,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 2009,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1725b5af-fe03-4372-beaf-d6fd9088a1f1,,
43,606-17-7,https://drugs.ncats.io/drug/TKQ858A3VW,US Previously Marketed 1958,SINOGRAFIN by BRACCO,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011324,US Previously Marketed 1954,CHOLOGRAFIN MEGLUMINE by BRACCO,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009321,Hepatobiliary disease,Approved
44,850140-72-6,https://drugs.ncats.io/drug/41UD74L59M,US Approved Rx 2013,NDA201292,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201292,US Approved Rx 2013,NDA201292,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201292,Non-small cell lung cancer,Approved
45,862111-32-8,https://drugs.ncats.io/drug/1567f7b0,,,,,,,,
46,104138-64-9,https://drugs.ncats.io/drug/2HLC17MX9G,US Approved Rx 2003,BLA103979,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103979,US Approved Rx 2003,BLA103979,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103979,,
47,56-41-7,https://drugs.ncats.io/drug/OF5P57N2ZX,US Previously Marketed ,21 CFR 310.532(a) benign prostatic hypertrophy alanine,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-532.xml,Possibly Marketed Outside US 1971,NDA016822,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ea7ec73-403e-4303-8862-6380e2f1fda6,Fructose intolerance; Muscle atrophy; Low birth weight; Burns,Natural Metabolite; Natural Metabolite; Natural Metabolite; Approved
48,146961-76-4,https://drugs.ncats.io/drug/7QVV6I50DT,US Previously Marketed 1997,TROVAN PRESERVATIVE FREE by PFIZER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020760,US Previously Marketed 1997,TROVAN PRESERVATIVE FREE by PFIZER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020760,Complicated skin and skin structure infections; Pneumonia; Intra-abdominal infections; Complicated intra-abdominal infections; Skin infections; Pneumonia; Gynecologic infections; Nosocomial pneumonia,Approved; Approved; Approved; Withdrawn; Withdrawn; Withdrawn; Withdrawn; Withdrawn
49,54965-21-8,https://drugs.ncats.io/drug/F4216019LN,US Approved Rx 2019,ANDA208094,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208094,Possibly Marketed Outside US 1989,NADA110048,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=94cf5818-f27d-4374-87ad-54a2d9ce6ef1,Neurocysticercosis; Hydatid disease,Approved; Approved
50,782500-75-8,https://drugs.ncats.io/drug/5E7U48495E,US Previously Marketed 2014,TANZEUM by GLAXOSMITHKLINE LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125431,US Previously Marketed 2014,TANZEUM by GLAXOSMITHKLINE LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125431,,
51,33069-62-4,https://drugs.ncats.io/drug/P88XT4IS4D,US Approved Rx 2018,ANDA205720,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205720,US Previously Marketed 1992,TAXOL by HQ SPCLT PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020262,Advanced carcinoma of the ovary; Non-small cell lung cancer; Breast cancer,Approved; Approved; Approved
52,1357448-54-4,https://drugs.ncats.io/drug/A57KX1VL5P,Possibly Marketed Outside US ,EU/1/16/1095/004,https://www.drugbank.ca/drugs/DB13884,Possibly Marketed Outside US 2016,BLA125582,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f74301bf-95e2-44ab-a8b6-98aa07b04683,,
53,147084-10-4,https://drugs.ncats.io/drug/7Z8O94ECSX,US Approved Rx 2024,ANDA209706,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209706,US Approved Rx 2010,NDA022134,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022134,Itching associated with allergic conjunctivitis,Approved
54,67452-97-5,https://drugs.ncats.io/drug/136H45TB7B,US Approved Rx 2005,ANDA076973,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076973,US Previously Marketed 1982,ACLOVATE by FOUGERA PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018707,Corticosteroid-responsive dermatoses,Approved
55,110942-02-4,https://drugs.ncats.io/drug/M89N0Q7EQR,US Approved Rx 1992,BLA103293,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103293,US Approved Rx 1992,BLA103293,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103293,,
56,5579-81-7,https://drugs.ncats.io/drug/8T66I31YNK,US Approved OTC ,21 CFR 346.20(a) anorectal:keratolytic alcloxa,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-20.xml,US Previously Marketed 1961,ALLANTOMIDE ALLANTOIN by NATIONAL DRUG,https://www.govinfo.gov/content/pkg/FR-1972-02-12/pdf/FR-1972-02-12.pdf,Chaffing; Functional dyspepsia; Gastritis; Duodenal ulcer; Gastric ulcer,Not Provided; Preclinical; Approved; Approved; Approved
57,1256580-46-7,https://drugs.ncats.io/drug/LIJ4CT1Z3Y,US Approved Rx 2015,NDA208434,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208434,US Approved Rx 2015,NDA208434,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208434,"Anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer",Approved
58,222535-22-0,https://drugs.ncats.io/drug/ELK3V90G6C,US Previously Marketed 2003,Amevive,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125036,US Previously Marketed 2003,Amevive,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125036,,
59,216503-57-0,https://drugs.ncats.io/drug/3A189DH42V,US Approved Rx 2001,BLA103948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103948,US Approved Rx 2001,BLA103948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103948,,
60,66376-36-1,https://drugs.ncats.io/drug/X1J18R4W8P,US Approved Rx 2009,ANDA090258,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090258,US Approved Rx 1995,NDA020560,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020560,Glucocorticoid-induced osteoporosis; Osteoporosis; Paget's disease,Approved; Approved; Approved
61,71195-58-9,https://drugs.ncats.io/drug/1N74HM2BS7,US Approved Rx 1986,NDA019353,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019353,US Approved Rx 1986,NDA019353,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019353,Pain,Approved
62,81403-80-7,https://drugs.ncats.io/drug/90347YTW5F,US Approved Rx 2012,ANDA079060,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079060,US Approved Rx 2003,NDA021287,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021287,Benign prostatic hyperplasia,Approved
63,9005-32-7,https://drugs.ncats.io/drug/8C3Z4148WZ,US Previously Marketed ,21 CFR 310.545(a)(20) weight control alginic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,Possibly Marketed Outside US 2002,NDA013217,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5e1ec092-4748-47c6-9b72-1b826da0ce02,,
64,143003-46-7,https://drugs.ncats.io/drug/27T56C7KK0,US Previously Marketed 1991,Ceredase by Genzyme,OB NME Appendix 1950-1993,US Previously Marketed 1991,Ceredase by Genzyme,OB NME Appendix 1950-1993,,
65,420784-05-0,https://drugs.ncats.io/drug/DTI67O9503,US Approved Rx 2010,BLA125291,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125291,US Approved Rx 2006,BLA125141,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125141,,
66,1245916-14-6,https://drugs.ncats.io/drug/PP0SHH6V16,US Approved Rx 2015,BLA125559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125559,US Approved Rx 2015,BLA125559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125559,,
67,173334-57-1,https://drugs.ncats.io/drug/502FWN4Q32,US Approved Rx 2019,ANDA206665,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206665,US Approved Rx 2007,NDA021985,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021985,Hypertension,Approved
68,5300-03-8,https://drugs.ncats.io/drug/1UA8E65KDZ,US Approved Rx 2019,ANDA211644,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211644,US Previously Marketed 1971,RETIN-A by VALEANT INTL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016921,severe recalcitrant nodular acne; Acne vulgaris; Acute promyelocytic leukemia; AIDS-related Kaposi’s sarcoma,Approved; Approved; Approved; Approved
