CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases,
9008-05-03,,,,,,,,,,
76712-82-8,https://drugs.ncats.io/drug/H50H3S3W74,US Approved Rx 2007,NDA022058,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022058,US Approved Rx 1991,SUPPRELIN by SHIRE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019836,Advanced prostate cancer,Approved,
87-00-3,https://drugs.ncats.io/drug/8QS6WCL55Z,US Previously Marketed 1961,NUCODAN HOMATROPINE TEREPHTHALATE by ENDO,"https://drugs.ncats.io/Federal%20Register%20v.%2040%20(1975),%20page%2017868,%20retrieved%20from:%20https://books.google.ru/books?id=UGhzt0-ApCwC",US Approved Rx 1921,Homatropine Hydrobromide U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Cough,Approved,
118-56-9,https://drugs.ncats.io/drug/V06SV4M95S,Possibly Marketed Outside US ,part352,https://www.drugbank.ca/drugs/DB11064,US Approved Rx 2004,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aae30d5c-186a-4d63-b4d7-09e4edc10f05,Skin sun damage,Phase III,
8028-66-8,https://drugs.ncats.io/drug/Y9H1V576FH,US Previously Marketed 1921,Honey U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Approved Rx 1921,Honey U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,,
9041-92-3,https://drugs.ncats.io/drug/F43I396OIS,Possibly Marketed Outside US ,Zemaira by Csl Behring [Canada],https://www.drugbank.ca/drugs/DB00058,US Approved Rx 1987,BLA103174,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b620e6b-6a24-0957-1288-ae529c4cc3a2,,,
61489-71-2,https://drugs.ncats.io/drug/5Y9QQM372Q,US Approved Rx 2004,BLA021663,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021663,US Approved Rx 1975,PERGONAL by SERONO,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017646,,,
6754-58-1,https://drugs.ncats.io/drug/T4467YT1NT,Investigational 2019,"NCT03735420: Phase 1 Interventional Active, not recruiting Healthy",https://clinicaltrials.gov/ct2/show/NCT03735420,,,,Cancer; Metabolic syndrome; Alzheimer's disease,Phase I; Phase I; Basic research,
102518-79-6,https://drugs.ncats.io/drug/0111871I23,Possibly Marketed Outside US 2019,NCT02931136: Phase 4 Interventional Not yet recruiting Mild Cognitive Impairment,https://clinicaltrials.gov/ct2/show/NCT02931136,,,,Alzheimer�s disease; Schizophrenia; Age-related memory impairment,Phase III; Phase IV; Approved,
9004-61-9,https://drugs.ncats.io/drug/S270N0TRQY,Possibly Marketed Outside US,"Elcosys by DS TECH CO., LTD",https://www.drugbank.ca/drugs/DB08818,US Approved Rx 2002,ANDA076559,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a75e2bb2-f89a-53f4-e053-2a95a90a93c7,Pain in osteoarthritis,Approved,
9001-54-1,https://drugs.ncats.io/drug/8KOG53Z5EM,US Approved Rx 2004,BLA021665,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021665,US Approved Rx 1949,Alidase by Searle,https://drugs.ncats.io/DeHaen%201940-1975%20NMEs,,,
461-72-3,https://drugs.ncats.io/drug/I6208298TA,Possibly Marketed Outside US 2015,21 CFR 333E,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=733b5ee5-76e2-4945-8d87-13e4e760f1d0,US Approved Rx 2009,"WOUND and INFECTION MEDICATION by WESTWOOD LABORATORIES, INC.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=246acf39-6d01-4a6e-9efb-4e6c9ffab2cb,,,
86-54-4,https://drugs.ncats.io/drug/26NAK24LS8,US Approved Rx 2001,ANDA040388,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040388,US Approved Rx 1953,APRESOLINE by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008303,Hypertension,Approved,
7647-01-0,https://drugs.ncats.io/drug/QTT17582CB,US Previously Marketed 1921,Hydrochloric Acid U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Approved Rx 1921,Hydrochloric Acid U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Surgical Blood Losses,Approved,
58-93-5,https://drugs.ncats.io/drug/0J48LPH2TH,US Approved Rx 2013,ANDA201682,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201682,US Approved Rx 1959,ORETIC by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011971,Hypertension,Approved,
125-29-1,https://drugs.ncats.io/drug/6YKS4Y3WQ7,US Approved Rx 2006,ANDA040655,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040655,US Approved Rx 1943,HYCODAN by GENUS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005213,Pain; Acute pain,Approved; Approved,
50-23-7,https://drugs.ncats.io/drug/WI4X0X7BPJ,US Approved Rx 1998,ANDA075043,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075043,US Approved Rx 1951,HYDROCORTONE by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008228,Congenital adrenal hyperplasia; Rheumatoid arthritis; Leukemia; Bronchial asthma,Approved; Approved; Approved; Approved,
72590-77-3,https://drugs.ncats.io/drug/O6550D6K3A,US Approved Rx 1998,ANDA075043,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075043,US Approved Rx 1951,HYDROCORTONE by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008228,Congenital adrenal hyperplasia; Rheumatoid arthritis; Leukemia; Bronchial asthma,Approved; Approved; Approved; Approved,
135-09-1,https://drugs.ncats.io/drug/501CFL162R,US Previously Marketed 1985,HYDROFLUMETHIAZIDE by PAR PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088850,US Approved Rx 1959,SALURON by SHIRE LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011949,Edema; Hypertension,Approved; Approved,
7722-84-1,https://drugs.ncats.io/drug/BBX060AN9V,US Approved OTC,21 CFR 344.1 otic:earwax removal aid carbamide peroxide 6.5% (in anhydrous glycerin),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec344-10.xml,First marketed in 1921,Hydrogen Peroxide,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Seborrheic keratoses; Skin infections; Gingivitis,Approved; Approved; Approved,
466-99-9,https://drugs.ncats.io/drug/Q812464R06,US Approved Rx 2010,ANDA078261,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078261,US Approved Rx 1972,Hydromorphone Hydrochloride by Hikma Pharmaceuticals USA Inc.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b325028e-0722-4c8c-9fdb-ab6fb0dc460c,Pain,Approved,
123-31-9,https://drugs.ncats.io/drug/XV74C1N1AE,US Approved Rx 2002,NDA021112,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021112,US Approved Rx 1984,"NU-DERM SUNFADER Skin Lightener with Sunscreen (SPF 15) PABA FREE by OMP, INC.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c67b0629-5529-412d-99ee-186df4ecad5a,Melasma of the face,Approved,
13422-51-0,https://drugs.ncats.io/drug/Q40X8H422O,US Approved Rx 1978,ANDA085998,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085998,First marketed in 1921,Sodium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Cyanide poisoning; Otitis externa,Approved; Approved,
103-86-6,https://drugs.ncats.io/drug/FQR280JW2N,US Previously Marketed 1961,VASOCORT HYDROXYAMPHETAMINE HYDROBROMIDE by SKF,https://cdn.loc.gov/service/ll/fedreg/fr036/fr036110/fr036110.pdf,First marketed in 1935,Paredrine,https://trademarks.justia.com/713/72/paredrine-71372217.html,Eye diseases,Approved,
127-07-1,https://drugs.ncats.io/drug/X6Q56QN5QC,US Approved Rx 1998,ANDA075143,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075143,US Approved Rx 1967,NDA016295,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016295,Sickle cell anemia,Approved,
118-42-3,https://drugs.ncats.io/drug/4QWG6N8QKH,US Approved Rx 1998,ANDA040274,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040274,US Approved Rx 1955,NDA009768,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009768,Malaria; Systemic lupus erythematosus; Rheumatoid arthritis,Approved; Approved; Approved,
9004-62-0,https://drugs.ncats.io/drug/ZYD53NBL45,US Approved OTC,21 CFR 349.12(a)(2) ophthalmic:demulcents hydroxyethylcellulose,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec349-12.xml,US Approved Rx 1990,M016,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc08f571-84ae-4c2f-b09d-a83a8efc39f5,,,
1190-94-9,https://drugs.ncats.io/drug/2GQB349IUB,Possibly Marketed Outside US 2012,SPAI-SONSPROLAC-VIT by SPAI-SONS PHARMACEUTICAL INTERNATIONAL COSMETICS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c294bea-5a61-4756-af3c-17ed30f2c0d8,US Approved Rx 2012,SPAI-SONSPROLAC-VIT by SPAI-SONS PHARMACEUTICAL INTERNATIONAL COSMETICS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c294bea-5a61-4756-af3c-17ed30f2c0d8,,,
68-96-2,https://drugs.ncats.io/drug/21807M87J2,Possibly Marketed Outside US ,WHO-ATC:G03DA03,https://ginas.ncats.nih.gov/ginas/app/substance/21807M87J2,,,,Female infertility; Hypertrichosis; Premature labour; Recurrent miscarriage,Approved; Approved; Approved; Approved,
618-28-0,,,,,,,,,,
83-40-9,https://drugs.ncats.io/drug/ZH3HEY032H,Investigational ,INN:hydroxytoluic acid,https://tripod.nih.gov/npc/#Download,,,,Inflammation; Diabetes mellitus,Preclinical; Not Provided,
68-88-2,https://drugs.ncats.io/drug/30S50YM8OG,US Approved Rx 2008,ANDA040804,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040804,US Approved Rx 1956,ATARAX by ROERIG,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010485,Anxiety; Pruritus,Approved; Approved,
101-31-5,https://drugs.ncats.io/drug/PX44XO846X,US Previously Marketed 1961,RABELLON HYOSCYAMINE HYDROBROMIDE by MSD,https://www.govinfo.gov/content/pkg/FR-1970-11-07/pdf/FR-1970-11-07.pdf,First marketed in 1921,Hyoscyamine Hydrobromide U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,,
548-04-9,https://drugs.ncats.io/drug/7V2F1075HD,Possibly Marketed Outside US,"Unknown by Brockmann, H. et al.",https://link.springer.com/article/10.1007%2FBF01495453,,,,Cutaneous T-cell lymphoma; HIV-1 infection; Depression,Phase III; Phase I; Approved,
7790-92-3,https://drugs.ncats.io/drug/712K4CDC10,US Previously Marketed 1955,Kasdenol by Kasdenol,https://drugs.ncats.io/OB%20NME%20Appendix%201950-1993,First marketed in 1921,Chlorinated Lime U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,,
680188-33-4,https://drugs.ncats.io/drug/LT369U66CE,US Approved Rx 2018,BLA761065,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761065,US Approved Rx 2018,BLA761065,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761065,,,
114084-78-5,https://drugs.ncats.io/drug/UMD7G2653W,US Approved Rx 2016,ANDA206058,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206058,US Approved Rx 2003,BONIVA by HOFFMANN LA ROCHE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021455,Postmenopausal osteoporosis; Bone cancer; Osteoporosis,Approved; Approved; Approved,
97682-44-5,https://drugs.ncats.io/drug/7673326042,US Approved Rx 2017,ANDA206935,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206935,US Approved Rx 1996,NDA020571,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020571,Metastatic carcinoma of the colon or rectum,Approved,
7439-89-6,https://drugs.ncats.io/drug/E1UOL152H7,US Previously Marketed 1961,PRELU-VITE IRON by GEIGY,https://www.govinfo.gov/content/pkg/FR-1970-08-08/pdf/FR-1970-08-08.pdf,First marketed in 1921,Iron U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,,
87-33-2,https://drugs.ncats.io/drug/IA7306519N,US Approved Rx 2018,ANDA207141,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207141,First marketed in 1921,Spirit of Glyceryl Trinitrate U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Hypertensive crises; Heart failure; Pulmonary hypertension; Angina pectoris; Angina pectoris; Angina pectoris; Coronary heart disease; Angina; Myocardial infarction; Hypertension; Heart failure; Angina pectoris; Angina pectoris,Approved; Approved; Approved; Approved; Approved; Approved; Basic research; Approved; Approved; Approved; Approved; Approved; Approved,
7704-34-9,https://drugs.ncats.io/drug/70FD1KFU70,US Approved OTC,21 CFR 358.710(a)(7) dandruff:dandruff sulfur,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-710.xml,First marketed in 1921,Washed Sulphur U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Scalp itching and flaking,Approved,
1950-12-04,,,,,,,,,,
96-88-8,https://drugs.ncats.io/drug/B6E06QE59J,US Approved Rx 1960,NDA012250,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012250,US Approved Rx 1960,NDA012250,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012250,Pain,Approved,
196078-29-2,https://drugs.ncats.io/drug/90Z2UF0E52,US Approved Rx 2015,BLA125526,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125526,US Approved Rx 2015,BLA125526,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125526,,,
57-53-4,https://drugs.ncats.io/drug/9I7LNY769Q,US Approved Rx 2009,ANDA090122,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090122,First marketed in 1955,EQUANIL by WYETH AYERST,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010028,Anxiety ,Approved,
91-84-9,https://drugs.ncats.io/drug/HPE317O9TL,US Approved OTC,21 CFR 341.12(k) cough/cold:antihistamine pyrilamine maleate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-12.xml,US Approved Rx 1948,Neo-Antergan by Merck,https://drugs.ncats.io/DeHaen%201940-1975%20NMEs,Allergic rhinitis; Upper respiratory allergies; Premenstrual syndrome,Approved; Approved; Approved,
150-76-5,https://drugs.ncats.io/drug/6HT8U7K3AM,US Previously Marketed 1999,SOLAGE by ALMIRALL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020922,US Approved Rx 1999,SOLAGE by ALMIRALL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020922,Solar lentigines,Approved,
15015-80-2,,,,,,,,,,
235114-32-6,https://drugs.ncats.io/drug/R10H71BSWG,US Approved Rx 2021,NDA212156,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212156,US Approved Rx 2005,NDA021506,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021506,Esophageal candidiasis; Candida infections in patients undergoing hematopoietic stem cell transplantation,Approved; Approved,
22916-47-8,https://drugs.ncats.io/drug/7NNO0D7S5M,US Approved OTC,21 CFR 333.210(c) antifungal miconazole nitrate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec333-210.xml,US Approved Rx 1974,MONISTAT-DERM by INSIGHT PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017494,Oropharyngeal candidiasis; Vulvovaginal candidiasis; Multiple sclerosis,Approved; Approved; Preclinical,
59467-70-8,https://drugs.ncats.io/drug/R60L0SM5BC,US Approved Rx 2000,ANDA075421,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075421,US Approved Rx 1985,VERSED by HLR,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018654,Pain; Anxiety; Epilepsy,Approved; Approved; Approved,
42794-76-3,https://drugs.ncats.io/drug/6YE7PBM15H,US Approved Rx 2019,ANDA212543,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212543,US Approved Rx 1996,PROAMATINE by TAKEDA PHARMS USA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019815,Orthostatic hypotension,Approved,
120685-11-2,https://drugs.ncats.io/drug/ID912S5VON,US Approved Rx 2017,NDA207997,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207997,US Approved Rx 2017,NDA207997,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207997,Acute myeloid leukemia; Myelodysplastic syndromes; Aggressive systemic mastocytosis,Approved; Phase III; Phase II,
84371-65-3,https://drugs.ncats.io/drug/320T6RNW1F,US Approved Rx 2019,ANDA091178,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091178,US Approved Rx 2000,NDA020687,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020687,Intrauterine pregnancy through 70 days gestation,Approved,
72432-03-2,https://drugs.ncats.io/drug/0V5436JAQW,US Approved Rx 2015,ANDA203965,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203965,US Approved Rx 1996,NDA020682,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020682,Type 2 diabetes mellitus,Approved,
72599-27-0,https://drugs.ncats.io/drug/ADN3S497AZ,US Approved Rx 2003,NDA021348,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021348,US Approved Rx 2003,NDA021348,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021348,"Gaucher disease; Niemann-Pick disease, type C",Approved; Approved,
96847-55-1,https://drugs.ncats.io/drug/ES1O38J3C4,US Approved Rx 2009,NDA022256,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022256,US Approved Rx 2009,NDA022256,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022256,Fibromyalgia; Unknown,Approved,
78415-72-2,https://drugs.ncats.io/drug/JU9YAX04C7,US Approved Rx 2005,ANDA077151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077151,US Approved Rx 1987,PRIMACOR by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019436,Acute decompensated heart failure,Approved,
58066-85-6,https://drugs.ncats.io/drug/53EY29W7EC,US Approved Rx 2014,NDA204684,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204684,US Approved Rx 2014,NDA204684,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204684,"Leishmaniasis, visceral; Cutaneous leishmaniasis; Mucosal leishmaniasis",Approved; Approved; Approved,
10118-90-8,https://drugs.ncats.io/drug/FYY3R43WGO,US Approved Rx 2016,ANDA204453,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204453,US Approved Rx 1971,MINOCIN by TRIAX PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050315,Rocky Mountain spotted fever; Respiratory tract infections; Brucellosis; Skin and skin structure infections; Meningitis; Amebiasis,Approved; Approved; Approved; Approved; Approved; Approved,
38304-91-5,https://drugs.ncats.io/drug/5965120SH1,US Approved Rx 1999,ANDA075357,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075357,US Approved Rx 1979,LONITEN by PFIZER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018154,Hypertension; Alopecia,Approved; Approved,
223673-61-8,https://drugs.ncats.io/drug/MVR3JL3B2V,US Approved Rx 2021,NDA213801,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213801,US Approved Rx 2012,NDA202611,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202611,Overactive bladder,Approved,
85650-52-8,https://drugs.ncats.io/drug/A051Q2099Q,US Approved Rx 2004,ANDA076921,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076921,US Approved Rx 1996,NDA020415,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020415,Major depressive disorder,Approved,
59122-46-2,https://drugs.ncats.io/drug/0E43V0BB57,US Approved Rx 2012,ANDA201089,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201089,US Approved Rx 1986,NDA019268,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ab12da7-5731-4e06-bf1c-bc3f2e711f12,Gastric ulcer,Approved,
1950-07-07,,,,,,,,,,
53-19-0,https://drugs.ncats.io/drug/78E4J5IB5J,US Approved Rx 1970,NDA016885,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016885,US Approved Rx 1970,NDA016885,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016885,Adrenal cortical carcinoma,Approved,
65271-80-9,https://drugs.ncats.io/drug/BZ114NVM5P,US Approved Rx 2006,ANDA077356,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077356,US Approved Rx 1987,NOVANTRONE by EMD SERONO,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019297,Secondary progressive multiple sclerosis; Acute non-lymphocytic leukemia; Hormone-refractory prostate cancer,Approved; Approved; Approved,
106861-44-3,https://drugs.ncats.io/drug/600ZG213C3,US Approved Rx 2021,ANDA209708,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209708,US Approved Rx 1992,MIVACRON by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020098,Muscle relaxation,Approved,
68693-11-8,https://drugs.ncats.io/drug/R3UK8X3U3D,US Approved Rx 2012,ANDA200043,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200043,US Approved Rx 1998,NDA020717,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020717,Narcolepsy; Obstructive sleep apnea; Sleep disorder,Approved; Approved; Approved,
